mode,label,cost_bps,score,score_delta_vs_baseline,cagr_pct,max_drawdown_mid_pct,sharpe,trades,turnover_per_year,h4_bars,d1_bars
quick,candidate,0.0,-1000000.0,0.0,3.52,10.96,0.2815,7,23.09,3390,595
quick,baseline,0.0,-1000000.0,0.0,3.52,10.96,0.2815,7,23.09,3390,595
quick,candidate,10.0,-1000000.0,0.0,2.33,11.21,0.2177,7,23.13,3390,595
quick,baseline,10.0,-1000000.0,0.0,2.33,11.21,0.2177,7,23.13,3390,595
quick,candidate,25.0,-1000000.0,0.0,1.24,11.6,0.1588,7,23.26,3390,595
quick,baseline,25.0,-1000000.0,0.0,1.24,11.6,0.1588,7,23.26,3390,595
quick,candidate,50.0,-1000000.0,0.0,-1.65,12.23,0.001,7,23.36,3390,595
quick,baseline,50.0,-1000000.0,0.0,-1.65,12.23,0.001,7,23.36,3390,595
quick,candidate,75.0,-1000000.0,0.0,-1.86,11.58,-0.0127,7,23.35,3390,595
quick,baseline,75.0,-1000000.0,0.0,-1.86,11.58,-0.0127,7,23.35,3390,595
quick,candidate,100.0,-1000000.0,0.0,-4.45,12.1,-0.159,7,23.44,3390,595
quick,baseline,100.0,-1000000.0,0.0,-4.45,12.1,-0.159,7,23.44,3390,595
