trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5206.41,5304.98,0.73027742,70.63,1.89,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5514.95,7341.74,1.59775286,2914.65,33.12,18.17,vdo_trend_accel,trailing_stop
3,2019-05-19T04:00:00Z,2019-06-04T00:00:00Z,1558238400000,1559606400000,7910.73,8113.23,1.58254624,315.97,2.56,15.83,vdo_trend_accel,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7919.82,11826.45,1.58823796,6198.09,49.33,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11536.94,11186.15,1.01530006,-360.13,-3.04,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10452.15,9927.61,0.95768499,-505.67,-5.02,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-10T12:00:00Z,1564027200000,1565438400000,9846.76,11391.81,1.69623005,2614.00,15.69,16.33,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10365.05,9983.77,2.04663560,-787.47,-3.68,5.00,vdo_trend_accel,trailing_stop
9,2019-08-23T16:00:00Z,2019-09-09T04:00:00Z,1566576000000,1568001600000,10133.46,10297.13,2.01499287,322.53,1.62,16.50,vdo_trend_accel,trailing_stop
10,2019-09-12T00:00:00Z,2019-09-24T20:00:00Z,1568246400000,1569355200000,10305.56,8359.57,2.01193522,-3921.10,-18.88,12.83,vdo_trend_accel,fixed_stop
11,2019-09-26T00:00:00Z,2019-10-14T12:00:00Z,1569456000000,1571054400000,8184.09,8277.60,1.08631570,98.43,1.14,18.50,vdo_dip_buy,trailing_stop
12,2019-11-02T00:00:00Z,2019-11-21T16:00:00Z,1572652800000,1574352000000,9203.45,7629.14,1.55341941,-2449.71,-17.11,19.67,vdo_trend,fixed_stop
