trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5189.64,5304.98,0.82827623,93.99,2.22,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5514.61,7341.74,1.65675300,3022.83,33.13,18.17,vdo_trend_accel,trailing_stop
3,2019-05-19T04:00:00Z,2019-06-04T00:00:00Z,1558238400000,1559606400000,7921.81,8113.23,1.57383205,296.79,2.42,15.83,vdo_trend_accel,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7880.55,11826.45,1.63636207,6450.14,50.07,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11433.57,11186.15,1.31087788,-329.46,-2.16,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10537.11,9927.61,1.14779777,-703.57,-5.78,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-10T12:00:00Z,1564027200000,1565438400000,9873.49,11391.81,1.79652051,2720.54,15.38,16.33,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10325.77,9983.77,1.98083919,-684.36,-3.31,5.00,vdo_trend_accel,trailing_stop
9,2019-08-23T16:00:00Z,2019-09-09T04:00:00Z,1566576000000,1568001600000,10178.97,10297.13,1.97320596,226.03,1.16,16.50,vdo_trend_accel,trailing_stop
10,2019-09-12T00:00:00Z,2019-09-24T20:00:00Z,1568246400000,1569355200000,10237.81,8359.57,2.01792601,-3796.04,-18.35,12.83,vdo_trend_accel,fixed_stop
11,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8238.60,9061.40,1.95200353,1599.92,9.99,36.17,vdo_dip_buy,trailing_stop
12,2019-11-02T00:00:00Z,2019-11-21T16:00:00Z,1572652800000,1574352000000,9223.95,7629.14,1.88270434,-3007.58,-17.29,19.67,vdo_trend,fixed_stop
13,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9174.42,9742.99,1.65093089,933.04,6.20,30.50,vdo_trend_accel,trailing_stop
14,2020-02-18T16:00:00Z,2020-03-08T20:00:00Z,1582041600000,1583697600000,9822.65,8279.03,1.70511200,-2636.99,-15.71,19.17,vdo_trend_accel,fixed_stop
15,2020-03-11T04:00:00Z,2020-03-12T12:00:00Z,1583899200000,1584014400000,7929.98,6062.45,0.96221044,-1798.99,-23.55,1.33,vdo_trend_accel,fixed_stop
16,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9176.03,8620.14,0.11921590,-66.63,-6.06,8.83,vdo_trend,trailing_stop
17,2020-05-17T16:00:00Z,2020-06-04T08:00:00Z,1589731200000,1591257600000,9644.32,9646.70,1.21645250,-1.21,0.02,17.67,vdo_trend_accel,trailing_stop
18,2020-06-05T00:00:00Z,2020-08-03T00:00:00Z,1591315200000,1596412800000,9625.38,11068.04,1.23772651,1780.83,14.99,59.00,vdo_trend_accel,trailing_stop
19,2020-08-10T04:00:00Z,2020-09-05T20:00:00Z,1597032000000,1599336000000,11893.45,9953.67,1.12664001,-2189.36,-16.31,26.67,vdo_trend_accel,fixed_stop
20,2020-09-06T12:00:00Z,2020-09-21T16:00:00Z,1599393600000,1600704000000,10296.58,10415.64,1.11704845,128.93,1.16,15.17,vdo_trend_accel,trailing_stop
21,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,1601107200000,1603958400000,10726.72,13134.93,1.08689432,2612.48,22.45,33.00,vdo_trend,trailing_stop
22,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,1604131200000,1606377600000,13902.85,17605.64,1.01131196,3738.44,26.63,26.00,vdo_trend,trailing_stop
23,2020-11-28T12:00:00Z,2020-12-09T00:00:00Z,1606564800000,1607472000000,18045.00,18318.61,0.96374287,257.51,1.52,10.50,vdo_trend_accel,trailing_stop
24,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,1607745600000,1610352000000,18460.41,34361.94,0.95425038,15162.56,86.14,30.17,vdo_trend_accel,trailing_stop
25,2021-01-13T16:00:00Z,2021-01-20T04:00:00Z,1610553600000,1611115200000,36432.45,35051.97,0.58442556,-813.96,-3.79,6.50,vdo_trend,trailing_stop
26,2021-01-23T04:00:00Z,2021-02-07T16:00:00Z,1611374400000,1612713600000,35263.69,37909.74,0.60344483,1588.74,7.50,15.50,vdo_trend,trailing_stop
27,2021-02-08T16:00:00Z,2021-02-23T04:00:00Z,1612800000000,1614052800000,47555.91,51885.16,0.58975014,2542.46,9.10,14.50,vdo_trend_accel,trailing_stop
