trade_id,side,entry_ts,exit_ts,return_pct,pnl_usd,fees_usd,n_buy_fills,n_sell_fills,entry_reason,exit_reason,max_exposure_during_trade,exposure_at_entry,exposure_at_exit,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,days_held,regime,label
1,long,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,2.251657,42.81605,6.190513,7,1,vdo_trend_accel,trailing_stop,0.215955,0.041983,0.0,1554926400000,1556424000000,5184.527009,5301.264757,0.39358105,17.333333,AnalyticalRegime.NEUTRAL,candidate
2,long,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,36.723284,1597.372952,15.532065,6,1,vdo_trend_accel,trailing_stop,0.545188,0.039681,0.0,1556496000000,1558065600000,5366.019371,7336.597896,0.81516353,18.166667,AnalyticalRegime.NEUTRAL,candidate
3,long,2019-05-19T04:00:00Z,2019-06-04T00:00:00Z,2.172523,112.533122,16.900539,3,1,vdo_trend_accel,trailing_stop,0.509342,0.195176,0.0,1558238400000,1559606400000,7935.153319,8107.546369,0.70231484,15.833333,AnalyticalRegime.SHOCK,candidate
4,long,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,50.036427,2720.693134,20.485454,6,1,vdo_trend_accel,trailing_stop,0.607121,0.212618,0.0,1559793600000,1561651200000,7876.869097,11818.172958,0.69342169,21.5,AnalyticalRegime.BULL,candidate
5,long,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,-2.428908,-171.564973,19.743374,3,1,vdo_trend_accel,trailing_stop,0.492394,0.0641,0.0,1562126400000,1562904000000,11456.593436,11178.323287,0.581502,9.0,AnalyticalRegime.SHOCK,candidate
6,long,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,-5.896863,-384.81176,18.555717,7,1,vdo_trend_accel,trailing_stop,0.448739,0.058437,0.0,1563436800000,1563897600000,10542.328606,9920.661893,0.60452933,5.333333,AnalyticalRegime.SHOCK,candidate
7,long,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,14.894702,1031.454557,22.583416,4,1,vdo_trend_accel,trailing_stop,0.558797,0.146143,0.0,1564027200000,1565481600000,9833.293802,11297.933587,0.71248161,16.833333,AnalyticalRegime.CHOP,candidate
8,long,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,-3.593077,-270.010537,21.282653,3,1,vdo_trend_accel,trailing_stop,0.498767,0.239821,0.0,1565971200000,1566403200000,10348.619625,9976.785727,0.69806407,5.0,AnalyticalRegime.BULL,candidate
9,long,2019-08-23T16:00:00Z,2019-09-09T04:00:00Z,0.622586,32.715564,20.873889,6,1,vdo_trend_accel,trailing_stop,0.489682,0.214475,0.0,1566576000000,1568001600000,10226.255086,10289.922355,0.67829041,16.5,AnalyticalRegime.CHOP,candidate
10,long,2019-09-12T00:00:00Z,2019-09-24T20:00:00Z,-18.128607,-1310.232702,19.584278,3,1,vdo_trend_accel,emergency_dd,0.494829,0.30119,0.0,1568246400000,1569355200000,10203.466316,8353.720011,0.70356493,12.833333,AnalyticalRegime.CHOP,candidate
11,long,2019-09-26T20:00:00Z,2019-10-14T12:00:00Z,2.714891,150.132433,17.826769,3,1,vdo_dip_buy,trailing_stop,0.457319,0.075668,0.0,1569528000000,1571054400000,8053.16729,8271.80199,0.72799602,17.666667,AnalyticalRegime.NEUTRAL,candidate
12,long,2019-11-02T00:00:00Z,2019-11-21T16:00:00Z,-17.316891,-1116.286804,17.53865,5,1,vdo_trend,fixed_stop,0.457366,0.145791,0.0,1572652800000,1574352000000,9220.505352,7623.800478,0.69414753,19.666667,AnalyticalRegime.BULL,candidate
13,long,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,6.314544,336.88599,16.938341,9,1,vdo_trend_accel,trailing_stop,0.475361,0.049309,0.0,1579248000000,1581883200000,9157.887642,9736.166526,0.59766037,30.5,AnalyticalRegime.NEUTRAL,candidate
14,long,2020-02-18T16:00:00Z,2020-03-08T20:00:00Z,-15.81844,-1016.740993,17.616963,5,1,vdo_trend_accel,fixed_stop,0.506939,0.14938,0.0,1582041600000,1583697600000,9827.841839,8273.23056,0.64883681,19.166667,AnalyticalRegime.BULL,candidate
15,long,2020-03-11T04:00:00Z,2020-03-12T12:00:00Z,-23.656729,-751.569199,8.363099,2,1,vdo_trend_accel,fixed_stop,0.265084,0.175853,0.0,1583899200000,1584014400000,7935.482892,6058.207246,0.39842237,1.333333,AnalyticalRegime.NEUTRAL,candidate
16,long,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,-5.806345,-30.830428,1.509946,2,1,vdo_trend,trailing_stop,0.051632,0.032681,0.0,1588320000000,1589083200000,9145.105817,8614.109426,0.05668217,8.833333,AnalyticalRegime.NEUTRAL,candidate
17,long,2020-05-17T16:00:00Z,2020-08-04T12:00:00Z,13.532893,707.646477,16.962178,4,1,vdo_trend_accel,trailing_stop,0.539758,0.299172,0.0,1589731200000,1596542400000,9782.887168,11106.794869,0.54132555,78.833333,AnalyticalRegime.BULL,candidate
18,long,2020-08-10T04:00:00Z,2020-09-05T20:00:00Z,-16.513115,-886.14361,14.658524,4,1,vdo_trend_accel,fixed_stop,0.472126,0.234261,0.0,1597032000000,1599336000000,11914.093887,9946.705829,0.44702617,26.666667,AnalyticalRegime.BULL,candidate
19,long,2020-09-06T12:00:00Z,2020-09-21T16:00:00Z,1.365246,60.213341,14.99121,4,1,vdo_trend_accel,trailing_stop,0.486758,0.287437,0.0,1599393600000,1600704000000,10268.168059,10408.353835,0.48335693,15.166667,AnalyticalRegime.BULL,candidate
20,long,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,22.243283,1073.208737,16.218109,5,1,vdo_trend,trailing_stop,0.517182,0.127583,0.0,1601107200000,1603958400000,10737.387015,13125.734415,0.4530871,33.0,AnalyticalRegime.CHOP,candidate
21,long,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,27.578407,1425.224614,17.764809,5,1,vdo_trend,trailing_stop,0.527066,0.149487,0.0,1604131200000,1606377600000,13790.196865,17593.313483,0.37737034,26.0,AnalyticalRegime.BULL,candidate
22,long,2020-11-28T12:00:00Z,2020-12-09T00:00:00Z,3.450148,190.067318,17.603736,5,1,vdo_trend_accel,trailing_stop,0.462284,0.256188,0.0,1606564800000,1607472000000,17695.277169,18305.790471,0.32598544,10.5,AnalyticalRegime.BULL,candidate
23,long,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,86.11314,5462.202457,27.311003,3,1,vdo_trend_accel,trailing_stop,0.670677,0.181038,0.0,1607745600000,1610352000000,18450.006489,34337.886343,0.34491499,30.166667,AnalyticalRegime.BULL,candidate
24,long,2021-01-13T16:00:00Z,2021-01-20T04:00:00Z,-3.977458,-257.868343,18.39674,5,1,vdo_trend,trailing_stop,0.337782,0.058027,0.0,1610553600000,1611115200000,36478.347196,35027.436276,0.1715175,6.5,AnalyticalRegime.SHOCK,candidate
25,long,2021-01-23T04:00:00Z,2021-02-23T04:00:00Z,45.037521,3261.323972,26.745227,8,1,vdo_trend,trailing_stop,0.51206,0.059221,0.0,1611374400000,1614052800000,35748.571839,51848.842245,0.20354655,31.0,AnalyticalRegime.BULL,candidate
26,long,2021-03-02T00:00:00Z,2021-03-16T04:00:00Z,7.736789,690.669187,28.410676,6,1,vdo_trend_accel,trailing_stop,0.46733,0.063641,0.0,1614643200000,1615867200000,50324.871668,54218.400908,0.18117331,14.166667,AnalyticalRegime.BULL,candidate
27,long,2021-03-20T16:00:00Z,2021-04-17T16:00:00Z,3.599683,340.268347,30.17109,6,1,vdo_trend_accel,trailing_stop,0.465661,0.146739,0.0,1616256000000,1618675200000,58112.533368,60204.400416,0.17000153,28.0,AnalyticalRegime.BULL,candidate
28,long,2021-04-25T04:00:00Z,2021-05-05T00:00:00Z,6.033866,602.307937,31.68504,2,1,vdo_trend,trailing_stop,0.489566,0.127669,0.0,1619323200000,1620172800000,50127.247415,53151.858251,0.20452695,9.833333,AnalyticalRegime.BULL,candidate
29,long,2021-05-06T12:00:00Z,2021-05-13T20:00:00Z,-16.408693,-587.165536,9.779663,1,1,vdo_trend_accel,fixed_stop,0.154755,0.149726,0.0,1620302400000,1620936000000,58046.002497,48521.412172,0.06117982,7.333333,AnalyticalRegime.BULL,candidate
30,long,2021-05-20T08:00:00Z,2021-05-23T16:00:00Z,-15.844545,-476.796655,8.246752,3,1,vdo_trend_accel,fixed_stop,0.124807,0.05937,0.0,1621497600000,1621785600000,39549.559917,33283.111909,0.07548583,3.333333,AnalyticalRegime.SHOCK,candidate
31,long,2021-07-31T00:00:00Z,2021-08-19T04:00:00Z,3.231107,126.852806,12.57067,8,1,vdo_trend_accel,trailing_stop,0.20209,0.045303,0.0,1627689600000,1629345600000,42625.653522,44002.934042,0.09673997,19.166667,AnalyticalRegime.NEUTRAL,candidate
32,long,2021-08-19T20:00:00Z,2021-08-26T12:00:00Z,-1.406248,-139.795618,26.795433,4,1,vdo_trend_accel,trailing_stop,0.415644,0.146814,0.0,1629403200000,1629979200000,47456.430697,46789.075809,0.18954348,6.666667,AnalyticalRegime.BULL,candidate
33,long,2021-08-27T16:00:00Z,2021-09-08T04:00:00Z,-4.563863,-469.018827,29.210607,4,1,vdo_trend_accel,trailing_stop,0.467248,0.159493,0.0,1630080000000,1631073600000,48623.050791,46403.961213,0.20492845,11.5,AnalyticalRegime.BULL,candidate
34,long,2021-09-11T08:00:00Z,2021-09-20T08:00:00Z,-0.673854,-27.524789,10.001442,1,1,vdo_trend,trailing_stop,0.163535,0.154816,0.0,1631347200000,1632124800000,45089.025231,44785.191198,0.07418844,9.0,AnalyticalRegime.BULL,candidate
35,long,2021-09-22T16:00:00Z,2021-10-22T00:00:00Z,42.081448,4212.973404,36.538935,5,1,vdo_trend_accel,trailing_stop,0.568285,0.154237,0.0,1632326400000,1634860800000,43729.123731,62130.972398,0.23010833,29.333333,AnalyticalRegime.BULL,candidate
36,long,2021-10-25T04:00:00Z,2021-11-12T12:00:00Z,1.658108,178.782305,35.918315,6,1,vdo_trend_accel,trailing_stop,0.479807,0.151541,0.0,1635134400000,1636718400000,62650.637714,63689.452748,0.18953242,18.333333,AnalyticalRegime.BULL,candidate
37,long,2021-11-15T08:00:00Z,2021-12-04T08:00:00Z,-20.913872,-2563.326486,32.73906,6,1,vdo_trend,fixed_stop,0.462334,0.127801,0.0,1636963200000,1638604800000,59676.10302,47195.519061,0.20422671,19.0,AnalyticalRegime.BULL,candidate
38,long,2021-12-12T00:00:00Z,2022-01-07T04:00:00Z,-15.269595,-1700.95404,30.61222,6,1,vdo_trend_accel,fixed_stop,0.46448,0.216109,0.0,1639267200000,1641528000000,49287.286566,41761.317341,0.22414563,26.166667,AnalyticalRegime.BULL,candidate
39,long,2023-03-30T08:00:00Z,2023-04-17T08:00:00Z,4.850126,474.398007,31.062298,4,1,vdo_trend_accel,trailing_stop,0.483424,0.146329,0.0,1680163200000,1681718400000,28429.597766,29808.46916,0.3555784,18.0,AnalyticalRegime.BULL,candidate
40,long,2023-04-18T12:00:00Z,2023-07-08T08:00:00Z,3.343228,347.512859,33.246393,6,1,vdo_trend_accel,trailing_stop,0.506547,0.212209,0.0,1681819200000,1688803200000,29187.373802,30163.174188,0.37344663,80.833333,AnalyticalRegime.BULL,candidate
41,long,2023-07-09T16:00:00Z,2023-09-11T16:00:00Z,-16.405814,-1960.378556,32.657701,8,1,vdo_trend_accel,fixed_stop,0.505847,0.172428,0.0,1688918400000,1694448000000,30015.090164,25090.870299,0.39508976,64.0,AnalyticalRegime.BULL,candidate
42,long,2023-10-02T04:00:00Z,2023-11-07T12:00:00Z,21.756278,1863.101397,28.726332,8,1,vdo_trend_accel,trailing_stop,0.474155,0.023978,0.0,1696219200000,1699358400000,28411.849855,34593.210827,0.30395794,36.333333,AnalyticalRegime.NEUTRAL,candidate
