v10_trade_id,v10_entry_ts,v10_exit_ts,v10_entry_price,v10_exit_price,v10_qty,v10_notional,v10_net_pnl,v10_gross_pnl,v10_fees_total,v10_return_pct,v10_bars_held,v10_days_held,v10_mfe_pct,v10_mae_pct,v10_entry_reason,v10_exit_reason,v10_entry_regime,v10_exit_regime,v10_holding_regime_mode,v10_worst_regime,v10_n_buy_fills,v11_trade_id,v11_entry_ts,v11_exit_ts,v11_entry_price,v11_exit_price,v11_qty,v11_notional,v11_net_pnl,v11_gross_pnl,v11_fees_total,v11_return_pct,v11_bars_held,v11_days_held,v11_mfe_pct,v11_mae_pct,v11_entry_reason,v11_exit_reason,v11_entry_regime,v11_exit_regime,v11_holding_regime_mode,v11_worst_regime,v11_n_buy_fills,delta_net_pnl,delta_gross_pnl,delta_return_pct,delta_fees,delta_days_held,delta_bars_held,delta_exit_price,size_ratio,delta_notional,delta_mfe_pct,delta_mae_pct,same_exit_reason,same_entry_regime,exit_effect,size_effect,fee_effect,interaction
V10_base_1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,5170.82,5303.65,0.81661717,4222.58,104.14,112.7,8.55,2.5689,105,17.33,8.3001,5.9874,vdo_trend_accel,trailing_stop,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8,V11_base_1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,5170.82,5303.65,0.81661717,4222.58,104.14,112.7,8.55,2.5689,105,17.33,8.3001,5.9874,vdo_trend_accel,trailing_stop,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,True,True,0.0,0.0,-0.0,0.0
V10_base_2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,5388.94,7339.9,1.77070066,9542.21,3441.56,3464.1,22.54,36.203,110,18.17,55.2438,3.8995,vdo_trend_accel,trailing_stop,NEUTRAL,BULL,BULL,SHOCK,9,V11_base_2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,5388.94,7339.9,1.77070066,9542.21,3441.56,3464.1,22.54,36.203,110,18.17,55.2438,3.8995,vdo_trend_accel,trailing_stop,NEUTRAL,BULL,BULL,SHOCK,9,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,True,True,0.0,0.0,-0.0,0.0
V10_base_3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,7622.66,8111.2,1.70455187,12993.21,818.92,845.74,26.82,6.4091,104,17.17,19.0433,7.2502,vdo_dip_buy,trailing_stop,BULL,BULL,BULL,SHOCK,3,V11_base_3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,7623.52,8111.2,1.6489411,12570.74,790.77,816.71,25.95,6.3969,104,17.17,19.0297,7.2607,vdo_dip_buy,trailing_stop,BULL,BULL,BULL,SHOCK,5,-28.149999999999977,-29.029999999999973,-0.012199999999999989,-0.870000000000001,0.0,0,0.0,0.9674853250274567,-422.46999999999935,-0.013600000000000279,0.01049999999999951,True,True,0.0,-27.17,0.87,-1.85
V10_base_4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,7883.53,11823.49,1.75928296,13869.36,6910.71,6945.38,34.67,49.9771,130,21.5,77.2049,5.5679,vdo_trend_accel,trailing_stop,BULL,SHOCK,BULL,SHOCK,8,V11_base_4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,7883.53,11823.49,1.75588069,13842.54,6897.35,6931.95,34.6,49.9771,130,21.5,77.2049,5.5679,vdo_trend_accel,trailing_stop,BULL,SHOCK,BULL,SHOCK,8,-13.359999999999673,-13.430000000000291,0.0,-0.07000000000000028,0.0,0,0.0,0.9980662409801173,-26.81999999999971,0.0,0.0,True,True,0.0,-13.4,0.07,-0.03
V10_base_5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,11436.42,11183.36,1.40170408,16030.48,-370.4,-338.7,31.71,-2.2128,55,9.0,14.958,5.596,vdo_trend_accel,trailing_stop,BULL,BULL,BULL,SHOCK,4,V11_base_5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,11436.42,11183.36,1.39899333,15999.48,-369.69,-338.04,31.64,-2.2128,55,9.0,14.958,5.596,vdo_trend_accel,trailing_stop,BULL,BULL,BULL,SHOCK,4,0.7099999999999795,0.6599999999999682,0.0,-0.07000000000000028,0.0,0,0.0,0.9980661839196331,-31.0,0.0,0.0,True,True,0.0,0.69,0.07,-0.05
V10_base_6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,10494.3,9925.13,1.15170265,12086.31,-666.95,-643.43,23.52,-5.4236,33,5.33,5.4762,11.8379,vdo_trend_accel,trailing_stop,BULL,CHOP,BULL,SHOCK,7,V11_base_6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,10494.3,9925.13,1.14947538,12062.94,-665.66,-642.19,23.47,-5.4236,33,5.33,5.4762,11.8379,vdo_trend_accel,trailing_stop,BULL,CHOP,BULL,SHOCK,7,1.2900000000000773,1.2399999999998954,0.0,-0.05000000000000071,0.0,0,0.0,0.9980664073650272,-23.36999999999898,0.0,0.0,True,True,0.0,1.27,0.05,-0.03
V10_base_7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,9881.83,11303.02,1.90591308,18833.91,2687.12,2727.5,40.38,14.3818,102,16.83,24.7815,7.254,vdo_trend_accel,trailing_stop,CHOP,BULL,CHOP,SHOCK,6,V11_base_7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,9881.83,11303.02,1.90222725,18797.49,2681.92,2722.22,40.3,14.3818,102,16.83,24.7815,7.254,vdo_trend_accel,trailing_stop,CHOP,BULL,CHOP,SHOCK,6,-5.199999999999818,-5.2800000000002,0.0,-0.0800000000000054,0.0,0,0.0,0.9980662539005444,-36.419999999998254,0.0,0.0,True,True,0.0,-5.24,0.08,-0.04
V10_base_8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,10328.39,9981.28,2.10052579,21695.05,-750.09,-707.43,42.66,-3.3608,31,5.0,6.018,4.5544,vdo_trend_accel,emergency_dd,BULL,CHOP,BULL,CHOP,4,V11_base_8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,10328.39,9981.28,2.0964636,21653.1,-748.64,-706.06,42.58,-3.3608,31,5.0,6.018,4.5544,vdo_trend_accel,emergency_dd,BULL,CHOP,BULL,CHOP,4,1.4500000000000455,1.3700000000000045,0.0,-0.0799999999999983,0.0,0,0.0,0.998066379197098,-41.95000000000073,0.0,0.0,True,True,0.0,1.41,0.08,-0.04
V10_base_9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,10267.12,9679.9,1.82044173,18690.69,-1086.61,-1050.29,36.31,-5.7193,32,5.17,3.2812,6.4878,vdo_trend_accel,emergency_dd,CHOP,CHOP,CHOP,CHOP,5,V11_base_9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,10267.12,9679.9,1.81692119,18654.54,-1084.5,-1048.26,36.24,-5.7193,32,5.17,3.2812,6.4878,vdo_trend_accel,emergency_dd,CHOP,CHOP,CHOP,CHOP,5,2.1099999999999,2.0299999999999727,0.0,-0.07000000000000028,0.0,0,0.0,0.998065881997936,-36.14999999999782,0.0,0.0,True,True,0.0,2.07,0.07,-0.03
V10_base_10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,9637.44,10294.56,2.17272437,20939.51,1405.36,1448.66,43.31,6.8183,56,9.17,13.1614,2.2485,vdo_trend_accel,trailing_stop,BULL,CHOP,CHOP,CHOP,4,V11_base_10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,9637.44,10294.56,2.16852255,20899.01,1402.64,1445.86,43.22,6.8183,56,9.17,13.1614,2.2485,vdo_trend_accel,trailing_stop,BULL,CHOP,CHOP,CHOP,4,-2.7199999999998,-2.800000000000182,0.0,-0.09000000000000341,0.0,0,0.0,0.9980658573194884,-40.5,0.0,0.0,True,True,0.0,-2.76,0.09,-0.05
