regime,regime_type,n_trades,total_net_pnl,mean_net_pnl,median_net_pnl,mean_return_pct,median_return_pct,hit_rate_pct,mean_mfe_pct,mean_mae_pct,mfe_mae_ratio,mean_days_held,mean_bars_held,mean_fees,total_fees,low_confidence
BULL,entry_regime,59,142742.78,2419.37,219.69,4.4331,0.5224,50.8,14.6233,7.1083,2.06,15.2,92.0,150.53,8881.46,False
NEUTRAL,entry_regime,20,-2313.0,-115.65,-556.94,1.3526,-2.0062,40.0,10.7563,8.15,1.32,12.4,75.1,116.44,2328.85,False
CHOP,entry_regime,15,22683.89,1512.26,494.49,3.8927,0.4772,53.3,11.5858,6.4197,1.8,16.3,98.8,147.7,2215.57,False
TOPPING,entry_regime,5,-14140.36,-2828.07,-3845.39,-2.7219,-3.264,20.0,3.8578,4.5042,0.86,9.6,58.8,222.97,1114.87,True
SHOCK,entry_regime,3,-13533.2,-4511.07,-2314.25,-6.6358,-12.0553,33.3,10.2449,15.069,0.68,7.8,47.7,131.55,394.65,True
BULL,holding_regime_mode,69,174167.88,2524.17,432.05,5.4139,0.5646,53.6,15.2701,6.6397,2.3,15.7,95.0,159.08,10976.46,False
NEUTRAL,holding_regime_mode,17,-22384.51,-1316.74,-800.54,-2.0598,-3.9955,35.3,7.0882,9.2293,0.77,11.3,68.5,128.14,2178.46,False
CHOP,holding_regime_mode,12,-10716.51,-893.04,-784.76,-1.8355,-4.0283,33.3,6.9629,8.0498,0.86,10.3,62.5,115.32,1383.86,False
TOPPING,holding_regime_mode,3,-3312.5,-1104.17,-2217.9,4.3218,-2.899,33.3,12.3132,4.4191,2.79,19.7,119.0,123.39,370.16,True
SHOCK,holding_regime_mode,1,-2314.25,-2314.25,-2314.25,-16.0059,-16.0059,0.0,7.0838,21.5228,0.33,3.3,21.0,26.46,26.46,True
