time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07904840,5365.78,0.4242,424.16,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30986348,5049.76,1.5647,1564.74,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16349443,5134.10,0.8394,839.40,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07511575,5220.43,0.3921,392.14,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04757888,5265.62,0.2505,250.53,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04978616,5273.54,0.2625,262.55,vdo_trend_accel
2019-04-20T04:00:00Z,1555732800000,BUY,0.03355975,5279.47,0.1772,177.18,vdo_trend
2019-04-22T20:00:00Z,1555963200000,BUY,0.04731812,5357.64,0.2535,253.51,vdo_trend_accel
2019-04-27T12:00:00Z,1556366400000,SELL,0.80576497,5274.64,4.2501,4250.12,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15036178,5312.73,0.7988,798.83,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22423095,5220.47,1.1706,1170.59,vdo_dip_buy
2019-04-30T12:00:00Z,1556625600000,BUY,0.18471807,5285.23,0.9763,976.28,vdo_trend_accel
2019-04-30T20:00:00Z,1556654400000,BUY,0.17866181,5295.44,0.9461,946.09,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.13151235,5351.86,0.7038,703.84,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66015440,5390.47,3.5585,3558.54,vdo_trend_accel
2019-05-02T12:00:00Z,1556798400000,BUY,0.08343588,5447.72,0.4545,454.53,vdo_trend_accel
2019-05-02T20:00:00Z,1556827200000,BUY,0.04309477,5509.04,0.2374,237.41,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03075920,5844.71,0.1798,179.78,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08413329,5959.19,0.5014,501.37,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.77106250,7339.90,12.9994,12999.42,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.66349189,7139.66,4.7371,4737.10,vdo_dip_buy
2019-05-19T08:00:00Z,1558252800000,BUY,0.62089366,7913.49,4.9134,4913.44,vdo_trend_accel
2019-05-19T16:00:00Z,1558281600000,BUY,0.39096812,7965.57,3.1143,3114.28,vdo_trend_accel
2019-05-20T00:00:00Z,1558310400000,BUY,0.05311987,8152.42,0.4331,433.06,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.72847354,8111.20,14.0200,14019.99,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.63841071,7856.18,5.0155,5015.47,vdo_trend_accel
2019-06-06T12:00:00Z,1559822400000,BUY,0.38977453,7836.27,3.0544,3054.38,vdo_trend
2019-06-07T00:00:00Z,1559865600000,BUY,0.23509389,7791.85,1.8318,1831.82,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.14398749,7985.72,1.1498,1149.84,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.15922625,7903.26,1.2584,1258.41,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.07409785,7918.80,0.5868,586.77,vdo_trend_accel
2019-06-11T00:00:00Z,1560211200000,BUY,0.05192331,7985.39,0.4146,414.63,vdo_trend_accel
2019-06-11T08:00:00Z,1560240000000,BUY,0.04781989,7901.90,0.3779,377.87,vdo_trend_accel
2019-06-27T16:00:00Z,1561651200000,SELL,1.74033392,11823.49,20.5768,20576.83,trailing_stop
2019-07-03T04:00:00Z,1562126400000,BUY,0.18634366,11295.67,2.1049,2104.88,vdo_trend_accel
2019-07-06T04:00:00Z,1562385600000,BUY,0.12461910,11452.11,1.4272,1427.15,vdo_trend_accel
2019-07-06T12:00:00Z,1562414400000,BUY,0.31600186,11376.25,3.5949,3594.92,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.64774456,11480.49,7.4364,7436.43,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.16836163,11426.80,1.9238,1923.84,vdo_trend_accel
2019-07-11T16:00:00Z,1562860800000,SELL,1.44307083,11489.11,16.5796,16579.60,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.17443536,9793.99,1.7084,1708.42,vdo_trend_accel
2019-07-18T16:00:00Z,1563465600000,BUY,0.12109042,10448.78,1.2652,1265.25,vdo_trend_accel
2019-07-19T00:00:00Z,1563494400000,BUY,0.06807652,10634.49,0.7240,723.96,vdo_trend
2019-07-19T08:00:00Z,1563523200000,BUY,0.06797404,10605.15,0.7209,720.87,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.02784627,10397.68,0.2895,289.54,vdo_trend
2019-07-20T04:00:00Z,1563595200000,BUY,0.23576313,10513.27,2.4786,2478.64,vdo_trend
2019-07-20T12:00:00Z,1563624000000,BUY,0.19614750,10574.01,2.0741,2074.07,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.12435775,10904.66,1.3561,1356.08,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.20538981,10595.98,2.1763,2176.31,vdo_trend_accel
