trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-27T12:00:00Z,1554926400000,1556366400000,5166.73,5275.96,0.80597886,86.54,2.11,16.67,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5378.17,7341.74,1.77357144,3477.96,36.51,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7633.92,8113.23,1.73385215,826.12,6.28,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7863.89,11826.45,1.74881605,6922.55,50.39,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-11T16:00:00Z,1562126400000,1562860800000,11422.24,11491.98,1.45231353,95.45,0.61,8.50,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T08:00:00Z,1563436800000,1563868800000,10474.33,10038.60,1.23039621,-540.45,-4.16,5.00,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-10T20:00:00Z,1564027200000,1565467200000,9902.18,11328.16,1.99202116,2832.69,14.40,16.67,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T08:00:00Z,1565971200000,1566374400000,10362.14,10135.95,2.28083133,-524.00,-2.18,4.67,vdo_trend_accel,trailing_stop
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10330.24,9682.32,2.01953026,-1315.32,-6.27,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-08T20:00:00Z,1567209600000,1567972800000,9626.78,10337.29,2.26523233,1601.27,7.38,8.83,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10198.23,9819.75,2.28111038,-871.20,-3.71,7.17,vdo_trend_accel,emergency_dd
