trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-27T12:00:00Z,1554926400000,1556366400000,5188.67,5274.64,0.81824736,66.03,1.66,16.67,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5375.66,7339.90,1.80995747,3541.91,36.54,18.17,vdo_trend_accel,trailing_stop
3,2019-05-19T04:00:00Z,2019-05-23T00:00:00Z,1558238400000,1558569600000,7942.22,7623.61,1.64061394,-535.24,-4.01,3.83,vdo_trend_accel,emergency_dd
4,2019-05-24T12:00:00Z,2019-06-04T00:00:00Z,1558699200000,1559606400000,8050.58,8111.20,1.50459361,79.00,0.75,10.50,vdo_trend_accel,trailing_stop
5,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7865.83,11823.49,1.59336768,6287.17,50.31,21.50,vdo_trend_accel,trailing_stop
6,2019-07-03T04:00:00Z,2019-07-11T16:00:00Z,1562126400000,1562860800000,11425.08,11489.11,1.32120762,69.41,0.56,8.50,vdo_trend_accel,trailing_stop
7,2019-07-18T08:00:00Z,2019-07-23T08:00:00Z,1563436800000,1563868800000,10512.37,10036.09,1.17203361,-569.98,-4.53,5.00,vdo_trend_accel,trailing_stop
8,2019-07-25T04:00:00Z,2019-08-10T20:00:00Z,1564027200000,1565467200000,9878.24,11325.33,1.79960476,2583.81,14.65,16.67,vdo_trend_accel,trailing_stop
9,2019-08-16T16:00:00Z,2019-08-21T08:00:00Z,1565971200000,1566374400000,10364.74,10133.41,2.06328203,-498.19,-2.23,4.67,vdo_trend_accel,trailing_stop
10,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10332.88,9679.90,1.82361826,-1208.42,-6.32,5.17,vdo_trend_accel,emergency_dd
11,2019-08-31T00:00:00Z,2019-09-08T20:00:00Z,1567209600000,1567972800000,9629.14,10334.70,2.04159117,1419.38,7.33,8.83,vdo_trend_accel,trailing_stop
12,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10200.69,9817.30,2.05243288,-807.04,-3.76,7.17,vdo_trend_accel,emergency_dd
13,2019-09-20T00:00:00Z,2019-09-23T20:00:00Z,1568937600000,1569268800000,10177.39,9800.80,1.64146081,-634.26,-3.70,3.83,vdo_trend_accel,emergency_dd
14,2019-09-26T00:00:00Z,2019-10-31T04:00:00Z,1569456000000,1572494400000,8242.74,9095.01,2.34291139,1975.47,10.34,35.17,vdo_dip_buy,trailing_stop
15,2019-11-02T00:00:00Z,2019-11-15T04:00:00Z,1572652800000,1573790400000,9262.09,8553.42,2.19581701,-1574.88,-7.65,13.17,vdo_trend,emergency_dd
16,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8486.68,7627.23,0.82363151,-714.15,-10.13,4.50,vdo_trend_accel,emergency_dd
17,2020-01-17T08:00:00Z,2020-02-11T08:00:00Z,1579248000000,1581408000000,9153.48,9734.51,2.01777030,1152.76,6.35,25.00,vdo_trend_accel,trailing_stop
18,2020-02-18T16:00:00Z,2020-02-26T04:00:00Z,1582041600000,1582689600000,9898.47,9165.09,2.05616967,-1526.81,-7.41,7.50,vdo_trend_accel,emergency_dd
19,2020-02-29T00:00:00Z,2020-03-08T04:00:00Z,1582934400000,1583640000000,8703.23,8742.11,2.05182766,61.84,0.45,8.17,vdo_trend_accel,trailing_stop
20,2020-03-11T04:00:00Z,2020-03-12T08:00:00Z,1583899200000,1584000000000,7904.48,7388.05,1.57031492,-822.55,-6.53,1.17,vdo_trend_accel,emergency_dd
21,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9178.31,8617.99,0.17465680,-99.37,-6.10,8.83,vdo_trend,trailing_stop
22,2020-05-17T16:00:00Z,2020-05-20T16:00:00Z,1589731200000,1589990400000,9846.96,9409.33,1.27611981,-570.47,-4.44,3.00,vdo_trend_accel,emergency_dd
23,2020-05-23T04:00:00Z,2020-06-03T04:00:00Z,1590206400000,1591156800000,9181.34,9486.36,1.82657813,539.82,3.32,11.00,vdo_trend_accel,trailing_stop
24,2020-06-04T16:00:00Z,2020-06-27T20:00:00Z,1591286400000,1593288000000,9690.33,8932.54,1.80535789,-1384.22,-7.82,23.17,vdo_trend_accel,emergency_dd
25,2020-06-29T20:00:00Z,2020-08-03T00:00:00Z,1593460800000,1596412800000,9181.92,11065.27,1.72201473,3224.10,20.51,34.17,vdo_trend_accel,trailing_stop
26,2020-08-10T04:00:00Z,2020-08-22T00:00:00Z,1597032000000,1598054400000,11888.30,11524.89,1.55731044,-583.89,-3.06,11.83,vdo_trend_accel,emergency_dd
27,2020-08-23T00:00:00Z,2020-09-03T16:00:00Z,1598140800000,1599148800000,11674.45,10664.41,1.56122149,-1593.55,-8.65,11.67,vdo_trend_accel,emergency_dd
28,2020-09-06T08:00:00Z,2020-09-21T12:00:00Z,1599379200000,1600689600000,10220.02,10630.61,1.64536163,658.08,4.02,15.17,vdo_trend_accel,trailing_stop
29,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,1601107200000,1603958400000,10749.31,13131.64,1.63379027,3870.78,22.16,33.00,vdo_trend,trailing_stop
30,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,1604131200000,1606377600000,13826.67,17601.24,1.51841203,5704.62,27.30,26.00,vdo_trend,trailing_stop
31,2020-11-28T12:00:00Z,2020-12-08T12:00:00Z,1606564800000,1607428800000,17794.82,18752.63,1.47345363,1383.65,5.38,10.00,vdo_trend_accel,trailing_stop
32,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,1607745600000,1610352000000,18513.67,34353.35,1.50848228,23842.06,85.56,30.17,vdo_trend_accel,trailing_stop
33,2021-01-13T16:00:00Z,2021-01-17T08:00:00Z,1610553600000,1610870400000,36586.33,34741.79,0.45003638,-845.74,-5.04,3.67,vdo_trend,trailing_stop
34,2021-01-18T16:00:00Z,2021-01-22T00:00:00Z,1610985600000,1611273600000,36864.99,30835.02,0.60074785,-3641.02,-16.36,3.33,vdo_trend_accel,fixed_stop
35,2021-01-23T04:00:00Z,2021-01-27T12:00:00Z,1611374400000,1611748800000,32704.15,30618.89,0.88916104,-1881.35,-6.38,4.33,vdo_trend,trailing_stop
36,2021-02-06T04:00:00Z,2021-02-23T04:00:00Z,1612584000000,1614052800000,40489.22,51872.19,0.92558044,10487.84,28.11,17.00,vdo_trend_accel,trailing_stop
37,2021-03-02T00:00:00Z,2021-03-06T16:00:00Z,1614643200000,1615046400000,49760.02,47241.89,0.58236070,-1493.97,-5.06,4.67,vdo_trend_accel,trailing_stop
38,2021-03-07T08:00:00Z,2021-03-16T00:00:00Z,1615104000000,1615852800000,52760.62,55574.62,0.98680696,2722.03,5.33,8.67,vdo_trend_accel,trailing_stop
39,2021-03-20T16:00:00Z,2021-04-17T12:00:00Z,1616256000000,1618660800000,58267.37,60853.45,0.93700765,2366.15,4.44,27.83,vdo_trend_accel,trailing_stop
40,2021-04-25T04:00:00Z,2021-05-04T16:00:00Z,1619323200000,1620144000000,49643.20,53772.95,1.15026782,4688.47,8.32,9.50,vdo_trend,trailing_stop
41,2021-05-06T12:00:00Z,2021-05-13T20:00:00Z,1620302400000,1620936000000,58019.90,48543.26,0.33960578,-3234.81,-16.33,7.33,vdo_trend_accel,fixed_stop
42,2021-05-20T08:00:00Z,2021-05-23T16:00:00Z,1621497600000,1621785600000,40270.35,33298.10,0.37014931,-2593.10,-17.31,3.33,vdo_trend_accel,fixed_stop
43,2021-07-31T00:00:00Z,2021-08-18T12:00:00Z,1627689600000,1629288000000,42494.02,44721.99,0.57664540,1258.96,5.24,18.50,vdo_trend_accel,trailing_stop
44,2021-08-19T20:00:00Z,2021-08-25T00:00:00Z,1629403200000,1629849600000,47311.91,47647.79,1.11135414,320.33,0.71,5.17,vdo_trend_accel,trailing_stop
45,2021-08-27T16:00:00Z,2021-09-07T16:00:00Z,1630080000000,1631030400000,48751.55,46630.41,1.19387348,-2588.05,-4.35,11.00,vdo_trend_accel,trailing_stop
46,2021-09-11T08:00:00Z,2021-09-20T04:00:00Z,1631347200000,1632110400000,45068.75,45517.70,0.39417052,159.02,1.00,8.83,vdo_trend,trailing_stop
47,2021-09-22T16:00:00Z,2021-09-29T00:00:00Z,1632326400000,1632873600000,43642.62,41002.45,1.28309796,-3440.21,-6.05,6.33,vdo_trend_accel,emergency_dd
48,2021-09-30T20:00:00Z,2021-10-22T00:00:00Z,1633032000000,1634860800000,45804.31,62158.95,1.13851038,18549.16,35.71,21.17,vdo_trend_accel,trailing_stop
49,2021-10-25T04:00:00Z,2021-11-12T08:00:00Z,1635134400000,1636704000000,62449.57,64452.65,1.12607029,2183.02,3.21,18.17,vdo_trend_accel,trailing_stop
50,2021-11-15T08:00:00Z,2021-11-26T12:00:00Z,1636963200000,1637928000000,60953.83,53689.77,1.16451124,-8521.61,-11.92,11.17,vdo_trend,emergency_dd
51,2021-11-29T00:00:00Z,2021-12-03T20:00:00Z,1638144000000,1638561600000,57411.38,53809.05,0.72938872,-2666.75,-6.27,4.83,vdo_trend_accel,emergency_dd
52,2021-12-12T00:00:00Z,2021-12-13T16:00:00Z,1639267200000,1639411200000,49464.58,47226.03,1.18076942,-2698.97,-4.53,1.67,vdo_trend_accel,emergency_dd
53,2021-12-15T00:00:00Z,2021-12-28T20:00:00Z,1639526400000,1640721600000,48787.83,47663.23,0.79251926,-929.04,-2.31,13.83,vdo_trend_accel,trailing_stop
54,2021-12-31T16:00:00Z,2022-01-21T00:00:00Z,1640966400000,1642723200000,48031.78,40658.55,0.37243060,-2761.16,-15.35,20.33,vdo_trend_accel,fixed_stop
55,2023-03-30T08:00:00Z,2023-04-17T04:00:00Z,1680163200000,1681704000000,28485.29,29966.31,1.94465951,2821.81,5.20,17.83,vdo_trend_accel,trailing_stop
