trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5188.67,5303.65,0.81824736,89.75,2.22,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5375.66,7339.90,1.81422377,3550.26,36.54,18.17,vdo_trend_accel,trailing_stop
3,2019-05-19T04:00:00Z,2019-05-23T00:00:00Z,1558238400000,1558569600000,7942.22,7623.61,1.64448108,-536.50,-4.01,3.83,vdo_trend_accel,emergency_dd
4,2019-05-24T12:00:00Z,2019-06-04T00:00:00Z,1558699200000,1559606400000,8050.58,8111.20,1.50814013,79.18,0.75,10.50,vdo_trend_accel,trailing_stop
5,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7865.83,11823.49,1.59712346,6301.99,50.31,21.50,vdo_trend_accel,trailing_stop
6,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11425.08,11183.36,1.32432187,-334.94,-2.12,9.00,vdo_trend_accel,trailing_stop
7,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10512.37,9925.13,1.15041040,-686.99,-5.59,5.33,vdo_trend_accel,trailing_stop
8,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,1564027200000,1565481600000,9878.24,11303.02,1.75423489,2479.58,14.42,16.83,vdo_trend_accel,trailing_stop
9,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10364.74,9981.28,2.00749980,-789.83,-3.70,5.00,vdo_trend_accel,emergency_dd
10,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10332.88,9679.90,1.74770069,-1158.12,-6.32,5.17,vdo_trend_accel,emergency_dd
11,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9629.14,10294.56,1.95659935,1281.82,6.91,9.17,vdo_trend_accel,trailing_stop
12,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10200.69,9817.30,1.95934842,-770.44,-3.76,7.17,vdo_trend_accel,emergency_dd
13,2019-09-20T00:00:00Z,2019-09-23T20:00:00Z,1568937600000,1569268800000,10177.39,9800.80,1.56701527,-605.49,-3.70,3.83,vdo_trend_accel,emergency_dd
14,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8242.74,9059.14,2.23665280,1805.73,9.90,36.17,vdo_dip_buy,trailing_stop
15,2019-11-02T00:00:00Z,2019-11-15T04:00:00Z,1572652800000,1573790400000,9262.09,8553.42,2.08806493,-1497.60,-7.65,13.17,vdo_trend,emergency_dd
16,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8486.68,7627.23,0.78321466,-679.10,-10.13,4.50,vdo_trend_accel,emergency_dd
17,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9153.48,9740.55,1.91875525,1107.76,6.41,30.50,vdo_trend_accel,trailing_stop
18,2020-02-18T16:00:00Z,2020-02-26T04:00:00Z,1582041600000,1582689600000,9898.47,9165.09,1.95643814,-1452.76,-7.41,7.50,vdo_trend_accel,emergency_dd
19,2020-02-29T00:00:00Z,2020-03-08T12:00:00Z,1582934400000,1583668800000,8703.23,8736.49,1.95230674,47.89,0.38,8.50,vdo_trend_accel,trailing_stop
20,2020-03-11T04:00:00Z,2020-03-12T08:00:00Z,1583899200000,1584000000000,7904.48,7388.05,1.49323743,-782.17,-6.53,1.17,vdo_trend_accel,emergency_dd
21,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9178.31,8617.99,0.16608393,-94.49,-6.10,8.83,vdo_trend,trailing_stop
22,2020-05-17T16:00:00Z,2020-05-20T16:00:00Z,1589731200000,1589990400000,9846.96,9409.33,1.21348262,-542.47,-4.44,3.00,vdo_trend_accel,emergency_dd
23,2020-05-23T04:00:00Z,2020-06-04T08:00:00Z,1590206400000,1591257600000,9181.34,9644.28,1.73692219,787.35,5.04,12.17,vdo_trend_accel,trailing_stop
24,2020-06-05T00:00:00Z,2020-06-27T20:00:00Z,1591315200000,1593288000000,9629.77,8932.54,1.74029519,-1228.93,-7.24,22.83,vdo_trend_accel,emergency_dd
25,2020-06-29T20:00:00Z,2020-08-03T00:00:00Z,1593460800000,1596412800000,9181.92,11065.27,1.67525515,3136.55,20.51,34.17,vdo_trend_accel,trailing_stop
26,2020-08-10T04:00:00Z,2020-08-22T00:00:00Z,1597032000000,1598054400000,11888.30,11524.89,1.51502324,-568.03,-3.06,11.83,vdo_trend_accel,emergency_dd
27,2020-08-23T00:00:00Z,2020-09-03T16:00:00Z,1598140800000,1599148800000,11674.45,10664.41,1.51882809,-1550.28,-8.65,11.67,vdo_trend_accel,emergency_dd
28,2020-09-06T08:00:00Z,2020-09-21T16:00:00Z,1599379200000,1600704000000,10220.02,10413.04,1.60068348,292.30,1.89,15.33,vdo_trend_accel,trailing_stop
29,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,1601107200000,1603958400000,10749.31,13131.64,1.55803574,3691.30,22.16,33.00,vdo_trend,trailing_stop
30,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,1604131200000,1606377600000,13826.67,17601.24,1.44800728,5440.11,27.30,26.00,vdo_trend,trailing_stop
31,2020-11-28T12:00:00Z,2020-12-09T00:00:00Z,1606564800000,1607472000000,17794.82,18314.03,1.40513348,703.83,2.92,10.50,vdo_trend_accel,trailing_stop
32,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,1607745600000,1610352000000,18513.67,34353.35,1.40651506,22230.43,85.56,30.17,vdo_trend_accel,trailing_stop
33,2021-01-13T16:00:00Z,2021-01-20T04:00:00Z,1610553600000,1611115200000,36533.69,35043.21,0.87279324,-1331.47,-4.08,6.50,vdo_trend,trailing_stop
34,2021-01-23T04:00:00Z,2021-02-23T04:00:00Z,1611374400000,1614052800000,34597.03,51872.19,1.19539381,20588.61,49.93,31.00,vdo_trend,trailing_stop
35,2021-03-02T00:00:00Z,2021-03-16T04:00:00Z,1614643200000,1615867200000,51191.32,54242.81,1.27935492,3834.54,5.96,14.17,vdo_trend_accel,trailing_stop
36,2021-03-20T16:00:00Z,2021-04-17T16:00:00Z,1616256000000,1618675200000,58267.37,60231.51,1.16684337,2221.56,3.37,28.00,vdo_trend_accel,trailing_stop
37,2021-04-25T04:00:00Z,2021-05-05T00:00:00Z,1619323200000,1620172800000,49643.20,53175.79,1.41858153,4935.83,7.12,9.83,vdo_trend,trailing_stop
38,2021-05-06T12:00:00Z,2021-05-13T20:00:00Z,1620302400000,1620936000000,58019.90,48543.26,0.41439596,-3947.20,-16.33,7.33,vdo_trend_accel,fixed_stop
39,2021-05-20T08:00:00Z,2021-05-23T16:00:00Z,1621497600000,1621785600000,40270.35,33298.10,0.45166598,-3164.17,-17.31,3.33,vdo_trend_accel,fixed_stop
40,2021-07-31T00:00:00Z,2021-08-19T04:00:00Z,1627689600000,1629345600000,42494.02,44022.75,0.70363797,1044.69,3.60,19.17,vdo_trend_accel,trailing_stop
41,2021-08-19T20:00:00Z,2021-08-26T12:00:00Z,1629403200000,1629979200000,47311.91,46810.14,1.34704363,-738.96,-1.06,6.67,vdo_trend_accel,trailing_stop
42,2021-08-27T16:00:00Z,2021-09-08T04:00:00Z,1630080000000,1631073600000,48751.55,46424.86,1.42484143,-3381.32,-4.77,11.50,vdo_trend_accel,trailing_stop
43,2021-09-11T08:00:00Z,2021-09-20T08:00:00Z,1631347200000,1632124800000,45068.75,44805.36,0.46843572,-144.37,-0.58,9.00,vdo_trend,trailing_stop
44,2021-09-22T16:00:00Z,2021-09-29T00:00:00Z,1632326400000,1632873600000,43642.62,41002.45,1.51747735,-4068.62,-6.05,6.33,vdo_trend_accel,emergency_dd
45,2021-09-30T20:00:00Z,2021-10-22T00:00:00Z,1633032000000,1634860800000,45804.31,62158.95,1.34647842,21937.48,35.71,21.17,vdo_trend_accel,trailing_stop
46,2021-10-25T04:00:00Z,2021-11-12T12:00:00Z,1635134400000,1636718400000,62449.57,63718.13,1.33176594,1604.56,2.03,18.33,vdo_trend_accel,trailing_stop
47,2021-11-15T08:00:00Z,2021-11-26T12:00:00Z,1636963200000,1637928000000,60953.83,53689.77,1.36208969,-9967.44,-11.92,11.17,vdo_trend,emergency_dd
48,2021-11-29T00:00:00Z,2021-12-03T20:00:00Z,1638144000000,1638561600000,57411.38,53809.05,0.85314148,-3119.20,-6.27,4.83,vdo_trend_accel,emergency_dd
49,2021-12-12T00:00:00Z,2021-12-13T16:00:00Z,1639267200000,1639411200000,49464.58,47226.03,1.38110633,-3156.89,-4.53,1.67,vdo_trend_accel,emergency_dd
50,2021-12-15T00:00:00Z,2021-12-28T20:00:00Z,1639526400000,1640721600000,48787.83,47663.23,0.92698316,-1086.67,-2.31,13.83,vdo_trend_accel,trailing_stop
51,2021-12-31T16:00:00Z,2022-01-21T00:00:00Z,1640966400000,1642723200000,48031.78,40658.55,0.43561957,-3229.63,-15.35,20.33,vdo_trend_accel,fixed_stop
52,2023-03-30T08:00:00Z,2023-04-17T08:00:00Z,1680163200000,1681718400000,28485.29,29821.89,2.27460291,2972.40,4.69,18.00,vdo_trend_accel,trailing_stop
53,2023-04-18T12:00:00Z,2023-04-20T00:00:00Z,1681819200000,1681948800000,30341.03,28781.26,1.24763935,-1981.93,-5.14,1.50,vdo_trend_accel,emergency_dd
54,2023-04-22T16:00:00Z,2023-05-01T16:00:00Z,1682179200000,1682956800000,27699.24,28155.15,2.29787361,982.92,1.65,9.00,vdo_dip_buy,trailing_stop
55,2023-05-04T08:00:00Z,2023-06-15T08:00:00Z,1683187200000,1686816000000,27792.22,24970.07,2.40923745,-6859.39,-10.15,42.00,vdo_trend,emergency_dd
56,2023-06-16T00:00:00Z,2023-07-08T08:00:00Z,1686873600000,1688803200000,27111.35,30176.76,2.19715187,6668.87,11.31,22.33,vdo_trend_accel,trailing_stop
57,2023-07-09T16:00:00Z,2023-07-24T12:00:00Z,1688918400000,1690200000000,30533.67,29253.89,2.14001318,-2801.35,-4.19,14.83,vdo_trend_accel,emergency_dd
58,2023-07-28T16:00:00Z,2023-08-17T16:00:00Z,1690560000000,1692288000000,29372.86,27918.66,2.15656572,-3196.28,-4.95,20.00,vdo_trend_accel,emergency_dd
59,2023-08-18T08:00:00Z,2023-08-31T20:00:00Z,1692345600000,1693512000000,26262.46,26148.40,2.37592544,-333.12,-0.43,13.50,vdo_dip_buy,trailing_stop
60,2023-10-02T04:00:00Z,2023-11-07T12:00:00Z,1696219200000,1699358400000,28321.32,34608.79,2.06014260,12881.79,22.20,36.33,vdo_trend_accel,trailing_stop
