peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13789.1,2019-05-12T15:59:59Z,12654.48,2019-05-13T15:59:59Z,8.23,2,8,0.3,1.3
2019-05-14T07:59:59Z,15278.9,2019-05-23T07:59:59Z,13431.53,2019-05-27T03:59:59Z,12.09,54,77,9.0,12.8
2019-05-30T15:59:59Z,15770.78,2019-06-09T23:59:59Z,13949.22,2019-06-15T15:59:59Z,11.55,62,96,10.3,16.0
2019-06-26T19:59:59Z,24915.55,2019-07-30T03:59:59Z,19960.1,2019-08-06T07:59:59Z,19.89,200,243,33.3,40.5
2019-08-06T07:59:59Z,25154.05,2020-07-05T15:59:59Z,16780.79,2020-11-05T23:59:59Z,33.29,2006,2746,334.3,457.7
2020-11-06T07:59:59Z,25691.88,2020-11-07T19:59:59Z,24015.98,2020-11-09T11:59:59Z,6.52,9,19,1.5,3.2
2020-11-24T15:59:59Z,31391.9,2020-11-26T11:59:59Z,28603.36,2020-11-30T23:59:59Z,8.88,11,38,1.8,6.3
2020-11-30T23:59:59Z,31407.38,2020-12-02T03:59:59Z,29765.0,2020-12-15T03:59:59Z,5.23,7,85,1.2,14.2
2020-12-21T07:59:59Z,38425.55,2020-12-21T11:59:59Z,36347.83,2020-12-25T11:59:59Z,5.41,1,25,0.2,4.2
2021-01-03T07:59:59Z,54734.53,2021-01-04T11:59:59Z,48957.92,2021-01-06T07:59:59Z,10.55,7,18,1.2,3.0
2021-01-08T11:59:59Z,65377.89,2021-02-07T15:59:59Z,46357.9,2021-04-26T19:59:59Z,29.09,181,650,30.2,108.3
2021-05-03T07:59:59Z,71156.4,2021-09-29T03:59:59Z,54842.84,2021-10-15T19:59:59Z,22.93,893,993,148.8,165.5
2021-10-20T15:59:59Z,77846.99,2021-10-27T23:59:59Z,70121.25,2021-11-08T23:59:59Z,9.92,44,116,7.3,19.3
2021-11-09T03:59:59Z,79175.58,2023-06-15T15:59:59Z,54471.77,2023-12-05T19:59:59Z,31.2,3501,4540,583.5,756.7
2023-12-09T07:59:59Z,80163.22,2023-12-18T03:59:59Z,74246.07,2024-01-02T03:59:59Z,7.38,53,143,8.8,23.8
2024-01-02T07:59:59Z,81166.95,2024-01-23T19:59:59Z,70269.08,2024-02-09T07:59:59Z,13.43,129,228,21.5,38.0
2024-03-04T23:59:59Z,108672.87,2024-03-05T19:59:59Z,98274.0,2024-03-08T19:59:59Z,9.57,5,23,0.8,3.8
2024-03-13T19:59:59Z,116434.27,2024-05-01T15:59:59Z,102189.09,2024-05-20T19:59:59Z,12.23,293,408,48.8,68.0
2024-05-20T23:59:59Z,122498.76,2024-08-07T19:59:59Z,79685.1,2024-11-19T19:59:59Z,34.95,473,1097,78.8,182.8
2024-12-05T03:59:59Z,137234.79,2024-12-05T23:59:59Z,129463.95,2024-12-16T03:59:59Z,5.66,5,66,0.8,11.0
2024-12-17T03:59:59Z,140250.04,2024-12-30T15:59:59Z,126767.07,2025-01-17T11:59:59Z,9.61,81,188,13.5,31.3
2025-01-20T11:59:59Z,148199.35,2025-04-21T19:59:59Z,91322.94,,38.38,548,,91.3,
