peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13294.55,2019-05-12T15:59:59Z,12236.9,2019-05-13T15:59:59Z,7.96,2,8,0.3,1.3
2019-05-14T07:59:59Z,14682.72,2019-06-09T23:59:59Z,12218.33,2019-06-17T23:59:59Z,16.78,160,208,26.7,34.7
2019-06-26T19:59:59Z,21808.28,2019-07-30T03:59:59Z,17372.48,2019-08-06T07:59:59Z,20.34,200,243,33.3,40.5
2019-08-06T07:59:59Z,21935.81,2019-10-24T03:59:59Z,17128.87,2019-10-27T19:59:59Z,21.91,473,495,78.8,82.5
2019-10-27T19:59:59Z,22055.88,2020-07-05T15:59:59Z,15787.24,2020-10-27T15:59:59Z,28.42,1511,2195,251.8,365.8
2020-10-28T03:59:59Z,22373.19,2020-11-03T03:59:59Z,20978.42,2020-11-05T11:59:59Z,6.23,36,50,6.0,8.3
2020-11-06T07:59:59Z,23996.65,2020-11-07T19:59:59Z,22471.22,2020-11-09T11:59:59Z,6.36,9,19,1.5,3.2
2020-11-24T15:59:59Z,29370.07,2020-11-26T11:59:59Z,26742.57,2020-12-16T11:59:59Z,8.95,11,131,1.8,21.8
2020-12-21T07:59:59Z,35509.51,2020-12-21T11:59:59Z,33609.57,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,50422.98,2021-01-04T11:59:59Z,45140.67,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,60155.63,2021-02-07T15:59:59Z,43847.99,2021-04-30T23:59:59Z,27.11,181,675,30.2,112.5
2021-05-03T07:59:59Z,61356.28,2021-09-28T23:59:59Z,47860.13,2021-10-06T15:59:59Z,22.0,892,938,148.7,156.3
2021-10-20T15:59:59Z,76757.68,2021-10-27T23:59:59Z,68715.06,2021-11-09T03:59:59Z,10.48,44,117,7.3,19.5
2021-11-09T03:59:59Z,77726.95,2023-10-12T15:59:59Z,50714.73,2024-02-09T11:59:59Z,34.75,4215,4934,702.5,822.3
2024-03-04T23:59:59Z,104365.12,2024-08-07T19:59:59Z,72899.34,2024-11-11T15:59:59Z,30.15,935,1510,155.8,251.7
2024-11-13T15:59:59Z,116665.74,2024-11-14T23:59:59Z,110359.83,2024-11-19T19:59:59Z,5.41,8,37,1.3,6.2
2024-12-05T03:59:59Z,128256.53,2024-12-05T23:59:59Z,121315.96,2024-12-17T03:59:59Z,5.41,5,72,0.8,12.0
2024-12-17T03:59:59Z,128580.86,2024-12-30T15:59:59Z,116309.25,2025-01-17T15:59:59Z,9.54,81,189,13.5,31.5
2025-01-20T11:59:59Z,135703.74,2025-04-21T19:59:59Z,87147.41,,35.78,548,,91.3,
