trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5169.55,5304.98,0.81684080,109.11,2.62,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5387.71,7341.74,1.77321799,3460.35,36.27,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7620.94,8113.23,1.70964236,836.79,6.46,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7881.60,11826.45,1.76787354,6966.68,50.05,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11433.57,11186.15,1.41049662,-354.50,-2.16,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10494.04,9927.61,1.15851227,-660.24,-5.40,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,1564027200000,1565481600000,9989.18,11305.85,1.75104128,2298.60,13.18,16.83,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10325.77,9983.77,2.08249649,-719.48,-3.31,5.00,vdo_trend_accel,emergency_dd
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10264.51,9682.32,1.80768923,-1058.54,-5.67,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9637.70,10297.13,2.13904651,1402.84,6.84,9.17,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10237.81,9819.75,2.13110611,-898.24,-4.08,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10148.50,9699.29,1.33822778,-605.69,-4.43,4.00,vdo_trend_accel,emergency_dd
13,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8276.95,9061.40,2.17829960,1701.86,9.48,36.17,vdo_dip_buy,trailing_stop
14,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9269.92,8476.91,2.10826096,-1678.13,-8.55,13.67,vdo_trend,emergency_dd
15,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8484.55,7629.14,0.85516549,-733.80,-10.08,4.50,vdo_trend_accel,emergency_dd
16,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9256.70,9742.99,1.89962009,917.28,5.25,30.50,vdo_trend_accel,trailing_stop
17,2020-02-18T16:00:00Z,2020-02-26T16:00:00Z,1582041600000,1582732800000,9838.80,8993.05,2.07507602,-1761.52,-8.60,8.00,vdo_trend_accel,emergency_dd
18,2020-02-29T00:00:00Z,2020-03-08T12:00:00Z,1582934400000,1583668800000,8721.48,8738.68,1.50358815,21.26,0.20,8.50,vdo_trend_accel,trailing_stop
19,2020-03-11T04:00:00Z,2020-03-12T12:00:00Z,1583899200000,1584014400000,7929.94,6062.45,0.88409758,-1652.92,-23.55,1.33,vdo_trend_accel,fixed_stop
20,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9174.83,8620.14,0.08457305,-47.17,-6.05,8.83,vdo_trend,trailing_stop
21,2020-05-17T16:00:00Z,2020-08-04T12:00:00Z,1589731200000,1596542400000,9779.46,11114.57,0.89956145,1197.52,13.65,78.83,vdo_trend_accel,trailing_stop
22,2020-08-10T04:00:00Z,2020-09-04T00:00:00Z,1597032000000,1599177600000,11926.68,10135.25,0.86792069,-1557.90,-15.02,24.83,vdo_trend_accel,emergency_dd
23,2020-09-06T08:00:00Z,2020-09-21T16:00:00Z,1599379200000,1600704000000,10235.34,10415.64,0.76784283,135.65,1.76,15.33,vdo_trend_accel,trailing_stop
