trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5170.82,5303.65,0.81661717,104.14,2.57,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5388.94,7339.90,1.77070066,3441.56,36.20,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7622.66,8111.20,1.70455187,818.92,6.41,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7883.53,11823.49,1.75928296,6910.71,49.98,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11436.42,11183.36,1.40170408,-370.40,-2.21,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10498.29,9925.13,1.13800211,-663.55,-5.46,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,1564027200000,1565481600000,10038.86,11303.02,1.66756310,2089.23,12.59,16.83,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10328.39,9981.28,2.04605121,-730.64,-3.36,5.00,vdo_trend_accel,emergency_dd
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10267.12,9679.90,1.77323079,-1058.43,-5.72,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9666.65,10294.56,2.03358044,1255.97,6.50,9.17,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10240.29,9817.30,2.07455060,-897.87,-4.13,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T16:00:00Z,1568937600000,1569340800000,10159.46,9524.14,1.21419773,-782.97,-6.25,4.67,vdo_trend_accel,emergency_dd
13,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8311.51,9059.14,1.68313972,1243.11,9.00,36.17,vdo_dip_buy,trailing_stop
14,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9272.20,8474.79,1.99043194,-1604.06,-8.60,13.67,vdo_trend,emergency_dd
15,2019-11-17T04:00:00Z,2019-11-22T12:00:00Z,1573963200000,1574424000000,8486.68,7098.97,0.61126923,-852.60,-16.35,5.33,vdo_trend_accel,fixed_stop
16,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9320.39,9740.55,1.11747568,458.63,4.51,30.50,vdo_trend_accel,trailing_stop
17,2020-02-18T16:00:00Z,2020-03-08T20:00:00Z,1582041600000,1583697600000,9844.83,8276.96,1.13752442,-1792.91,-15.93,19.17,vdo_trend_accel,fixed_stop
18,2020-03-11T04:00:00Z,2020-03-12T12:00:00Z,1583899200000,1584014400000,7931.91,6060.94,0.41564653,-780.19,-23.59,1.33,vdo_trend_accel,fixed_stop
19,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9176.75,8617.99,0.05598227,-31.76,-6.09,8.83,vdo_trend,trailing_stop
20,2020-05-17T16:00:00Z,2020-08-04T12:00:00Z,1589731200000,1596542400000,9776.41,11111.80,0.55180093,730.73,13.66,78.83,vdo_trend_accel,trailing_stop
21,2020-08-10T04:00:00Z,2020-09-05T20:00:00Z,1597032000000,1599336000000,11908.55,9951.18,0.46796063,-920.63,-16.44,26.67,vdo_trend_accel,fixed_stop
22,2020-09-06T12:00:00Z,2020-09-21T16:00:00Z,1599393600000,1600704000000,10255.85,10413.04,0.48749582,71.55,1.53,15.17,vdo_trend_accel,trailing_stop
23,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,1601107200000,1603958400000,10732.35,13131.64,0.48606523,1159.83,22.36,33.00,vdo_trend,trailing_stop
24,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,1604131200000,1606377600000,15266.31,17601.24,0.66295724,1536.29,15.29,26.00,vdo_trend,trailing_stop
25,2020-11-28T12:00:00Z,2020-12-09T00:00:00Z,1606564800000,1607472000000,18150.59,18314.03,0.75237392,109.19,0.90,10.50,vdo_trend_accel,trailing_stop
26,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,1607745600000,1610352000000,19586.23,34353.35,0.94212114,13880.05,75.40,30.17,vdo_trend_accel,trailing_stop
27,2021-01-13T16:00:00Z,2021-01-20T04:00:00Z,1610553600000,1611115200000,36366.43,35043.21,0.55574533,-754.85,-3.64,6.50,vdo_trend,trailing_stop
28,2021-01-23T04:00:00Z,2021-02-23T04:00:00Z,1611374400000,1614052800000,38334.30,51872.19,0.65925257,8890.69,35.32,31.00,vdo_trend,trailing_stop
29,2021-03-02T00:00:00Z,2021-03-16T04:00:00Z,1614643200000,1615867200000,51384.85,54242.81,0.70928357,1988.63,5.56,14.17,vdo_trend_accel,trailing_stop
30,2021-03-20T16:00:00Z,2021-04-17T16:00:00Z,1616256000000,1618675200000,58198.75,60231.51,0.67976324,1340.85,3.49,28.00,vdo_trend_accel,trailing_stop
31,2021-04-25T04:00:00Z,2021-05-05T00:00:00Z,1619323200000,1620172800000,51094.68,53175.79,0.74285400,1506.46,4.07,9.83,vdo_trend,trailing_stop
32,2021-05-06T12:00:00Z,2021-05-13T20:00:00Z,1620302400000,1620936000000,58019.90,48543.26,0.23975018,-2283.66,-16.33,7.33,vdo_trend_accel,fixed_stop
33,2021-05-20T08:00:00Z,2021-05-23T16:00:00Z,1621497600000,1621785600000,39643.40,33298.10,0.22126336,-1411.35,-16.01,3.33,vdo_trend_accel,fixed_stop
34,2021-07-31T00:00:00Z,2021-08-19T04:00:00Z,1627689600000,1629345600000,42535.23,44022.75,0.34187148,493.49,3.50,19.17,vdo_trend_accel,trailing_stop
35,2021-08-19T20:00:00Z,2021-08-26T12:00:00Z,1629403200000,1629979200000,47437.25,46810.14,0.69235259,-466.59,-1.32,6.67,vdo_trend_accel,trailing_stop
36,2021-08-27T16:00:00Z,2021-09-08T04:00:00Z,1630080000000,1631073600000,48711.89,46424.86,0.82572916,-1926.81,-4.70,11.50,vdo_trend_accel,trailing_stop
37,2021-09-11T08:00:00Z,2021-09-20T08:00:00Z,1631347200000,1632124800000,45068.75,44805.36,0.21672395,-66.79,-0.58,9.00,vdo_trend,trailing_stop
38,2021-09-22T16:00:00Z,2021-10-22T00:00:00Z,1632326400000,1634860800000,44929.32,62158.95,0.84219383,14458.33,38.35,29.33,vdo_trend_accel,trailing_stop
39,2021-10-25T04:00:00Z,2021-11-12T12:00:00Z,1635134400000,1636718400000,62611.83,63718.13,0.82904096,864.35,1.77,18.33,vdo_trend_accel,trailing_stop
40,2021-11-15T08:00:00Z,2021-12-04T04:00:00Z,1636963200000,1638590400000,59613.25,51971.41,0.87083675,-6700.05,-12.82,18.83,vdo_trend,emergency_dd
41,2021-12-12T00:00:00Z,2021-12-13T16:00:00Z,1639267200000,1639411200000,49466.74,47226.03,0.69691584,-1594.49,-4.53,1.67,vdo_trend_accel,emergency_dd
42,2021-12-15T00:00:00Z,2021-12-28T20:00:00Z,1639526400000,1640721600000,48880.58,47663.23,0.46500885,-588.24,-2.49,13.83,vdo_trend_accel,trailing_stop
43,2021-12-31T16:00:00Z,2022-01-21T00:00:00Z,1640966400000,1642723200000,48031.78,40658.55,0.19462955,-1442.96,-15.35,20.33,vdo_trend_accel,fixed_stop
44,2023-03-30T08:00:00Z,2023-04-17T08:00:00Z,1680163200000,1681718400000,28578.59,29821.89,0.92261601,1119.57,4.35,18.00,vdo_trend_accel,trailing_stop
45,2023-04-18T12:00:00Z,2023-06-15T00:00:00Z,1681819200000,1686787200000,29704.13,25114.78,0.82160711,-3791.27,-15.45,57.50,vdo_trend_accel,emergency_dd
46,2023-06-16T00:00:00Z,2023-07-08T08:00:00Z,1686873600000,1688803200000,28109.25,30176.76,0.59343489,1209.02,7.36,22.33,vdo_trend_accel,trailing_stop
47,2023-07-09T16:00:00Z,2023-08-18T16:00:00Z,1688918400000,1692374400000,30623.87,25987.69,0.58746386,-2738.86,-15.14,40.00,vdo_trend_accel,fixed_stop
48,2023-08-19T20:00:00Z,2023-08-31T20:00:00Z,1692475200000,1693512000000,26132.53,26148.40,0.54358656,-5.58,0.06,12.00,vdo_dip_buy,trailing_stop
49,2023-10-02T04:00:00Z,2023-10-29T04:00:00Z,1696219200000,1698552000000,27638.37,33952.19,0.45980227,2887.50,22.84,27.00,vdo_trend_accel,trailing_stop
50,2023-11-01T00:00:00Z,2023-11-15T04:00:00Z,1698796800000,1700020800000,35316.76,35362.54,0.56700431,5.91,0.13,14.17,vdo_trend,trailing_stop
51,2023-11-15T20:00:00Z,2023-12-11T20:00:00Z,1700078400000,1702324800000,38566.14,40757.56,0.60390155,1298.79,5.68,26.00,vdo_trend_accel,trailing_stop
52,2023-12-13T16:00:00Z,2024-01-13T04:00:00Z,1702483200000,1705118400000,43040.50,42586.51,0.69223649,-343.75,-1.05,30.50,vdo_trend_accel,trailing_stop
53,2024-01-16T16:00:00Z,2024-03-05T20:00:00Z,1705420800000,1709668800000,46415.35,61377.21,0.90185268,13438.04,32.23,49.17,vdo_trend_accel,trailing_stop
54,2024-03-19T00:00:00Z,2024-04-02T08:00:00Z,1710806400000,1712044800000,67738.04,66418.95,0.81221319,-1125.32,-1.95,14.33,vdo_trend,trailing_stop
