peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-05-12T15:59:59Z,12659.46,2019-05-13T15:59:59Z,8.22,2,8,0.3,1.3
2019-05-14T07:59:59Z,15283.34,2019-05-23T07:59:59Z,13459.69,2019-05-27T03:59:59Z,11.93,54,77,9.0,12.8
2019-05-30T15:59:59Z,15766.56,2019-06-09T23:59:59Z,13981.25,2019-06-15T15:59:59Z,11.32,62,96,10.3,16.0
2019-06-26T19:59:59Z,25015.56,2020-05-24T23:59:59Z,16405.38,2020-12-17T11:59:59Z,34.42,1999,3238,333.2,539.7
2020-12-21T07:59:59Z,26497.4,2020-12-21T11:59:59Z,25079.66,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,37625.93,2021-01-04T11:59:59Z,33684.23,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,44888.48,2021-01-27T15:59:59Z,35606.7,2021-02-14T07:59:59Z,20.68,115,221,19.2,36.8
2021-02-21T19:59:59Z,52173.66,2021-03-06T15:59:59Z,46068.51,2021-03-11T23:59:59Z,11.7,77,109,12.8,18.2
2021-03-14T03:59:59Z,55515.91,2021-03-25T15:59:59Z,47603.89,2021-04-30T15:59:59Z,14.25,69,285,11.5,47.5
2021-05-03T07:59:59Z,57700.17,2021-09-28T23:59:59Z,43542.72,2021-10-06T23:59:59Z,24.54,892,940,148.7,156.7
2021-10-20T15:59:59Z,69356.47,2021-10-27T23:59:59Z,62115.69,2021-11-09T03:59:59Z,10.44,44,117,7.3,19.5
2021-11-09T03:59:59Z,70262.08,2023-10-12T15:59:59Z,47249.19,2024-03-04T11:59:59Z,32.75,4215,5078,702.5,846.3
2024-03-04T23:59:59Z,74070.13,2024-08-07T19:59:59Z,49374.56,,33.34,935,,155.8,
