candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
dd_adaptive_only,smart,70.82,30.17,36.04,1.0881,1.0631,1.6624,52.38,674.73,1978.67,84,17.69,0.62
dd_adaptive_only,base,63.02,27.38,36.33,1.0249,0.9974,1.6345,51.19,580.55,5016.55,84,17.15,1.71
dd_adaptive_only,harsh,60.9,26.56,36.51,1.0076,0.9734,1.6692,52.44,576.66,7129.71,82,16.97,2.55
dd_adaptive_gentle,smart,84.16,34.67,32.74,1.1499,1.1272,1.5865,50.57,863.97,2827.82,87,17.67,0.62
dd_adaptive_gentle,base,58.1,25.44,34.42,0.9525,0.9156,1.5072,50.0,510.54,4912.7,84,15.91,1.59
dd_adaptive_gentle,harsh,81.72,33.97,35.3,1.134,1.1395,1.781,51.76,892.86,10568.61,85,20.04,3.01
dd_adaptive_mild,smart,90.5,37.06,34.12,1.2154,1.1987,1.7195,53.41,982.02,2914.8,88,20.06,0.7
dd_adaptive_mild,base,70.26,30.74,38.95,1.0745,1.0594,1.6368,50.0,692.44,6350.96,88,19.34,1.93
dd_adaptive_mild,harsh,72.01,31.43,39.68,1.0958,1.0831,1.6949,51.72,747.81,9474.59,87,19.31,2.9
