exit_ts,exit_bar_index,exit_price,exit_regime,reentry_ts,reentry_bar_index,reentry_latency_bars,reentry_reason,reentry_regime,next_trade_id,next_trade_net_pnl,next_trade_return_pct,next_trade_exit_reason,next_trade_fees,next_trade_days_held
2019-08-21T15:59:59Z,3585,9986.77,CHOP,2019-08-23T15:59:59Z,3597,12,vdo_trend_accel,CHOP,9,-1097.65,-5.8045,emergency_dd,53.78,5.17
2019-08-28T19:59:59Z,3628,9683.94,CHOP,2019-08-30T23:59:59Z,3641,13,vdo_trend_accel,CHOP,10,1354.6,6.7229,trailing_stop,64.0,9.17
2019-09-19T03:59:59Z,3756,9823.81,CHOP,2019-09-19T23:59:59Z,3761,5,vdo_trend_accel,CHOP,12,-629.93,-4.5606,emergency_dd,39.26,4.0
2019-09-23T23:59:59Z,3785,9702.25,CHOP,2019-09-25T23:59:59Z,3797,12,vdo_dip_buy,SHOCK,13,1859.64,9.5867,trailing_stop,62.05,36.17
2019-11-15T15:59:59Z,4101,8479.88,NEUTRAL,2019-11-17T03:59:59Z,4110,9,vdo_trend_accel,NEUTRAL,15,-741.59,-10.2078,emergency_dd,20.41,4.5
2019-11-21T15:59:59Z,4137,7631.44,CHOP,2020-01-17T07:59:59Z,4477,340,vdo_trend_accel,NEUTRAL,16,1074.32,6.1563,trailing_stop,55.4,30.5
2020-02-26T07:59:59Z,4717,9148.08,TOPPING,2020-02-28T23:59:59Z,4733,16,vdo_trend_accel,BULL,18,35.52,0.3435,trailing_stop,55.29,8.5
2020-03-12T07:59:59Z,4807,7392.13,NEUTRAL,2020-05-01T07:59:59Z,5107,300,vdo_trend,NEUTRAL,20,-104.13,-6.1892,trailing_stop,4.78,8.83
2020-05-24T23:59:59Z,5249,8720.34,BULL,2020-05-26T07:59:59Z,5257,8,vdo_trend_accel,BULL,22,892.77,5.6821,trailing_stop,49.87,9.0
2020-06-27T19:59:59Z,5452,8938.04,CHOP,2020-06-29T19:59:59Z,5464,12,vdo_trend_accel,CHOP,24,3138.57,20.4061,trailing_stop,51.3,34.17
2020-08-21T23:59:59Z,5783,11531.34,BULL,2020-08-22T23:59:59Z,5789,6,vdo_trend_accel,BULL,26,-1624.28,-8.9027,emergency_dd,51.51,11.67
2020-09-03T15:59:59Z,5859,10670.28,BULL,2020-09-06T07:59:59Z,5875,16,vdo_trend_accel,BULL,27,225.87,1.5369,trailing_stop,49.31,15.33
2021-09-28T23:59:59Z,8201,41026.54,BULL,2021-09-30T19:59:59Z,8212,11,vdo_trend_accel,NEUTRAL,44,16999.53,32.6595,trailing_stop,182.77,21.17
2021-12-03T23:59:59Z,8597,53601.05,BULL,2021-12-11T23:59:59Z,8645,48,vdo_trend_accel,NEUTRAL,47,-2409.5,-4.5915,emergency_dd,149.17,1.67
2021-12-13T15:59:59Z,8655,47252.02,BULL,2021-12-14T23:59:59Z,8663,8,vdo_trend_accel,NEUTRAL,48,-1015.06,-2.3925,trailing_stop,118.51,13.83
2023-04-19T23:59:59Z,11609,28797.1,BULL,2023-04-22T19:59:59Z,11626,17,vdo_trend_accel,BULL,52,644.61,1.4744,trailing_stop,147.34,8.83
2023-06-15T15:59:59Z,11949,24959.95,NEUTRAL,2023-06-20T03:59:59Z,11976,27,vdo_trend_accel,TOPPING,54,2094.77,4.1628,trailing_stop,160.12,18.17
