time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07904840,5365.78,0.4242,424.16,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30986348,5049.76,1.5647,1564.74,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16349443,5134.10,0.8394,839.40,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07511575,5220.43,0.3921,392.14,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04757888,5265.62,0.2505,250.53,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04978616,5273.54,0.2625,262.55,vdo_trend_accel
2019-04-20T04:00:00Z,1555732800000,BUY,0.03355975,5279.47,0.1772,177.18,vdo_trend
2019-04-22T20:00:00Z,1555963200000,BUY,0.04731812,5357.64,0.2535,253.51,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.80576497,5303.65,4.2735,4273.50,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15071025,5312.73,0.8007,800.68,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22475062,5220.47,1.1733,1173.30,vdo_dip_buy
2019-04-30T12:00:00Z,1556625600000,BUY,0.18514616,5285.23,0.9785,978.54,vdo_trend_accel
2019-04-30T20:00:00Z,1556654400000,BUY,0.17907587,5295.44,0.9483,948.29,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.13181714,5351.86,0.7055,705.47,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66168434,5390.47,3.5668,3566.79,vdo_trend_accel
2019-05-02T12:00:00Z,1556798400000,BUY,0.08362925,5447.72,0.4556,455.59,vdo_trend_accel
2019-05-02T20:00:00Z,1556827200000,BUY,0.04319465,5509.04,0.2380,237.96,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03083049,5844.71,0.1802,180.20,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08432827,5959.19,0.5025,502.53,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.77516702,7339.90,13.0296,13029.55,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.66502957,7139.66,4.7481,4748.08,vdo_dip_buy
2019-05-19T08:00:00Z,1558252800000,BUY,0.62233261,7913.49,4.9248,4924.82,vdo_trend_accel
2019-05-19T16:00:00Z,1558281600000,BUY,0.39187421,7965.57,3.1215,3121.50,vdo_trend_accel
2019-05-20T00:00:00Z,1558310400000,BUY,0.05324297,8152.42,0.4341,434.06,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.73247936,8111.20,14.0525,14052.48,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.63989025,7856.18,5.0271,5027.09,vdo_trend_accel
2019-06-06T12:00:00Z,1559822400000,BUY,0.39067785,7836.27,3.0615,3061.46,vdo_trend
2019-06-07T00:00:00Z,1559865600000,BUY,0.23563873,7791.85,1.8361,1836.06,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.14432118,7985.72,1.1525,1152.51,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.15959526,7903.26,1.2613,1261.32,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.07426957,7918.80,0.5881,588.13,vdo_trend_accel
2019-06-11T00:00:00Z,1560211200000,BUY,0.05204365,7985.39,0.4156,415.59,vdo_trend_accel
2019-06-11T08:00:00Z,1560240000000,BUY,0.04793072,7901.90,0.3787,378.74,vdo_trend_accel
2019-06-27T16:00:00Z,1561651200000,SELL,1.74436723,11823.49,20.6245,20624.52,trailing_stop
2019-07-03T04:00:00Z,1562126400000,BUY,0.18677553,11295.67,2.1098,2109.75,vdo_trend_accel
2019-07-06T04:00:00Z,1562385600000,BUY,0.12490792,11452.11,1.4305,1430.46,vdo_trend_accel
2019-07-06T12:00:00Z,1562414400000,BUY,0.31673421,11376.25,3.6032,3603.25,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.64924574,11480.49,7.4537,7453.66,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.16875182,11426.80,1.9283,1928.29,vdo_trend_accel
2019-07-12T04:00:00Z,1562904000000,SELL,1.44641522,11183.36,16.1758,16175.78,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.17121038,9793.99,1.6768,1676.83,vdo_trend_accel
2019-07-18T16:00:00Z,1563465600000,BUY,0.11885169,10448.78,1.2419,1241.86,vdo_trend_accel
2019-07-19T00:00:00Z,1563494400000,BUY,0.06681791,10634.49,0.7106,710.57,vdo_trend
2019-07-19T08:00:00Z,1563523200000,BUY,0.06671734,10605.15,0.7075,707.55,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.02733144,10397.68,0.2842,284.18,vdo_trend
2019-07-20T04:00:00Z,1563595200000,BUY,0.23140432,10513.27,2.4328,2432.82,vdo_trend
2019-07-20T12:00:00Z,1563624000000,BUY,0.19252111,10574.01,2.0357,2035.72,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.12205862,10904.66,1.3310,1331.01,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.20159255,10595.98,2.1361,2136.07,vdo_trend_accel
