time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07904840,5364.44,0.1484,424.05,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30987637,5048.49,0.5475,1564.41,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16353953,5132.82,0.2938,839.42,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07514985,5219.13,0.1373,392.22,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04760540,5264.31,0.0877,250.61,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04981774,5272.22,0.0919,262.65,vdo_trend_accel
2019-04-20T04:00:00Z,1555732800000,BUY,0.03358434,5278.15,0.0620,177.26,vdo_trend
2019-04-22T20:00:00Z,1555963200000,BUY,0.04735723,5356.30,0.0888,253.66,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.80597886,5304.98,1.4965,4275.70,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15082376,5311.40,0.2804,801.09,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22493894,5219.17,0.4109,1173.99,vdo_dip_buy
2019-04-30T12:00:00Z,1556625600000,BUY,0.18533316,5283.90,0.3427,979.28,vdo_trend_accel
2019-04-30T20:00:00Z,1556654400000,BUY,0.17929458,5294.12,0.3322,949.21,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.13202908,5350.52,0.2472,706.42,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66245352,5389.13,1.2495,3570.05,vdo_trend_accel
2019-05-02T12:00:00Z,1556798400000,BUY,0.08388842,5446.35,0.1599,456.89,vdo_trend_accel
2019-05-02T20:00:00Z,1556827200000,BUY,0.04334065,5507.66,0.0835,238.71,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03094010,5843.25,0.0633,180.79,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08464127,5957.70,0.1765,504.27,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.77768348,7341.74,4.5679,13051.28,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.66663155,7137.87,1.6654,4758.33,vdo_dip_buy
2019-05-19T08:00:00Z,1558252800000,BUY,0.62402128,7911.51,1.7279,4936.95,vdo_trend_accel
2019-05-19T16:00:00Z,1558281600000,BUY,0.39354882,7963.58,1.0969,3134.06,vdo_trend_accel
2019-05-20T00:00:00Z,1558310400000,BUY,0.05367045,8150.38,0.1531,437.43,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.73787210,8113.23,4.9349,14099.75,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.64253454,7854.22,1.7663,5046.60,vdo_trend_accel
2019-06-06T12:00:00Z,1559822400000,BUY,0.39248267,7834.31,1.0762,3074.83,vdo_trend
2019-06-07T00:00:00Z,1559865600000,BUY,0.23683154,7789.91,0.6457,1844.90,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.14510596,7983.72,0.4055,1158.49,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.16051403,7901.29,0.4439,1268.27,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.07473944,7916.82,0.2071,591.70,vdo_trend_accel
2019-06-11T00:00:00Z,1560211200000,BUY,0.05239248,7983.39,0.1464,418.27,vdo_trend_accel
2019-06-11T08:00:00Z,1560240000000,BUY,0.04827004,7899.93,0.1335,381.33,vdo_trend_accel
2019-06-27T16:00:00Z,1561651200000,SELL,1.75287070,11826.45,7.2556,20730.24,trailing_stop
2019-07-03T04:00:00Z,1562126400000,BUY,0.18786522,11292.85,0.7425,2121.53,vdo_trend_accel
2019-07-06T04:00:00Z,1562385600000,BUY,0.12565360,11449.24,0.5035,1438.64,vdo_trend_accel
2019-07-06T12:00:00Z,1562414400000,BUY,0.31863876,11373.41,1.2684,3624.01,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.65323105,11477.62,2.6241,7497.54,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.17029209,11423.95,0.6809,1945.41,vdo_trend_accel
2019-07-12T04:00:00Z,1562904000000,SELL,1.45568073,11186.15,5.6992,16283.47,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.17245071,9791.55,0.5910,1688.56,vdo_trend_accel
2019-07-18T16:00:00Z,1563465600000,BUY,0.11972523,10446.17,0.4377,1250.67,vdo_trend_accel
2019-07-19T00:00:00Z,1563494400000,BUY,0.06731678,10631.83,0.2505,715.70,vdo_trend
2019-07-19T08:00:00Z,1563523200000,BUY,0.06722266,10602.50,0.2495,712.73,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.02754226,10395.08,0.1002,286.30,vdo_trend
2019-07-20T04:00:00Z,1563595200000,BUY,0.23313409,10510.64,0.8576,2450.39,vdo_trend
2019-07-20T12:00:00Z,1563624000000,BUY,0.19400104,10571.37,0.7178,2050.86,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.12302835,10901.93,0.4694,1341.25,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.20322690,10593.33,0.7535,2152.85,vdo_trend_accel
2019-07-23T16:00:00Z,1563897600000,SELL,1.20764803,9927.61,4.1962,11989.06,trailing_stop
2019-07-25T04:00:00Z,1564027200000,BUY,0.46154298,10093.15,1.6304,4658.42,vdo_trend_accel
2019-07-27T08:00:00Z,1564214400000,BUY,0.37547649,10060.34,1.3221,3777.42,vdo_trend_accel
2019-07-28T20:00:00Z,1564344000000,BUY,0.63553967,9558.56,2.1262,6074.84,vdo_trend_accel
2019-07-29T04:00:00Z,1564372800000,BUY,0.35046813,9639.51,1.1824,3378.34,vdo_trend_accel
2019-08-04T16:00:00Z,1564934400000,BUY,0.06508379,10947.50,0.2494,712.51,vdo_trend_accel
2019-08-05T04:00:00Z,1564977600000,BUY,0.03327631,11568.34,0.1347,384.95,vdo_trend_accel
2019-08-05T12:00:00Z,1565006400000,BUY,0.02099931,11780.05,0.0866,247.37,vdo_trend_accel
2019-08-11T00:00:00Z,1565481600000,SELL,1.94238667,11305.85,7.6861,21960.33,trailing_stop
2019-08-16T16:00:00Z,1565971200000,BUY,0.77608272,10392.11,2.8228,8065.13,vdo_trend_accel
2019-08-17T00:00:00Z,1566000000000,BUY,0.77874845,10334.25,2.8167,8047.78,vdo_trend_accel
2019-08-17T08:00:00Z,1566028800000,BUY,0.66499453,10359.84,2.4112,6889.24,vdo_trend
2019-08-21T16:00:00Z,1566403200000,SELL,2.21982569,9983.77,7.7568,22162.24,emergency_dd
2019-08-23T16:00:00Z,1566576000000,BUY,0.74662726,10400.83,2.7179,7765.54,vdo_trend_accel
2019-08-24T00:00:00Z,1566604800000,BUY,0.60478388,10391.28,2.1996,6284.48,vdo_trend
2019-08-25T00:00:00Z,1566691200000,BUY,0.21914151,10137.65,0.7776,2221.58,vdo_trend
2019-08-25T08:00:00Z,1566720000000,BUY,0.14898449,10107.03,0.5270,1505.79,vdo_trend
2019-08-26T04:00:00Z,1566792000000,BUY,0.12838996,10279.90,0.4619,1319.84,vdo_trend_accel
2019-08-28T16:00:00Z,1567008000000,BUY,0.08811192,10242.80,0.3159,902.51,vdo_trend_accel
2019-08-28T20:00:00Z,1567022400000,SELL,1.93603901,9682.32,6.5609,18745.36,emergency_dd
2019-08-31T00:00:00Z,1567209600000,BUY,0.76381272,9585.64,2.5626,7321.63,vdo_trend_accel
2019-09-01T04:00:00Z,1567310400000,BUY,0.74861817,9625.91,2.5221,7206.13,vdo_trend_accel
2019-09-01T12:00:00Z,1567339200000,BUY,0.22195126,9574.86,0.7438,2125.15,vdo_trend
2019-09-02T00:00:00Z,1567382400000,BUY,0.43720113,9726.51,1.4884,4252.44,vdo_trend_accel
2019-09-09T04:00:00Z,1568001600000,SELL,2.17158328,10297.13,7.8264,22361.08,trailing_stop
2019-09-12T00:00:00Z,1568246400000,BUY,0.77013779,10161.80,2.7391,7825.98,vdo_trend_accel
2019-09-12T08:00:00Z,1568275200000,BUY,0.70538427,10082.81,2.4893,7112.26,vdo_trend
2019-09-12T16:00:00Z,1568304000000,BUY,0.50918250,10329.63,1.8409,5259.67,vdo_trend_accel
2019-09-13T00:00:00Z,1568332800000,BUY,0.19360511,10418.13,0.7060,2017.00,vdo_trend_accel
2019-09-19T04:00:00Z,1568865600000,SELL,2.17830967,9819.75,7.4867,21390.46,emergency_dd
2019-09-20T00:00:00Z,1568937600000,BUY,0.73506041,10246.77,2.6362,7532.00,vdo_trend_accel
2019-09-20T08:00:00Z,1568966400000,BUY,0.71367695,10160.30,2.5379,7251.17,vdo_trend_accel
2019-09-23T00:00:00Z,1569196800000,BUY,0.29590803,10031.06,1.0389,2968.27,vdo_trend_accel
2019-09-23T20:00:00Z,1569268800000,SELL,1.74464539,9803.25,5.9861,17103.19,emergency_dd
2019-09-26T00:00:00Z,1569456000000,BUY,0.44891049,8432.58,1.3249,3785.47,vdo_dip_buy
2019-09-26T08:00:00Z,1569484800000,BUY,0.86991564,8382.13,2.5521,7291.75,vdo_dip_buy
2019-09-27T12:00:00Z,1569585600000,BUY,0.56224425,7990.58,1.5724,4492.66,vdo_dip_buy
2019-09-27T20:00:00Z,1569614400000,BUY,0.48330337,7994.05,1.3522,3863.55,vdo_dip_buy
2019-11-01T04:00:00Z,1572580800000,SELL,2.36437375,9061.40,7.4986,21424.54,trailing_stop
2019-11-02T00:00:00Z,1572652800000,BUY,0.72049034,9234.17,2.3286,6653.13,vdo_trend
2019-11-02T08:00:00Z,1572681600000,BUY,0.86657077,9216.73,2.7954,7986.95,vdo_trend_accel
2019-11-02T16:00:00Z,1572710400000,BUY,0.49428668,9325.81,1.6134,4609.62,vdo_trend_accel
2019-11-03T04:00:00Z,1572753600000,BUY,0.16104773,9332.55,0.5260,1502.99,vdo_trend
2019-11-05T00:00:00Z,1572912000000,BUY,0.08482665,9395.22,0.2789,796.96,vdo_trend_accel
2019-11-15T04:00:00Z,1573790400000,SELL,2.32722217,8555.56,6.9687,19910.70,emergency_dd
2019-11-17T04:00:00Z,1573963200000,BUY,0.87382010,8484.55,2.5949,7413.97,vdo_trend_accel
2019-11-21T16:00:00Z,1574352000000,SELL,0.87382010,7629.14,2.3333,6666.50,emergency_dd
2020-01-17T08:00:00Z,1579248000000,BUY,0.11307699,8938.22,0.3537,1010.71,vdo_trend_accel
2020-01-19T04:00:00Z,1579406400000,BUY,0.07355908,9160.49,0.2358,673.84,vdo_trend_accel
2020-01-22T04:00:00Z,1579665600000,BUY,0.18027881,8717.61,0.5501,1571.60,vdo_trend_accel
2020-01-23T00:00:00Z,1579737600000,BUY,0.18285614,8685.38,0.5559,1588.17,vdo_trend_accel
2020-01-24T20:00:00Z,1579896000000,BUY,0.09409000,8501.05,0.2800,799.86,vdo_trend_accel
2020-01-25T20:00:00Z,1579982400000,BUY,0.14285152,8364.76,0.4182,1194.92,vdo_trend
2020-01-26T04:00:00Z,1580011200000,BUY,0.06955864,8370.72,0.2038,582.26,vdo_trend
2020-01-26T12:00:00Z,1580040000000,BUY,0.08402928,8481.69,0.2494,712.71,vdo_trend_accel
2020-01-26T20:00:00Z,1580068800000,BUY,0.03633122,8569.56,0.1090,311.34,vdo_trend_accel
2020-02-05T12:00:00Z,1580904000000,BUY,0.52253673,9422.00,1.7232,4923.34,vdo_trend_accel
2020-02-05T20:00:00Z,1580932800000,BUY,0.28619361,9658.83,0.9675,2764.29,vdo_trend_accel
2020-02-06T04:00:00Z,1580961600000,BUY,0.09866170,9638.09,0.3328,950.91,vdo_trend_accel
2020-02-08T16:00:00Z,1581177600000,BUY,0.10474436,9832.45,0.3605,1029.89,vdo_trend_accel
2020-02-09T00:00:00Z,1581206400000,BUY,0.09001394,9898.01,0.3118,890.96,vdo_trend_accel
2020-02-09T08:00:00Z,1581235200000,BUY,0.03589017,10130.91,0.1273,363.60,vdo_trend_accel
2020-02-16T20:00:00Z,1581883200000,SELL,2.11467220,9742.99,7.2111,20603.22,trailing_stop
2020-02-18T16:00:00Z,1582041600000,BUY,0.64566701,9833.64,2.2222,6349.26,vdo_trend_accel
2020-02-19T00:00:00Z,1582070400000,BUY,0.75257117,10167.83,2.6782,7652.02,vdo_trend_accel
2020-02-21T12:00:00Z,1582286400000,BUY,0.35345297,9697.47,1.1997,3427.60,vdo_trend_accel
2020-02-21T20:00:00Z,1582315200000,BUY,0.24736533,9684.74,0.8385,2395.67,vdo_trend_accel
2020-02-22T20:00:00Z,1582401600000,BUY,0.18744403,9670.81,0.6345,1812.74,vdo_trend_accel
2020-02-26T04:00:00Z,1582689600000,SELL,2.18650051,9167.38,7.0156,20044.48,emergency_dd
2020-02-29T00:00:00Z,1582934400000,BUY,0.76389958,8693.41,2.3243,6640.89,vdo_trend_accel
2020-02-29T08:00:00Z,1582963200000,BUY,0.80339030,8748.44,2.4599,7028.41,vdo_trend_accel
2020-02-29T16:00:00Z,1582992000000,BUY,0.40623125,8652.60,1.2302,3514.95,vdo_trend_accel
2020-03-01T00:00:00Z,1583020800000,BUY,0.11429915,8526.17,0.3411,974.53,vdo_dip_buy
2020-03-02T04:00:00Z,1583121600000,BUY,0.06382898,8604.57,0.1922,549.22,vdo_trend_accel
2020-03-02T20:00:00Z,1583179200000,BUY,0.04680797,8885.55,0.1456,415.91,vdo_trend_accel
2020-03-08T12:00:00Z,1583668800000,SELL,2.19845723,8738.68,6.7241,19211.61,trailing_stop
2020-03-11T04:00:00Z,1583899200000,BUY,0.88834958,7926.18,2.4644,7041.22,vdo_trend_accel
2020-03-11T12:00:00Z,1583928000000,BUY,0.42605035,7824.03,1.1667,3333.43,vdo_trend
2020-03-12T00:00:00Z,1583971200000,BUY,0.35973011,7936.96,0.9993,2855.16,vdo_trend_accel
2020-03-12T08:00:00Z,1584000000000,SELL,1.67413004,7389.90,4.3301,12371.66,emergency_dd
2020-05-01T08:00:00Z,1588320000000,BUY,0.12429011,8769.81,0.3815,1090.00,vdo_trend
2020-05-08T00:00:00Z,1588896000000,BUY,0.06208297,9989.30,0.2171,620.17,vdo_trend_accel
2020-05-10T04:00:00Z,1589083200000,SELL,0.18637308,8620.14,0.5623,1606.56,trailing_stop
2020-05-17T16:00:00Z,1589731200000,BUY,0.57074162,9825.59,1.9628,5607.87,vdo_trend_accel
2020-05-18T04:00:00Z,1589774400000,BUY,0.68000915,9863.47,2.3475,6707.25,vdo_trend_accel
2020-05-23T04:00:00Z,1590206400000,BUY,0.21880474,9288.90,0.7114,2032.45,vdo_trend_accel
2020-05-23T16:00:00Z,1590249600000,BUY,0.16965344,9201.54,0.5464,1561.07,vdo_trend
2020-05-24T00:00:00Z,1590278400000,BUY,0.11277887,9181.76,0.3624,1035.51,vdo_trend
2020-05-25T00:00:00Z,1590364800000,SELL,1.75198782,8715.52,5.3443,15269.49,emergency_dd
2020-05-26T08:00:00Z,1590480000000,BUY,0.68203476,8959.52,2.1387,6110.70,vdo_trend_accel
2020-05-27T00:00:00Z,1590537600000,BUY,0.41302116,8843.65,1.2784,3652.62,vdo_trend_accel
2020-05-28T00:00:00Z,1590624000000,BUY,0.24492044,9206.83,0.7892,2254.94,vdo_trend_accel
2020-05-28T08:00:00Z,1590652800000,BUY,0.15137994,9152.81,0.4849,1385.55,vdo_trend
2020-05-28T16:00:00Z,1590681600000,BUY,0.11360554,9502.66,0.3778,1079.55,vdo_trend_accel
2020-05-29T00:00:00Z,1590710400000,BUY,0.07519772,9578.74,0.2521,720.30,vdo_trend_accel
2020-05-30T12:00:00Z,1590840000000,BUY,0.11613731,9557.38,0.3885,1109.97,vdo_trend_accel
2020-05-30T20:00:00Z,1590868800000,BUY,0.06192971,9537.99,0.2067,590.68,vdo_trend_accel
2020-06-04T08:00:00Z,1591257600000,SELL,1.85822657,9646.70,6.2740,17925.75,trailing_stop
2020-06-05T00:00:00Z,1591315200000,BUY,0.55315094,9791.08,1.8956,5415.94,vdo_trend_accel
2020-06-07T20:00:00Z,1591560000000,BUY,0.43752706,9778.44,1.4974,4278.33,vdo_trend_accel
2020-06-14T00:00:00Z,1592092800000,BUY,0.27133801,9476.18,0.8999,2571.25,vdo_trend_accel
2020-06-14T08:00:00Z,1592121600000,BUY,0.18392680,9417.37,0.6062,1732.11,vdo_trend
2020-06-14T16:00:00Z,1592150400000,BUY,0.19616495,9422.19,0.6469,1848.30,vdo_trend
2020-06-16T00:00:00Z,1592265600000,BUY,0.13469299,9428.88,0.4445,1270.00,vdo_trend_accel
2020-06-16T08:00:00Z,1592294400000,BUY,0.08508599,9506.95,0.2831,808.91,vdo_trend_accel
2020-06-27T20:00:00Z,1593288000000,SELL,1.86188674,8934.77,5.8224,16635.53,emergency_dd
2020-06-29T20:00:00Z,1593460800000,BUY,0.55319257,9160.85,1.7737,5067.71,vdo_trend_accel
2020-06-30T04:00:00Z,1593489600000,BUY,0.51201360,9164.42,1.6423,4692.31,vdo_trend
2020-06-30T12:00:00Z,1593518400000,BUY,0.23713853,9151.63,0.7596,2170.21,vdo_trend_accel
2020-07-01T16:00:00Z,1593619200000,BUY,0.10266952,9266.61,0.3330,951.40,vdo_trend_accel
2020-07-02T00:00:00Z,1593648000000,BUY,0.12989314,9234.76,0.4198,1199.53,vdo_trend
2020-07-04T20:00:00Z,1593892800000,BUY,0.16476308,9132.05,0.5266,1504.62,vdo_trend_accel
2020-07-06T16:00:00Z,1594051200000,BUY,0.03772276,9307.81,0.1229,351.12,vdo_trend_accel
2020-07-07T00:00:00Z,1594080000000,BUY,0.04554634,9345.27,0.1490,425.64,vdo_trend_accel
2020-08-03T00:00:00Z,1596412800000,SELL,1.78293954,11068.04,6.9068,19733.64,trailing_stop
2020-08-10T04:00:00Z,1597032000000,BUY,0.59803754,12013.00,2.5145,7184.23,vdo_trend_accel
2020-08-14T00:00:00Z,1597363200000,BUY,0.58892275,11783.30,2.4288,6939.46,vdo_trend_accel
2020-08-14T08:00:00Z,1597392000000,BUY,0.24201135,11700.87,0.9911,2831.74,vdo_trend
2020-08-15T04:00:00Z,1597464000000,BUY,0.14523362,11892.24,0.6045,1727.15,vdo_trend_accel
2020-08-17T16:00:00Z,1597680000000,BUY,0.02531699,12425.57,0.1101,314.58,vdo_trend_accel
2020-08-22T04:00:00Z,1598068800000,SELL,1.59952225,11470.58,6.4216,18347.44,emergency_dd
2020-08-23T00:00:00Z,1598140800000,BUY,0.53724414,11667.01,2.1938,6268.03,vdo_trend_accel
2020-08-23T08:00:00Z,1598169600000,BUY,0.34299998,11619.95,1.3950,3985.64,vdo_trend_accel
2020-08-24T08:00:00Z,1598256000000,BUY,0.23942114,11762.10,0.9856,2816.09,vdo_trend_accel
2020-08-25T00:00:00Z,1598313600000,BUY,0.16048191,11751.71,0.6601,1885.94,vdo_trend
2020-08-25T12:00:00Z,1598356800000,BUY,0.11830250,11617.92,0.4811,1374.43,vdo_trend
2020-08-30T12:00:00Z,1598788800000,BUY,0.10473717,11606.57,0.4255,1215.64,vdo_trend_accel
2020-08-30T20:00:00Z,1598817600000,BUY,0.07220279,11646.08,0.2943,840.88,vdo_trend_accel
2020-08-31T04:00:00Z,1598846400000,BUY,0.05078765,11682.58,0.2077,593.33,vdo_trend
2020-09-03T16:00:00Z,1599148800000,SELL,1.62617728,10667.08,6.0713,17346.56,emergency_dd
2020-09-06T08:00:00Z,1599379200000,BUY,0.62304258,10233.43,2.2316,6375.86,vdo_trend_accel
2020-09-06T16:00:00Z,1599408000000,BUY,0.56971400,10176.49,2.0292,5797.69,vdo_trend
2020-09-07T00:00:00Z,1599436800000,BUY,0.34866199,10258.97,1.2519,3576.91,vdo_trend_accel
2020-09-07T08:00:00Z,1599465600000,BUY,0.07351159,10116.84,0.2603,743.71,vdo_trend
2020-09-07T16:00:00Z,1599494400000,BUY,0.04301987,10147.04,0.1528,436.52,vdo_trend
2020-09-08T00:00:00Z,1599523200000,BUY,0.05883277,10376.56,0.2137,610.48,vdo_trend_accel
2020-09-21T16:00:00Z,1600704000000,SELL,1.71678280,10415.64,6.2585,17881.40,trailing_stop
2020-09-26T08:00:00Z,1601107200000,BUY,0.44157893,10709.05,1.6551,4728.89,vdo_trend
2020-09-27T00:00:00Z,1601164800000,BUY,0.37743672,10731.81,1.4177,4050.58,vdo_trend_accel
2020-09-27T20:00:00Z,1601236800000,BUY,0.31257660,10735.23,1.1745,3355.58,vdo_trend_accel
2020-09-28T04:00:00Z,1601265600000,BUY,0.23747203,10888.48,0.9050,2585.71,vdo_trend_accel
2020-09-28T12:00:00Z,1601294400000,BUY,0.12453003,10881.17,0.4743,1355.03,vdo_trend
2020-10-04T08:00:00Z,1601798400000,BUY,0.12728376,10616.01,0.4729,1351.25,vdo_trend_accel
2020-10-04T16:00:00Z,1601827200000,BUY,0.05311049,10594.63,0.1969,562.69,vdo_trend_accel
2020-10-29T08:00:00Z,1603958400000,SELL,1.67398856,13134.93,7.6957,21987.72,trailing_stop
2020-10-31T08:00:00Z,1604131200000,BUY,0.48477120,13580.21,2.3042,6583.30,vdo_trend
2020-10-31T16:00:00Z,1604160000000,BUY,0.57236477,13856.17,2.7758,7930.78,vdo_trend_accel
2020-11-01T00:00:00Z,1604188800000,BUY,0.14799571,13795.14,0.7146,2041.62,vdo_trend
2020-11-01T16:00:00Z,1604246400000,BUY,0.11016055,13804.14,0.5322,1520.67,vdo_trend
2020-11-04T00:00:00Z,1604448000000,BUY,0.15275912,14027.74,0.7500,2142.86,vdo_trend_accel
2020-11-04T20:00:00Z,1604520000000,BUY,0.05728940,14106.49,0.2829,808.15,vdo_trend_accel
2020-11-11T12:00:00Z,1605096000000,BUY,0.03304406,15579.15,0.1802,514.80,vdo_trend_accel
2020-11-26T08:00:00Z,1606377600000,SELL,1.55838482,17605.64,9.6027,27436.36,trailing_stop
