time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07904840,5365.78,0.4242,424.16,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30986348,5049.76,1.5647,1564.74,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16349443,5134.10,0.8394,839.40,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07511575,5220.43,0.3921,392.14,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04757888,5265.62,0.2505,250.53,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04978616,5273.54,0.2625,262.55,vdo_trend_accel
2019-04-20T08:00:00Z,1555747200000,BUY,0.04804745,5308.01,0.2550,255.04,vdo_trend_accel
2019-04-22T20:00:00Z,1555963200000,BUY,0.04368262,5357.64,0.2340,234.04,vdo_trend_accel
2019-04-27T12:00:00Z,1556366400000,SELL,0.81661717,5274.64,4.3074,4307.36,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15034305,5312.73,0.7987,798.73,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22420303,5220.47,1.1704,1170.45,vdo_dip_buy
2019-04-30T16:00:00Z,1556640000000,BUY,0.28389458,5315.92,1.5092,1509.16,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.18083482,5351.86,0.9678,967.80,vdo_trend_accel
2019-05-01T16:00:00Z,1556726400000,BUY,0.04742489,5358.29,0.2541,254.12,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.65929419,5390.47,3.5539,3553.91,vdo_trend_accel
2019-05-02T16:00:00Z,1556812800000,BUY,0.10435275,5527.03,0.5768,576.76,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03111012,5844.71,0.1818,181.83,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08509351,5959.19,0.5071,507.09,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.76655094,7339.90,12.9663,12966.31,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.66217200,7139.66,4.7277,4727.68,vdo_dip_buy
2019-05-19T08:00:00Z,1558252800000,BUY,0.61965850,7913.49,4.9037,4903.66,vdo_trend_accel
2019-05-19T20:00:00Z,1558296000000,BUY,0.41872667,7956.07,3.3314,3331.42,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.70055717,8111.20,13.7936,13793.55,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.63761875,7856.18,5.0092,5009.25,vdo_trend_accel
2019-06-07T00:00:00Z,1559865600000,BUY,0.34979331,7791.85,2.7255,2725.54,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.21422823,7985.72,1.7108,1710.77,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.23688771,7903.26,1.8722,1872.19,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.11023891,7918.80,0.8730,872.96,vdo_trend_accel
2019-06-11T04:00:00Z,1560225600000,BUY,0.12915491,7936.72,1.0251,1025.07,vdo_trend_accel
2019-06-12T04:00:00Z,1560312000000,BUY,0.03962289,7963.66,0.3155,315.54,vdo_trend_accel
2019-06-12T20:00:00Z,1560369600000,BUY,0.03761527,8123.01,0.3055,305.55,vdo_trend_accel
2019-06-27T16:00:00Z,1561651200000,SELL,1.75515999,11823.49,20.7521,20752.12,trailing_stop
2019-07-03T04:00:00Z,1562126400000,BUY,0.18642749,11295.67,2.1058,2105.82,vdo_trend_accel
2019-07-06T04:00:00Z,1562385600000,BUY,0.12467517,11452.11,1.4278,1427.79,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.64720132,11480.49,7.4302,7430.19,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.44011514,11426.80,5.0291,5029.11,vdo_trend_accel
2019-07-11T16:00:00Z,1562860800000,SELL,1.39841912,11489.11,16.0666,16066.59,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.17436813,9793.99,1.7078,1707.76,vdo_trend_accel
2019-07-18T20:00:00Z,1563480000000,BUY,0.11239238,10498.31,1.1799,1179.93,vdo_trend_accel
2019-07-19T08:00:00Z,1563523200000,BUY,0.09880672,10605.15,1.0479,1047.86,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.03955672,10397.68,0.4113,411.30,vdo_trend
2019-07-20T08:00:00Z,1563609600000,BUY,0.33444462,10564.75,3.5333,3533.32,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.15865977,10904.66,1.7301,1730.13,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.25437143,10595.98,2.6953,2695.31,vdo_trend_accel
2019-07-23T08:00:00Z,1563868800000,SELL,1.17259978,10036.09,11.7683,11768.31,trailing_stop
2019-07-25T04:00:00Z,1564027200000,BUY,0.46928464,10095.67,4.7377,4737.74,vdo_trend_accel
2019-07-27T08:00:00Z,1564214400000,BUY,0.38166584,10062.85,3.8406,3840.65,vdo_trend_accel
2019-07-28T20:00:00Z,1564344000000,BUY,0.64580927,9560.95,6.1745,6174.55,vdo_trend_accel
2019-07-29T08:00:00Z,1564387200000,BUY,0.35629794,9630.08,3.4312,3431.18,vdo_trend_accel
