trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-27T12:00:00Z,1554926400000,1556366400000,5169.55,5275.96,0.81684080,85.41,2.06,16.67,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5387.71,7341.74,1.76906065,3452.24,36.27,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7620.94,8113.23,1.70563408,834.82,6.46,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7881.60,11826.45,1.76372874,6950.35,50.05,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-11T16:00:00Z,1562126400000,1562860800000,11433.57,11491.98,1.40718969,76.54,0.51,8.50,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T08:00:00Z,1563436800000,1563868800000,10491.73,10038.60,1.18144601,-539.50,-4.32,5.00,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-10T20:00:00Z,1564027200000,1565467200000,9879.35,11328.16,1.97031128,2846.79,14.67,16.67,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T08:00:00Z,1565971200000,1566374400000,10325.77,10135.95,2.17905652,-421.36,-1.84,4.67,vdo_trend_accel,trailing_stop
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10264.51,9682.32,1.91886913,-1123.64,-5.67,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-08T20:00:00Z,1567209600000,1567972800000,9635.09,10337.29,2.29454211,1602.91,7.29,8.83,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10237.81,9819.75,2.27307908,-958.08,-4.08,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10148.50,9699.29,1.42737969,-646.04,-4.43,4.00,vdo_trend_accel,emergency_dd
