peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-05-12T15:59:59Z,12659.46,2019-05-13T15:59:59Z,8.22,2,8,0.3,1.3
2019-05-14T07:59:59Z,15283.34,2019-05-23T07:59:59Z,13459.69,2019-05-27T03:59:59Z,11.93,54,77,9.0,12.8
2019-05-30T15:59:59Z,15766.56,2019-06-09T23:59:59Z,13981.25,2019-06-15T15:59:59Z,11.32,62,96,10.3,16.0
2019-06-26T19:59:59Z,25015.56,2020-07-05T15:59:59Z,16706.56,2020-11-12T07:59:59Z,33.22,2249,3027,374.8,504.5
2020-11-24T15:59:59Z,30375.6,2020-11-26T11:59:59Z,27658.15,2020-12-16T15:59:59Z,8.95,11,132,1.8,22.0
2020-12-21T07:59:59Z,35768.86,2020-12-21T11:59:59Z,33855.05,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,50791.26,2021-01-04T11:59:59Z,45470.36,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,60594.99,2021-01-27T15:59:59Z,48065.51,2021-02-14T07:59:59Z,20.68,115,221,19.2,36.8
2021-02-21T19:59:59Z,70429.25,2021-03-06T15:59:59Z,62187.91,2021-03-11T23:59:59Z,11.7,77,109,12.8,18.2
2021-03-14T03:59:59Z,74940.96,2021-03-25T15:59:59Z,64260.52,2021-04-30T15:59:59Z,14.25,69,285,11.5,47.5
2021-05-03T07:59:59Z,77889.5,2021-09-28T23:59:59Z,57640.0,2021-10-11T03:59:59Z,26.0,892,965,148.7,160.8
2021-10-20T15:59:59Z,92442.56,2021-10-27T23:59:59Z,82756.48,2021-11-09T03:59:59Z,10.48,44,117,7.3,19.5
2021-11-09T03:59:59Z,93609.89,2023-06-15T15:59:59Z,63380.15,2023-12-05T19:59:59Z,32.29,3501,4540,583.5,756.7
2023-12-09T07:59:59Z,97356.59,2023-12-18T03:59:59Z,88030.61,2024-01-08T19:59:59Z,9.58,53,183,8.8,30.5
2024-01-11T11:59:59Z,99423.56,2024-01-23T19:59:59Z,87555.17,2024-02-08T15:59:59Z,11.94,74,169,12.3,28.2
2024-03-04T23:59:59Z,133298.42,2024-03-05T19:59:59Z,121297.41,2024-03-08T19:59:59Z,9.0,5,23,0.8,3.8
2024-03-13T19:59:59Z,142259.65,2024-05-01T15:59:59Z,123584.85,2024-05-20T19:59:59Z,13.13,293,408,48.8,68.0
2024-05-20T23:59:59Z,145277.22,2024-08-07T19:59:59Z,94752.32,2024-11-22T03:59:59Z,34.78,473,1111,78.8,185.2
2024-12-05T03:59:59Z,153076.89,2024-12-09T23:59:59Z,144445.13,2024-12-16T15:59:59Z,5.64,29,69,4.8,11.5
2024-12-17T03:59:59Z,154837.76,2024-12-30T15:59:59Z,139950.17,2025-01-17T15:59:59Z,9.61,81,189,13.5,31.5
2025-01-20T11:59:59Z,163201.78,2025-03-31T03:59:59Z,112839.17,,30.86,418,,69.7,
