candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
rsi_wilder,smart,114.84,45.75,32.7,1.3384,1.3282,1.8751,48.51,1382.0,4684.63,101,25.85,0.9
rsi_wilder,base,105.94,42.76,33.88,1.2734,1.2667,1.8356,48.51,1218.13,12096.43,101,25.67,2.57
rsi_wilder,harsh,94.81,38.5,33.07,1.1845,1.1723,1.7848,48.04,980.38,15565.18,102,25.81,3.87
trail_atr_30,smart,111.58,45.94,37.81,1.346,1.3298,1.7295,54.9,1382.94,4900.07,102,26.5,0.93
trail_atr_30,base,103.12,42.96,38.4,1.281,1.2687,1.703,53.92,1221.45,12664.98,102,26.34,2.63
trail_atr_30,harsh,80.29,34.8,39.02,1.1067,1.0859,1.5688,51.89,770.26,14755.98,106,26.53,3.98
fstop_018,smart,119.43,47.87,34.07,1.3697,1.3786,1.848,52.0,1559.1,5257.18,100,26.24,0.92
fstop_018,base,110.85,44.88,34.78,1.3061,1.3177,1.8135,52.0,1378.13,13591.58,100,26.06,2.61
fstop_018,harsh,86.51,36.61,37.26,1.1344,1.1368,1.6527,50.49,879.7,15824.93,103,26.25,3.94
cooldown_2,smart,122.94,49.74,35.54,1.3736,1.3764,1.7853,50.49,1667.41,6277.96,103,28.09,0.98
cooldown_2,base,107.3,44.21,36.62,1.2665,1.2644,1.7229,50.0,1286.53,14744.09,104,28.06,2.81
cooldown_2,harsh,97.55,40.81,37.26,1.1951,1.1918,1.6649,48.57,1096.89,20200.75,105,28.3,4.24
