trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2023-03-30T08:00:00Z,2023-04-17T08:00:00Z,1680163200000,1681718400000,28402.68,29821.89,0.33709980,468.36,5.00,18.00,vdo_trend_accel,trailing_stop
2,2023-04-18T12:00:00Z,2023-04-20T00:00:00Z,1681819200000,1681948800000,30397.10,28781.26,0.18605714,-305.99,-5.32,1.50,vdo_trend_accel,emergency_dd
3,2023-04-22T20:00:00Z,2023-05-01T16:00:00Z,1682193600000,1682956800000,27721.17,28155.15,0.29760599,120.78,1.57,8.83,vdo_trend_accel,trailing_stop
4,2023-05-04T08:00:00Z,2023-07-08T08:00:00Z,1683187200000,1688803200000,27672.45,30176.76,0.35800324,885.75,9.05,65.00,vdo_trend,trailing_stop
5,2023-07-09T16:00:00Z,2023-07-24T12:00:00Z,1688918400000,1690200000000,30577.55,29253.89,0.35167954,-475.79,-4.33,14.83,vdo_trend_accel,emergency_dd
6,2023-07-28T16:00:00Z,2023-08-17T16:00:00Z,1690560000000,1692288000000,29381.01,27918.66,0.34559023,-515.02,-4.98,20.00,vdo_trend_accel,emergency_dd
7,2023-08-18T08:00:00Z,2023-08-31T20:00:00Z,1692345600000,1693512000000,26228.35,26148.40,0.38560067,-40.91,-0.30,13.50,vdo_dip_buy,trailing_stop
8,2023-10-02T04:00:00Z,2023-10-29T04:00:00Z,1696219200000,1698552000000,27835.37,33952.19,0.33515478,2038.70,21.97,27.00,vdo_trend_accel,trailing_stop
9,2023-11-01T00:00:00Z,2023-11-15T04:00:00Z,1698796800000,1700020800000,35058.39,35362.54,0.33451219,89.91,0.87,14.17,vdo_trend,trailing_stop
10,2023-11-15T20:00:00Z,2023-12-11T20:00:00Z,1700078400000,1702324800000,37621.86,40757.56,0.31781847,983.63,8.33,26.00,vdo_trend_accel,trailing_stop
11,2023-12-13T16:00:00Z,2024-01-13T04:00:00Z,1702483200000,1705118400000,42300.23,42586.51,0.29747677,72.49,0.68,30.50,vdo_trend_accel,trailing_stop
12,2024-01-16T16:00:00Z,2024-01-22T20:00:00Z,1705420800000,1705953600000,43276.24,39798.41,0.10691106,-376.07,-8.04,6.17,vdo_trend_accel,emergency_dd
13,2024-01-23T16:00:00Z,2024-02-24T00:00:00Z,1706025600000,1708732800000,39689.94,50716.24,0.30616817,3360.38,27.78,31.33,vdo_dip_buy,trailing_stop
14,2024-02-25T04:00:00Z,2024-03-05T20:00:00Z,1708833600000,1709668800000,55216.37,61377.21,0.25705698,1567.91,11.16,9.67,vdo_trend_accel,trailing_stop
15,2024-03-19T00:00:00Z,2024-04-02T08:00:00Z,1710806400000,1712044800000,67738.04,66418.95,0.24965983,-345.90,-1.95,14.33,vdo_trend,trailing_stop
16,2024-04-04T16:00:00Z,2024-04-12T20:00:00Z,1712246400000,1712952000000,69537.27,66807.22,0.23400707,-654.48,-3.93,8.17,vdo_trend_accel,trailing_stop
17,2024-04-17T00:00:00Z,2024-04-26T16:00:00Z,1713312000000,1714147200000,63166.89,63468.30,0.25065397,59.64,0.48,9.67,vdo_trend_accel,trailing_stop
18,2024-04-30T04:00:00Z,2024-05-23T20:00:00Z,1714449600000,1716494400000,62448.58,67163.03,0.25927194,1204.91,7.55,23.67,vdo_trend_accel,trailing_stop
19,2024-05-27T16:00:00Z,2024-06-11T12:00:00Z,1716825600000,1718107200000,69584.73,66853.22,0.21968628,-614.76,-3.93,14.83,vdo_trend_accel,emergency_dd
20,2024-06-12T16:00:00Z,2024-06-17T16:00:00Z,1718208000000,1718640000000,68557.87,65332.05,0.16807814,-553.17,-4.71,5.00,vdo_trend_accel,emergency_dd
