trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5177.89,5303.65,0.29218506,35.20,2.43,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5565.92,7339.90,1.50737012,2662.99,31.87,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7614.57,8111.20,1.59192729,777.68,6.52,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7880.94,11823.49,1.63312173,6419.37,50.03,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11436.42,11183.36,1.31098173,-346.43,-2.21,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10494.30,9925.13,1.07716112,-623.78,-5.42,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,1564027200000,1565481600000,9869.68,11303.02,1.75883826,2501.13,14.52,16.83,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10328.39,9981.28,1.96348660,-701.15,-3.36,5.00,vdo_trend_accel,emergency_dd
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10267.12,9679.90,1.70167534,-1015.72,-5.72,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9636.43,10294.56,1.96417750,1272.46,6.83,9.17,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10226.75,9817.30,2.03639406,-853.79,-4.00,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10151.07,9696.86,1.25308472,-581.30,-4.47,4.00,vdo_trend_accel,emergency_dd
13,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8434.69,9059.14,0.41715298,256.71,7.40,36.17,vdo_dip_buy,trailing_stop
14,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9272.20,8474.79,1.84592407,-1487.61,-8.60,13.67,vdo_trend,emergency_dd
15,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9463.22,9740.55,1.58736736,424.76,2.93,30.50,vdo_trend_accel,trailing_stop
16,2020-02-18T16:00:00Z,2020-02-26T16:00:00Z,1582041600000,1582732800000,9777.76,8990.80,1.89384602,-1507.40,-8.05,8.00,vdo_trend_accel,emergency_dd
17,2020-02-29T00:00:00Z,2020-03-08T12:00:00Z,1582934400000,1583668800000,8715.18,8736.49,1.77791383,22.35,0.24,8.50,vdo_trend_accel,trailing_stop
18,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9192.44,8617.99,0.06037514,-35.20,-6.25,8.83,vdo_trend,trailing_stop
