peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13368.51,2019-05-12T15:59:59Z,12320.42,2019-05-13T15:59:59Z,7.84,2,8,0.3,1.3
2019-05-14T07:59:59Z,14744.0,2019-05-23T07:59:59Z,13097.91,2019-05-26T23:59:59Z,11.16,54,76,9.0,12.7
2019-05-30T15:59:59Z,15298.64,2019-06-09T23:59:59Z,13572.11,2019-06-15T15:59:59Z,11.29,62,96,10.3,16.0
2019-06-26T19:59:59Z,24176.83,2020-07-05T15:59:59Z,15755.52,2020-11-17T11:59:59Z,34.83,2249,3058,374.8,509.7
2020-11-24T15:59:59Z,27487.65,2020-11-26T11:59:59Z,25057.86,2020-12-16T15:59:59Z,8.84,11,132,1.8,22.0
2020-12-21T07:59:59Z,32450.32,2020-12-21T11:59:59Z,30714.06,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,46078.97,2021-01-04T11:59:59Z,41251.73,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,54973.14,2021-01-27T15:59:59Z,43606.11,2021-02-14T07:59:59Z,20.68,115,221,19.2,36.8
2021-02-21T19:59:59Z,63695.27,2021-03-06T15:59:59Z,56802.71,2021-03-11T23:59:59Z,10.82,77,109,12.8,18.2
2021-03-14T03:59:59Z,67173.47,2021-03-25T15:59:59Z,57873.5,2021-04-30T15:59:59Z,13.84,69,285,11.5,47.5
2021-05-03T07:59:59Z,69941.47,2021-09-28T23:59:59Z,52878.17,2021-10-06T15:59:59Z,24.4,892,938,148.7,156.3
2021-10-20T15:59:59Z,84805.57,2021-11-06T11:59:59Z,76583.17,2021-11-08T23:59:59Z,9.7,101,116,16.8,19.3
2021-11-09T03:59:59Z,86048.21,2023-06-15T15:59:59Z,59384.75,2023-12-04T19:59:59Z,30.99,3501,4534,583.5,755.7
2023-12-09T07:59:59Z,90685.57,2023-12-18T03:59:59Z,82230.94,2024-01-08T19:59:59Z,9.32,53,183,8.8,30.5
2024-01-11T11:59:59Z,93177.82,2024-01-23T19:59:59Z,81739.73,2024-02-09T03:59:59Z,12.28,74,172,12.3,28.7
2024-03-04T23:59:59Z,124444.7,2024-03-05T19:59:59Z,113240.79,2024-03-08T19:59:59Z,9.0,5,23,0.8,3.8
2024-03-13T19:59:59Z,132810.72,2024-05-01T15:59:59Z,116621.62,2024-05-20T19:59:59Z,12.19,293,408,48.8,68.0
2024-05-20T23:59:59Z,137066.1,2024-08-07T19:59:59Z,77889.24,,43.17,473,,78.8,
