trade_id,exit_price,peak_profit_pct,return_pct,actual_stop,cf_stop_35,cf_would_survive,cf_extra_bars,cf_exit_price,cf_delta_pct,is_false_exit,forgone_pct,compression
2,7339.9,51.67,33.07,7575.45,7259.23,True,2,7150.19,-2.58,True,10.26,MULT_ONLY
5,11823.49,77.23,50.0,12349.7,11701.58,True,1,11022.01,-6.78,True,5.55,MULT_ONLY
8,11388.96,24.86,15.32,11638.88,11362.15,True,2,11329.1,-0.53,False,1.85,MULT_ONLY
14,9059.14,25.84,9.93,9834.6,9620.44,False,0,,0,False,3.47,MULT_ONLY
25,11065.27,31.88,20.37,11356.83,11050.18,True,9,11117.51,0.47,True,3.68,MULT_ONLY
29,13131.64,29.17,22.39,13267.1,13030.15,True,100,,22.38,True,7.37,MULT_ONLY
30,17601.24,40.11,26.57,18173.41,17649.09,False,0,,0,False,1.36,MULT_ONLY
32,34353.35,127.19,86.05,36494.6,34312.44,True,1,34198.56,-0.45,True,6.62,MULT_ONLY
35,51872.19,22.68,9.05,53159.93,51082.78,True,1,49640.33,-4.3,False,0.85,MULT_ONLY
45,62158.95,53.45,42.36,63213.72,61699.21,True,4,60690.94,-2.36,False,2.53,MULT_ONLY
59,33952.19,23.61,18.95,34215.32,33789.46,True,100,,3.95,False,2.66,DOUBLE
64,50716.24,33.46,27.75,51376.75,50733.45,False,0,,0,False,2.45,DOUBLE
65,61377.21,26.95,12.92,64208.2,62291.48,False,0,,0,True,10.76,MULT_ONLY
81,95848.78,41.51,36.2,96591.31,95392.63,True,8,93010.01,-2.96,False,3.15,DOUBLE
