trade_id,exit_time,entry_price,exit_price,peak_price,peak_profit_pct,return_pct,tightened,compression,continuation_pct,continuation_high_pct,is_false_exit,forgone_pct,regime,days_held,next_trade_id,gap_hours,next_entry_price,next_return_pct,reentry_captured,reentry_slip_pct,recaptured_pct,net_damage_pct
2,2019-05-17T04:00:00Z,5515.81,7339.9,8366.0,51.67,33.07,True,MULT_ONLY,8.51,10.26,True,10.26,BULL,18.17,3,48.0,7920.69,-3.75,True,7.91,0.6,9.66
5,2019-06-27T16:00:00Z,7882.49,11823.49,13970.0,77.23,50.0,True,MULT_ONLY,4.88,5.55,True,5.55,SHOCK,21.5,6,132.0,11436.42,-2.21,False,-3.27,0,5.55
6,2019-07-12T04:00:00Z,11436.42,11183.36,13147.08,14.96,-2.21,False,ATR_ONLY,5.13,6.27,True,6.27,BULL,9.0,7,148.0,10539.68,-5.83,False,-5.76,0,6.27
17,2020-02-16T20:00:00Z,9176.51,9740.55,10500.0,14.42,6.15,False,NONE,4.35,5.23,True,5.23,BULL,30.5,18,44.0,9825.2,-6.94,True,0.87,3.49,1.74
21,2020-05-10T04:00:00Z,9178.31,8617.99,10067.0,9.68,-6.1,False,NONE,3.59,6.38,True,6.38,NEUTRAL,8.83,22,180.0,9846.96,-4.44,False,14.26,0,6.38
25,2020-08-03T00:00:00Z,9192.87,11065.27,12123.46,31.88,20.37,True,MULT_ONLY,3.37,3.68,True,3.68,BULL,34.17,26,172.0,11901.38,-3.16,False,7.56,0,3.68
29,2020-10-29T08:00:00Z,10729.41,13131.64,13859.48,29.17,22.39,True,MULT_ONLY,6.16,7.37,True,7.37,BULL,33.0,30,48.0,13905.98,26.57,True,5.9,0.26,7.11
32,2021-01-11T08:00:00Z,18464.89,34353.35,41950.0,127.19,86.05,True,MULT_ONLY,6.0,6.62,True,6.62,BULL,30.17,33,56.0,36441.45,-3.84,True,6.08,0,6.62
34,2021-02-07T16:00:00Z,35271.67,37900.27,40955.51,16.11,7.45,False,ATR_ONLY,25.34,27.02,True,27.02,BULL,15.5,35,24.0,47566.65,9.05,True,25.5,0,27.02
36,2021-03-16T04:00:00Z,51672.03,54242.81,61844.0,19.69,4.98,False,NONE,9.75,9.95,True,9.95,BULL,14.17,37,108.0,58198.75,3.49,False,7.29,0,9.95
38,2021-05-05T00:00:00Z,51475.14,53175.79,58981.44,14.58,3.3,False,ATR_ONLY,9.05,9.75,True,9.75,BULL,9.83,39,36.0,58019.9,-16.33,True,9.11,0,9.75
41,2021-08-19T04:00:00Z,42549.14,44022.75,48144.0,13.15,3.46,False,NONE,12.04,12.23,True,12.23,BULL,19.17,42,16.0,47462.88,-1.38,True,7.81,4.22,8.01
42,2021-08-26T12:00:00Z,47462.88,46810.14,50500.0,6.4,-1.38,False,ATR_ONLY,4.83,5.32,True,5.32,BULL,6.67,43,28.0,48660.64,-4.59,True,3.95,0.87,4.45
53,2023-05-01T16:00:00Z,27670.08,28155.15,30036.0,8.55,1.75,False,NONE,3.34,3.95,True,3.95,BULL,9.0,54,64.0,27793.49,-10.16,False,-1.28,0,3.95
60,2023-11-15T04:00:00Z,35113.1,35362.54,37972.24,8.14,0.71,False,NONE,7.06,7.4,True,7.4,BULL,14.17,61,16.0,37580.42,8.45,True,6.27,0.79,6.61
61,2023-12-11T20:00:00Z,37580.42,40757.56,44700.0,18.94,8.45,False,NONE,5.25,6.67,True,6.67,BULL,26.0,62,44.0,42344.93,0.57,True,3.89,1.36,5.31
65,2024-03-05T20:00:00Z,54353.7,61377.21,69000.0,26.95,12.92,True,MULT_ONLY,9.97,10.76,True,10.76,SHOCK,9.67,66,316.0,67328.89,-1.35,False,9.7,0,10.76
66,2024-04-02T08:00:00Z,67328.89,66418.95,71769.54,6.6,-1.35,False,ATR_ONLY,3.13,4.35,True,4.35,BULL,14.33,67,56.0,69500.44,-8.07,True,4.64,0,4.35
69,2024-05-23T20:00:00Z,62415.05,67163.03,71979.0,15.32,7.61,False,NONE,3.24,3.64,True,3.64,BULL,23.67,70,92.0,69584.73,-3.93,False,3.61,0,3.64
76,2024-08-19T00:00:00Z,57011.85,58395.22,62745.14,10.06,2.43,False,ATR_ONLY,4.33,5.15,True,5.15,NEUTRAL,12.83,77,28.0,60715.84,1.58,True,3.97,0.36,4.79
82,2024-12-09T20:00:00Z,96196.79,97016.95,104088.0,8.2,0.85,False,NONE,4.23,5.02,True,5.02,BULL,12.17,83,44.0,101528.53,-1.36,True,4.65,0,5.02
85,2025-01-23T12:00:00Z,96020.77,101888.44,109588.0,14.13,6.11,False,NONE,3.9,5.13,True,5.13,CHOP,12.67,86,28.0,105177.41,-6.62,True,3.23,0.67,4.46
89,2025-03-04T08:00:00Z,85177.75,83140.65,95000.0,11.53,-2.39,False,NONE,10.18,11.63,True,11.63,SHOCK,4.5,90,28.0,90452.35,-3.88,True,8.79,1.39,10.24
