time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07904840,5364.44,0.1484,424.05,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30987637,5048.49,0.5475,1564.41,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16353953,5132.82,0.2938,839.42,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07514985,5219.13,0.1373,392.22,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04760540,5264.31,0.0877,250.61,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04981774,5272.22,0.0919,262.65,vdo_trend_accel
2019-04-20T08:00:00Z,1555747200000,BUY,0.04808286,5306.68,0.0893,255.16,vdo_trend_accel
2019-04-22T20:00:00Z,1555963200000,BUY,0.04372066,5356.30,0.0820,234.18,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.81684080,5304.98,1.5167,4333.32,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15081128,5311.40,0.2804,801.02,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22492032,5219.17,0.4109,1173.90,vdo_dip_buy
2019-04-30T16:00:00Z,1556640000000,BUY,0.28485196,5314.59,0.5299,1513.87,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.18152503,5350.52,0.3399,971.25,vdo_trend_accel
2019-05-01T16:00:00Z,1556726400000,BUY,0.04764266,5356.95,0.0893,255.22,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66162412,5389.13,1.2480,3565.58,vdo_trend_accel
2019-05-02T16:00:00Z,1556812800000,BUY,0.10493183,5525.65,0.2029,579.82,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03129587,5843.25,0.0640,182.87,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08561493,5957.70,0.1785,510.07,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.77321799,7341.74,4.5565,13018.50,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.66533127,7137.87,1.6622,4749.05,vdo_dip_buy
2019-05-19T08:00:00Z,1558252800000,BUY,0.62280411,7911.51,1.7246,4927.32,vdo_trend_accel
2019-05-19T20:00:00Z,1558296000000,BUY,0.32762380,7954.09,0.9121,2605.95,vdo_trend_accel
2019-05-25T08:00:00Z,1558771200000,BUY,0.05095921,7961.01,0.1420,405.69,vdo_trend
2019-05-26T20:00:00Z,1558900800000,BUY,0.02546199,8482.54,0.0756,215.98,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.69218037,8113.23,4.8052,13729.04,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.64101119,7854.22,1.7621,5034.64,vdo_trend_accel
2019-06-07T00:00:00Z,1559865600000,BUY,0.35182504,7789.91,0.9592,2740.68,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.21555310,7983.72,0.6023,1720.92,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.23842838,7901.29,0.6594,1883.89,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.11101872,7916.82,0.3076,878.92,vdo_trend_accel
2019-06-11T04:00:00Z,1560225600000,BUY,0.13011716,7934.74,0.3614,1032.45,vdo_trend_accel
2019-06-12T04:00:00Z,1560312000000,BUY,0.03995234,7961.67,0.1113,318.09,vdo_trend_accel
2019-06-12T20:00:00Z,1560369600000,BUY,0.03794222,8120.98,0.1078,308.13,vdo_trend_accel
2019-06-27T16:00:00Z,1561651200000,SELL,1.76584816,11826.45,7.3093,20883.72,trailing_stop
2019-07-03T04:00:00Z,1562126400000,BUY,0.18774094,11292.85,0.7420,2120.13,vdo_trend_accel
2019-07-06T04:00:00Z,1562385600000,BUY,0.12557048,11449.24,0.5032,1437.69,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.65185879,11477.62,2.6186,7481.79,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.44371047,11423.95,1.7741,5068.92,vdo_trend_accel
2019-07-12T04:00:00Z,1562904000000,SELL,1.40888067,11186.15,5.5160,15759.96,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.17229732,9791.55,0.5905,1687.06,vdo_trend_accel
2019-07-18T20:00:00Z,1563480000000,BUY,0.11106924,10495.69,0.4080,1165.75,vdo_trend_accel
2019-07-19T08:00:00Z,1563523200000,BUY,0.09765436,10602.50,0.3624,1035.38,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.03910122,10395.08,0.1423,406.46,vdo_trend
2019-07-20T08:00:00Z,1563609600000,BUY,0.33054379,10562.11,1.2219,3491.24,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.15686204,10901.93,0.5985,1710.10,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.25153562,10593.33,0.9326,2664.60,vdo_trend_accel
2019-07-23T16:00:00Z,1563897600000,SELL,1.15906359,9927.61,4.0274,11506.73,trailing_stop
2019-07-25T04:00:00Z,1564027200000,BUY,0.46127184,10093.15,1.6295,4655.68,vdo_trend_accel
2019-07-27T08:00:00Z,1564214400000,BUY,0.37525591,10060.34,1.3213,3775.20,vdo_trend_accel
2019-07-28T20:00:00Z,1564344000000,BUY,0.63516632,9558.56,2.1249,6071.27,vdo_trend_accel
2019-07-29T08:00:00Z,1564387200000,BUY,0.35091266,9627.68,1.1825,3378.47,vdo_trend_accel
2019-08-04T16:00:00Z,1564934400000,BUY,0.06498881,10947.50,0.2490,711.47,vdo_trend_accel
2019-08-05T04:00:00Z,1564977600000,BUY,0.03322775,11568.34,0.1345,384.39,vdo_trend_accel
2019-08-11T00:00:00Z,1565481600000,SELL,1.92082328,11305.85,7.6008,21716.54,trailing_stop
2019-08-16T16:00:00Z,1565971200000,BUY,0.77614369,10392.11,2.8230,8065.77,vdo_trend_accel
2019-08-17T04:00:00Z,1566014400000,BUY,0.78102717,10288.42,2.8124,8035.53,vdo_trend
2019-08-17T16:00:00Z,1566057600000,BUY,0.48064489,10315.38,1.7353,4958.04,vdo_trend_accel
2019-08-18T04:00:00Z,1566100800000,BUY,0.08256639,10116.00,0.2923,835.24,vdo_trend
2019-08-21T16:00:00Z,1566403200000,SELL,2.12038214,9983.77,7.4093,21169.42,emergency_dd
2019-08-23T16:00:00Z,1566576000000,BUY,0.75057554,10400.83,2.7323,7806.61,vdo_trend_accel
2019-08-25T00:00:00Z,1566691200000,BUY,0.39075004,10137.65,1.3865,3961.29,vdo_trend
2019-08-25T12:00:00Z,1566734400000,BUY,0.36076541,10118.03,1.2776,3650.24,vdo_trend_accel
2019-08-26T04:00:00Z,1566792000000,BUY,0.20072815,10279.90,0.7222,2063.47,vdo_trend_accel
2019-08-28T16:00:00Z,1567008000000,BUY,0.13775633,10242.80,0.4939,1411.01,vdo_trend_accel
2019-08-28T20:00:00Z,1567022400000,SELL,1.84057548,9682.32,6.2374,17821.05,emergency_dd
2019-08-31T00:00:00Z,1567209600000,BUY,0.77480009,9585.64,2.5994,7426.95,vdo_trend_accel
2019-09-01T04:00:00Z,1567310400000,BUY,0.75938698,9625.91,2.5584,7309.79,vdo_trend_accel
2019-09-01T16:00:00Z,1567353600000,BUY,0.19775794,9604.26,0.6648,1899.32,vdo_trend_accel
2019-09-02T04:00:00Z,1567396800000,BUY,0.46897524,9744.68,1.5995,4570.01,vdo_trend_accel
2019-09-09T04:00:00Z,1568001600000,SELL,2.20092025,10297.13,7.9321,22663.16,trailing_stop
2019-09-12T00:00:00Z,1568246400000,BUY,0.78054195,10161.80,2.7761,7931.71,vdo_trend_accel
2019-09-12T12:00:00Z,1568289600000,BUY,0.77988157,10172.50,2.7767,7933.35,vdo_trend_accel
2019-09-13T00:00:00Z,1568332800000,BUY,0.61143935,10418.13,2.2295,6370.06,vdo_trend_accel
2019-09-19T04:00:00Z,1568865600000,SELL,2.17186288,9819.75,7.4645,21327.16,emergency_dd
2019-09-20T00:00:00Z,1568937600000,BUY,0.74252563,10246.77,2.6630,7608.49,vdo_trend_accel
2019-09-23T00:00:00Z,1569196800000,BUY,0.62129536,10031.06,2.1813,6232.25,vdo_trend_accel
2019-09-24T00:00:00Z,1569283200000,SELL,1.36382099,9699.29,4.6298,13228.09,emergency_dd
2019-09-26T00:00:00Z,1569456000000,BUY,0.45443900,8432.58,1.3412,3832.09,vdo_dip_buy
2019-09-26T12:00:00Z,1569499200000,BUY,0.88007312,8388.91,2.5840,7382.85,vdo_dip_buy
2019-09-27T12:00:00Z,1569585600000,BUY,0.56909365,7990.58,1.5916,4547.39,vdo_dip_buy
2019-09-28T00:00:00Z,1569628800000,BUY,0.57479065,8179.92,1.6456,4701.74,vdo_trend_accel
2019-11-01T04:00:00Z,1572580800000,SELL,2.47839642,9061.40,7.8602,22457.74,trailing_stop
2019-11-02T00:00:00Z,1572652800000,BUY,0.72865315,9234.17,2.3550,6728.51,vdo_trend
2019-11-02T12:00:00Z,1572696000000,BUY,0.87444376,9244.87,2.8294,8084.12,vdo_trend_accel
2019-11-03T04:00:00Z,1572753600000,BUY,0.37273724,9332.55,1.2175,3478.59,vdo_trend
2019-11-05T00:00:00Z,1572912000000,BUY,0.19632927,9395.22,0.6456,1844.56,vdo_trend_accel
2019-11-15T16:00:00Z,1573833600000,SELL,2.17216342,8476.91,6.4446,18413.23,emergency_dd
2019-11-17T04:00:00Z,1573963200000,BUY,0.88108599,8484.55,2.6165,7475.62,vdo_trend_accel
2019-11-21T16:00:00Z,1574352000000,SELL,0.88108599,7629.14,2.3527,6721.93,emergency_dd
2020-01-17T08:00:00Z,1579248000000,BUY,0.11401723,8938.22,0.3567,1019.11,vdo_trend_accel
2020-01-19T04:00:00Z,1579406400000,BUY,0.07417073,9160.49,0.2378,679.44,vdo_trend_accel
2020-01-22T04:00:00Z,1579665600000,BUY,0.18177784,8717.61,0.5546,1584.67,vdo_trend_accel
2020-01-23T00:00:00Z,1579737600000,BUY,0.18437661,8685.38,0.5605,1601.38,vdo_trend_accel
2020-01-24T20:00:00Z,1579896000000,BUY,0.09487237,8501.05,0.2823,806.51,vdo_trend_accel
2020-01-25T20:00:00Z,1579982400000,BUY,0.14403934,8364.76,0.4217,1204.85,vdo_trend
2020-01-26T08:00:00Z,1580025600000,BUY,0.08930027,8387.37,0.2621,748.99,vdo_trend_accel
2020-01-26T20:00:00Z,1580068800000,BUY,0.04620278,8569.56,0.1386,395.94,vdo_trend_accel
2020-01-28T00:00:00Z,1580169600000,BUY,0.02419621,8910.24,0.0755,215.59,vdo_trend_accel
2020-02-05T12:00:00Z,1580904000000,BUY,0.53819351,9422.00,1.7748,5070.86,vdo_trend_accel
2020-02-06T00:00:00Z,1580947200000,BUY,0.27744629,9614.91,0.9337,2667.62,vdo_trend_accel
2020-02-08T16:00:00Z,1581177600000,BUY,0.14430333,9832.45,0.4966,1418.86,vdo_trend_accel
2020-02-09T04:00:00Z,1581220800000,BUY,0.09862813,10055.68,0.3471,991.77,vdo_trend_accel
2020-02-10T00:00:00Z,1581292800000,BUY,0.03151315,10154.77,0.1120,320.01,vdo_trend_accel
2020-02-16T20:00:00Z,1581883200000,SELL,2.04303777,9742.99,6.9669,19905.29,trailing_stop
2020-02-18T16:00:00Z,1582041600000,BUY,0.64910226,9833.64,2.2341,6383.04,vdo_trend_accel
2020-02-19T04:00:00Z,1582084800000,BUY,0.44415330,10153.53,1.5784,4509.72,vdo_trend_accel
2020-02-21T12:00:00Z,1582286400000,BUY,0.50266747,9697.47,1.7061,4874.60,vdo_trend_accel
2020-02-22T00:00:00Z,1582329600000,BUY,0.30105963,9679.95,1.0200,2914.24,vdo_trend_accel
2020-02-22T20:00:00Z,1582401600000,BUY,0.31753207,9670.81,1.0748,3070.79,vdo_trend_accel
2020-02-26T08:00:00Z,1582704000000,SELL,2.21451473,9145.34,7.0884,20252.48,emergency_dd
2020-02-29T00:00:00Z,1582934400000,BUY,0.77182657,8693.41,2.3484,6709.80,vdo_trend_accel
2020-02-29T12:00:00Z,1582977600000,BUY,0.78306730,8699.56,2.3843,6812.34,vdo_trend
2020-03-01T00:00:00Z,1583020800000,BUY,0.26971187,8526.17,0.8049,2299.61,vdo_dip_buy
2020-03-02T04:00:00Z,1583121600000,BUY,0.15061733,8604.57,0.4536,1296.00,vdo_trend_accel
2020-03-02T20:00:00Z,1583179200000,BUY,0.11045227,8885.55,0.3435,981.43,vdo_trend_accel
2020-03-05T04:00:00Z,1583380800000,BUY,0.07858793,8872.34,0.2440,697.26,vdo_trend_accel
2020-03-05T16:00:00Z,1583424000000,BUY,0.02368934,9088.25,0.0754,215.29,vdo_trend_accel
2020-03-06T08:00:00Z,1583481600000,BUY,0.03952660,9104.35,0.1260,359.86,vdo_trend_accel
2020-03-08T12:00:00Z,1583668800000,SELL,2.22747921,8738.68,6.8128,19465.22,trailing_stop
2020-03-11T04:00:00Z,1583899200000,BUY,0.89778889,7926.18,2.4906,7116.03,vdo_trend_accel
2020-03-12T00:00:00Z,1583971200000,BUY,0.48810391,7936.96,1.3559,3874.06,vdo_trend_accel
2020-03-12T08:00:00Z,1584000000000,SELL,1.38589280,7389.90,3.5846,10241.61,emergency_dd
2020-05-01T08:00:00Z,1588320000000,BUY,0.12638845,8769.81,0.3879,1108.40,vdo_trend
2020-05-08T00:00:00Z,1588896000000,BUY,0.06313109,9989.30,0.2207,630.64,vdo_trend_accel
2020-05-10T04:00:00Z,1589083200000,SELL,0.18951954,8620.14,0.5718,1633.69,trailing_stop
2020-05-17T16:00:00Z,1589731200000,BUY,0.58037721,9825.59,1.9959,5702.55,vdo_trend_accel
2020-05-18T04:00:00Z,1589774400000,BUY,0.69148946,9863.47,2.3872,6820.48,vdo_trend_accel
2020-05-23T04:00:00Z,1590206400000,BUY,0.22249873,9288.90,0.7234,2066.77,vdo_trend_accel
2020-05-23T16:00:00Z,1590249600000,BUY,0.17251763,9201.54,0.5556,1587.43,vdo_trend
2020-05-25T00:00:00Z,1590364800000,SELL,1.66688303,8715.52,5.0847,14527.76,emergency_dd
2020-05-26T08:00:00Z,1590480000000,BUY,0.69566674,8959.52,2.1815,6232.84,vdo_trend_accel
2020-05-27T00:00:00Z,1590537600000,BUY,0.42127630,8843.65,1.3040,3725.62,vdo_trend_accel
2020-05-28T00:00:00Z,1590624000000,BUY,0.24981572,9206.83,0.8050,2300.01,vdo_trend_accel
2020-05-28T12:00:00Z,1590667200000,BUY,0.19462888,9270.00,0.6315,1804.21,vdo_trend_accel
2020-05-29T00:00:00Z,1590710400000,BUY,0.09471519,9578.74,0.3175,907.25,vdo_trend_accel
2020-05-30T12:00:00Z,1590840000000,BUY,0.14628079,9557.38,0.4893,1398.06,vdo_trend_accel
2020-05-31T00:00:00Z,1590883200000,BUY,0.04533173,9700.63,0.1539,439.75,vdo_trend_accel
2020-06-02T04:00:00Z,1591070400000,BUY,0.03605380,10099.90,0.1274,364.14,vdo_trend_accel
2020-06-04T08:00:00Z,1591257600000,SELL,1.88376915,9646.70,6.3603,18172.15,trailing_stop
2020-06-05T00:00:00Z,1591315200000,BUY,0.56296319,9791.08,1.9292,5512.02,vdo_trend_accel
2020-06-07T20:00:00Z,1591560000000,BUY,0.44528828,9778.44,1.5240,4354.23,vdo_trend_accel
2020-06-14T00:00:00Z,1592092800000,BUY,0.27615123,9476.18,0.9159,2616.86,vdo_trend_accel
2020-06-14T12:00:00Z,1592136000000,BUY,0.37383638,9429.44,1.2338,3525.07,vdo_trend_accel
2020-06-16T00:00:00Z,1592265600000,BUY,0.14321423,9428.88,0.4726,1350.35,vdo_trend_accel
2020-06-16T12:00:00Z,1592308800000,BUY,0.04830148,9512.02,0.1608,459.44,vdo_trend_accel
2020-06-21T00:00:00Z,1592697600000,BUY,0.05073694,9361.76,0.1662,474.99,vdo_trend_accel
2020-06-27T20:00:00Z,1593288000000,SELL,1.90049172,8934.77,5.9432,16980.45,emergency_dd
2020-06-29T20:00:00Z,1593460800000,BUY,0.56299462,9160.85,1.8051,5157.51,vdo_trend_accel
2020-06-30T08:00:00Z,1593504000000,BUY,0.34319809,9147.08,1.0987,3139.26,vdo_trend
2020-07-01T16:00:00Z,1593619200000,BUY,0.18002931,9266.61,0.5839,1668.26,vdo_trend_accel
2020-07-04T20:00:00Z,1593892800000,BUY,0.40163181,9132.05,1.2837,3667.72,vdo_trend_accel
2020-07-06T16:00:00Z,1594051200000,BUY,0.09195421,9307.81,0.2996,855.89,vdo_trend_accel
2020-07-07T04:00:00Z,1594094400000,BUY,0.12489973,9298.37,0.4065,1161.36,vdo_trend_accel
2020-07-18T12:00:00Z,1595073600000,BUY,0.10404351,9162.66,0.3337,953.32,vdo_trend_accel
2020-08-03T00:00:00Z,1596412800000,SELL,1.80875129,11068.04,7.0068,20019.33,trailing_stop
2020-08-10T04:00:00Z,1597032000000,BUY,0.60820310,12013.00,2.5572,7306.35,vdo_trend_accel
2020-08-14T00:00:00Z,1597363200000,BUY,0.59893337,11783.30,2.4701,7057.41,vdo_trend_accel
2020-08-14T12:00:00Z,1597406400000,BUY,0.21824466,11764.34,0.8986,2567.50,vdo_trend_accel
2020-08-15T04:00:00Z,1597464000000,BUY,0.16045451,11892.24,0.6679,1908.16,vdo_trend_accel
2020-08-17T16:00:00Z,1597680000000,BUY,0.02797031,12425.57,0.1216,347.55,vdo_trend_accel
2020-08-22T00:00:00Z,1598054400000,SELL,1.61380596,11527.77,6.5113,18603.59,emergency_dd
2020-08-23T00:00:00Z,1598140800000,BUY,0.54847128,11667.01,2.2397,6399.02,vdo_trend_accel
2020-08-24T08:00:00Z,1598256000000,BUY,0.34593610,11762.10,1.4241,4068.93,vdo_trend_accel
2020-08-25T00:00:00Z,1598313600000,BUY,0.23187801,11751.71,0.9537,2724.96,vdo_trend
2020-08-25T12:00:00Z,1598356800000,BUY,0.17093367,11617.92,0.6951,1985.89,vdo_trend
2020-08-30T12:00:00Z,1598788800000,BUY,0.15133330,11606.57,0.6148,1756.46,vdo_trend_accel
2020-08-31T00:00:00Z,1598832000000,BUY,0.15473440,11714.68,0.6344,1812.66,vdo_trend_accel
2020-08-31T12:00:00Z,1598875200000,BUY,0.05235239,11684.22,0.2141,611.70,vdo_trend
2020-09-03T16:00:00Z,1599148800000,SELL,1.65563916,10667.08,6.1813,17660.83,emergency_dd
2020-09-06T08:00:00Z,1599379200000,BUY,0.63499462,10233.43,2.2744,6498.17,vdo_trend_accel
2020-09-06T20:00:00Z,1599422400000,BUY,0.63372635,10261.38,2.2760,6502.91,vdo_trend_accel
2020-09-07T08:00:00Z,1599465600000,BUY,0.16631779,10116.84,0.5889,1682.61,vdo_trend
2020-09-07T20:00:00Z,1599508800000,BUY,0.09756422,10151.52,0.3466,990.43,vdo_trend
2020-09-08T08:00:00Z,1599552000000,BUY,0.09760627,10267.37,0.3508,1002.16,vdo_trend
2020-09-12T20:00:00Z,1599940800000,BUY,0.05634683,10464.38,0.2064,589.63,vdo_trend_accel
2020-09-13T08:00:00Z,1599984000000,BUY,0.03514589,10545.43,0.1297,370.63,vdo_trend
2020-09-21T16:00:00Z,1600704000000,SELL,1.72170198,10415.64,6.2764,17932.64,trailing_stop
2020-09-26T08:00:00Z,1601107200000,BUY,0.44884786,10709.05,1.6824,4806.74,vdo_trend
2020-09-27T00:00:00Z,1601164800000,BUY,0.38364980,10731.81,1.4410,4117.26,vdo_trend_accel
2020-09-27T20:00:00Z,1601236800000,BUY,0.31772200,10735.23,1.1938,3410.82,vdo_trend_accel
2020-09-28T08:00:00Z,1601280000000,BUY,0.24208229,10857.26,0.9199,2628.35,vdo_trend_accel
2020-10-04T08:00:00Z,1601798400000,BUY,0.20073229,10616.01,0.7458,2130.98,vdo_trend_accel
2020-10-04T20:00:00Z,1601841600000,BUY,0.12160236,10676.46,0.4544,1298.28,vdo_trend_accel
2020-10-29T08:00:00Z,1603958400000,SELL,1.71463660,13134.93,7.8826,22521.63,trailing_stop
2020-10-31T08:00:00Z,1604131200000,BUY,0.49415673,13580.21,2.3488,6710.75,vdo_trend
2020-10-31T20:00:00Z,1604174400000,BUY,0.45249829,13786.00,2.1834,6238.14,vdo_trend
2020-11-01T16:00:00Z,1604246400000,BUY,0.18488905,13804.14,0.8933,2552.23,vdo_trend
2020-11-04T00:00:00Z,1604448000000,BUY,0.25638491,14027.74,1.2588,3596.50,vdo_trend_accel
2020-11-04T20:00:00Z,1604520000000,BUY,0.09615228,14106.49,0.4747,1356.37,vdo_trend_accel
2020-11-05T16:00:00Z,1604592000000,BUY,0.02428825,15084.77,0.1282,366.38,vdo_trend_accel
2020-11-11T12:00:00Z,1605096000000,BUY,0.04732273,15579.15,0.2580,737.25,vdo_trend_accel
2020-11-12T00:00:00Z,1605139200000,BUY,0.03970898,15688.96,0.2180,622.99,vdo_trend_accel
2020-11-26T08:00:00Z,1606377600000,SELL,1.59540121,17605.64,9.8308,28088.05,trailing_stop
2020-11-28T12:00:00Z,1606564800000,BUY,0.58840231,17165.44,3.5351,10100.18,vdo_trend_accel
2020-11-29T12:00:00Z,1606651200000,BUY,0.26606316,18095.18,1.6851,4814.46,vdo_trend_accel
2020-11-30T00:00:00Z,1606694400000,BUY,0.18419888,18190.46,1.1727,3350.66,vdo_trend
2020-11-30T12:00:00Z,1606737600000,BUY,0.08102561,18606.52,0.5277,1507.60,vdo_trend
2020-12-01T00:00:00Z,1606780800000,BUY,0.14737341,19701.78,1.0162,2903.52,vdo_trend_accel
2020-12-01T12:00:00Z,1606824000000,BUY,0.13935856,19431.23,0.9478,2707.91,vdo_trend
2020-12-07T00:00:00Z,1607299200000,BUY,0.10064647,19364.48,0.6821,1948.97,vdo_trend_accel
2020-12-09T00:00:00Z,1607472000000,SELL,1.50706842,18318.61,9.6626,27607.40,trailing_stop
2020-12-12T04:00:00Z,1607745600000,BUY,0.55717939,18287.50,3.5663,10189.42,vdo_trend_accel
