peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-05-12T15:59:59Z,12659.46,2019-05-13T15:59:59Z,8.22,2,8,0.3,1.3
2019-05-14T07:59:59Z,15283.34,2019-05-23T07:59:59Z,13494.89,2019-05-27T07:59:59Z,11.7,54,78,9.0,13.0
2019-05-30T15:59:59Z,15735.63,2019-06-09T23:59:59Z,13965.47,2019-06-15T15:59:59Z,11.25,62,96,10.3,16.0
2019-06-26T19:59:59Z,24987.32,2020-07-05T15:59:59Z,16687.69,2020-11-12T07:59:59Z,33.22,2249,3027,374.8,504.5
2020-11-24T15:59:59Z,30341.31,2020-11-26T11:59:59Z,27626.92,2020-12-16T15:59:59Z,8.95,11,132,1.8,22.0
2020-12-21T07:59:59Z,35692.4,2020-12-21T11:59:59Z,33782.68,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,50682.69,2021-01-04T11:59:59Z,45373.16,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,60465.46,2021-01-27T15:59:59Z,47956.22,2021-02-14T07:59:59Z,20.69,115,221,19.2,36.8
2021-02-21T19:59:59Z,70230.57,2021-03-06T15:59:59Z,62035.06,2021-03-11T23:59:59Z,11.67,77,109,12.8,18.2
2021-03-14T03:59:59Z,74756.77,2021-03-25T15:59:59Z,64102.59,2021-04-30T15:59:59Z,14.25,69,285,11.5,47.5
2021-05-03T07:59:59Z,77698.06,2021-09-28T23:59:59Z,58570.39,2021-10-06T19:59:59Z,24.62,892,939,148.7,156.5
2021-10-20T15:59:59Z,93934.71,2021-10-27T23:59:59Z,84092.29,2021-11-09T03:59:59Z,10.48,44,117,7.3,19.5
2021-11-09T03:59:59Z,95120.88,2023-06-15T15:59:59Z,65341.51,2023-12-04T19:59:59Z,31.31,3501,4534,583.5,755.7
2023-12-09T07:59:59Z,100369.39,2023-12-18T03:59:59Z,93028.56,2024-01-02T03:59:59Z,7.31,53,143,8.8,23.8
2024-01-02T07:59:59Z,101485.09,2024-01-03T19:59:59Z,95381.84,2024-01-08T19:59:59Z,6.01,9,39,1.5,6.5
2024-01-11T11:59:59Z,104910.4,2024-01-23T19:59:59Z,92427.64,2024-02-08T15:59:59Z,11.9,74,169,12.3,28.2
2024-03-04T23:59:59Z,140613.08,2024-03-05T19:59:59Z,128238.86,2024-03-08T19:59:59Z,8.8,5,23,0.8,3.8
2024-03-13T19:59:59Z,149852.98,2024-05-01T15:59:59Z,130323.91,2024-05-20T19:59:59Z,13.03,293,408,48.8,68.0
2024-05-20T23:59:59Z,153199.16,2024-08-07T19:59:59Z,99919.15,2024-11-22T03:59:59Z,34.78,473,1111,78.8,185.2
2024-12-05T03:59:59Z,160745.42,2024-12-09T23:59:59Z,151926.86,2024-12-16T15:59:59Z,5.49,29,69,4.8,11.5
2024-12-17T03:59:59Z,162857.79,2024-12-30T15:59:59Z,147199.08,2025-01-17T15:59:59Z,9.61,81,189,13.5,31.5
2025-01-20T11:59:59Z,171655.04,2025-03-31T03:59:59Z,118683.83,,30.86,418,,69.7,
