peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-06-09T23:59:59Z,11839.18,2019-06-16T07:59:59Z,14.17,172,210,28.7,35.0
2019-06-26T19:59:59Z,19008.34,2019-07-30T03:59:59Z,17153.45,2019-08-02T15:59:59Z,9.76,200,221,33.3,36.8
2019-08-06T07:59:59Z,21610.49,2020-07-05T15:59:59Z,14711.88,2020-11-05T23:59:59Z,31.92,2006,2746,334.3,457.7
2020-11-06T07:59:59Z,21963.02,2020-11-12T03:59:59Z,20520.5,2020-11-17T11:59:59Z,6.57,35,67,5.8,11.2
2020-11-21T15:59:59Z,24223.48,2020-11-27T15:59:59Z,22294.61,2020-11-30T15:59:59Z,7.96,36,54,6.0,9.0
2020-11-30T23:59:59Z,24613.1,2020-12-09T03:59:59Z,23022.22,2020-12-16T15:59:59Z,6.46,49,94,8.2,15.7
2020-12-21T07:59:59Z,29532.29,2020-12-21T11:59:59Z,27952.16,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,36687.43,2021-01-27T15:59:59Z,34066.33,2021-04-26T11:59:59Z,7.14,146,679,24.3,113.2
2021-05-03T07:59:59Z,39922.77,2021-09-28T23:59:59Z,30085.4,2021-10-06T19:59:59Z,24.64,892,939,148.7,156.5
2021-10-20T15:59:59Z,48250.72,2021-10-27T23:59:59Z,43195.04,2021-11-09T03:59:59Z,10.48,44,117,7.3,19.5
2021-11-09T03:59:59Z,48860.01,2023-06-15T15:59:59Z,33563.47,2023-12-04T19:59:59Z,31.31,3501,4534,583.5,755.7
2023-12-09T07:59:59Z,51555.32,2023-12-18T03:59:59Z,47800.95,2024-01-02T03:59:59Z,7.28,53,143,8.8,23.8
2024-01-02T07:59:59Z,52210.11,2024-01-03T19:59:59Z,48932.28,2024-01-08T19:59:59Z,6.28,9,39,1.5,6.5
2024-01-11T11:59:59Z,54049.72,2024-01-23T19:59:59Z,47414.11,2024-02-09T03:59:59Z,12.28,74,172,12.3,28.7
2024-03-04T23:59:59Z,72223.87,2024-08-07T19:59:59Z,46405.64,,35.75,935,,155.8,
