peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-05-12T15:59:59Z,12659.46,2019-05-13T15:59:59Z,8.22,2,8,0.3,1.3
2019-05-14T07:59:59Z,15283.34,2019-05-23T07:59:59Z,13459.69,2019-05-27T03:59:59Z,11.93,54,77,9.0,12.8
2019-05-30T15:59:59Z,15766.56,2019-06-09T23:59:59Z,13981.25,2019-06-15T15:59:59Z,11.32,62,96,10.3,16.0
2019-06-26T19:59:59Z,25015.56,2020-06-27T19:59:59Z,17353.61,2020-11-05T15:59:59Z,30.63,2202,2987,367.0,497.8
2020-11-06T07:59:59Z,26037.94,2020-11-07T19:59:59Z,24382.75,2020-11-09T11:59:59Z,6.36,9,19,1.5,3.2
2020-11-24T15:59:59Z,31868.45,2020-11-26T11:59:59Z,29017.44,2020-12-16T15:59:59Z,8.95,11,132,1.8,22.0
2020-12-21T07:59:59Z,37526.77,2020-12-21T11:59:59Z,35518.9,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,53287.46,2021-01-04T11:59:59Z,47705.06,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,63573.01,2021-01-27T15:59:59Z,50427.75,2021-02-14T07:59:59Z,20.68,115,221,19.2,36.8
2021-02-21T19:59:59Z,73890.58,2021-03-06T15:59:59Z,65244.21,2021-03-11T23:59:59Z,11.7,77,109,12.8,18.2
2021-03-14T03:59:59Z,78624.03,2021-03-25T15:59:59Z,67418.69,2021-04-30T15:59:59Z,14.25,69,285,11.5,47.5
2021-05-03T07:59:59Z,81717.47,2021-09-28T23:59:59Z,60292.59,2021-10-14T03:59:59Z,26.22,892,983,148.7,163.8
2021-10-20T15:59:59Z,93942.9,2021-10-27T23:59:59Z,84177.34,2021-11-09T03:59:59Z,10.4,44,117,7.3,19.5
2021-11-09T03:59:59Z,95217.09,2023-06-15T15:59:59Z,66239.43,2023-12-04T03:59:59Z,30.43,3501,4530,583.5,755.0
2023-12-09T07:59:59Z,104221.17,2023-12-18T03:59:59Z,94237.62,2024-01-08T19:59:59Z,9.58,53,183,8.8,30.5
2024-01-11T11:59:59Z,106433.89,2024-01-23T19:59:59Z,93728.66,2024-02-08T15:59:59Z,11.94,74,169,12.3,28.2
2024-03-04T23:59:59Z,142697.25,2024-03-05T19:59:59Z,129850.05,2024-03-08T19:59:59Z,9.0,5,23,0.8,3.8
2024-03-13T19:59:59Z,152290.33,2024-05-01T15:59:59Z,132298.78,2024-05-20T19:59:59Z,13.13,293,408,48.8,68.0
2024-05-20T23:59:59Z,155520.67,2024-08-07T19:59:59Z,107484.46,2024-11-13T15:59:59Z,30.89,473,1060,78.8,176.7
2024-11-13T15:59:59Z,157637.42,2024-11-14T23:59:59Z,149123.27,2024-11-19T19:59:59Z,5.4,8,37,1.3,6.2
2024-12-05T03:59:59Z,176584.79,2024-12-09T23:59:59Z,166627.45,2024-12-16T15:59:59Z,5.64,29,69,4.8,11.5
2024-12-17T03:59:59Z,178616.08,2024-12-30T15:59:59Z,161442.21,2025-01-17T15:59:59Z,9.61,81,189,13.5,31.5
2025-01-20T11:59:59Z,188264.55,2025-03-31T03:59:59Z,120160.84,,36.17,418,,69.7,
