peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-05-12T15:59:59Z,12659.46,2019-05-13T15:59:59Z,8.22,2,8,0.3,1.3
2019-05-14T07:59:59Z,15283.34,2019-05-23T07:59:59Z,13459.69,2019-05-27T03:59:59Z,11.93,54,77,9.0,12.8
2019-05-30T15:59:59Z,15766.56,2019-06-09T23:59:59Z,13981.25,2019-06-15T15:59:59Z,11.32,62,96,10.3,16.0
2019-06-26T19:59:59Z,25015.56,2020-07-05T15:59:59Z,16960.0,2020-11-05T23:59:59Z,32.2,2249,2989,374.8,498.2
2020-11-06T07:59:59Z,25340.27,2020-11-07T19:59:59Z,23729.43,2020-11-09T11:59:59Z,6.36,9,19,1.5,3.2
2020-11-24T15:59:59Z,31014.56,2020-11-26T11:59:59Z,28239.95,2020-12-16T15:59:59Z,8.95,11,132,1.8,22.0
2020-12-21T07:59:59Z,36521.27,2020-12-21T11:59:59Z,34567.2,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,51859.67,2021-01-04T11:59:59Z,46426.84,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,61869.63,2021-01-27T15:59:59Z,49076.59,2021-02-14T07:59:59Z,20.68,115,221,19.2,36.8
2021-02-21T19:59:59Z,71910.75,2021-03-06T15:59:59Z,63496.05,2021-03-11T23:59:59Z,11.7,77,109,12.8,18.2
2021-03-14T03:59:59Z,76517.37,2021-03-25T15:59:59Z,65612.27,2021-04-30T15:59:59Z,14.25,69,285,11.5,47.5
2021-05-03T07:59:59Z,79527.93,2021-09-28T23:59:59Z,58820.57,2021-10-15T03:59:59Z,26.04,892,989,148.7,164.8
2021-10-20T15:59:59Z,90976.8,2021-10-27T23:59:59Z,81542.87,2021-11-08T23:59:59Z,10.37,44,116,7.3,19.3
2021-11-09T03:59:59Z,92237.11,2023-10-12T15:59:59Z,59501.52,2024-02-10T23:59:59Z,35.49,4215,4943,702.5,823.8
2024-03-04T23:59:59Z,118164.43,2024-03-05T19:59:59Z,107525.94,2024-03-08T19:59:59Z,9.0,5,23,0.8,3.8
2024-03-13T19:59:59Z,126108.24,2024-05-01T15:59:59Z,109553.68,2024-05-20T19:59:59Z,13.13,293,408,48.8,68.0
2024-05-20T23:59:59Z,128783.21,2024-08-07T19:59:59Z,88760.41,2024-11-13T15:59:59Z,31.08,473,1060,78.8,176.7
2024-11-13T15:59:59Z,129292.57,2024-11-14T23:59:59Z,122303.2,2024-11-19T19:59:59Z,5.41,8,37,1.3,6.2
2024-12-05T03:59:59Z,144837.1,2024-12-09T23:59:59Z,136669.97,2024-12-16T15:59:59Z,5.64,29,69,4.8,11.5
2024-12-17T03:59:59Z,146503.19,2024-12-30T15:59:59Z,132416.97,2025-01-17T15:59:59Z,9.61,81,189,13.5,31.5
2025-01-20T11:59:59Z,154416.99,2025-03-31T03:59:59Z,106594.66,,30.97,418,,69.7,
