candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
v10_baseline,smart,121.37,48.56,34.07,1.3856,1.3857,1.8656,52.0,1614.56,5408.59,100,26.25,0.92
v10_baseline,base,112.74,45.55,34.78,1.3219,1.3252,1.8309,52.0,1427.29,13978.83,100,26.08,2.61
v10_baseline,harsh,88.94,37.26,36.28,1.151,1.1421,1.6693,50.49,912.87,16268.15,103,26.26,3.94
v11_cycle_early_deftrail,smart,122.28,49.29,35.54,1.3993,1.3879,1.8362,51.49,1659.79,5805.69,101,27.03,0.95
v11_cycle_early_deftrail,base,111.12,45.4,36.17,1.3182,1.3097,1.7548,50.98,1394.8,15206.17,102,27.4,2.74
v11_cycle_early_deftrail,harsh,105.54,43.44,36.84,1.2772,1.2728,1.7653,50.98,1292.97,21196.82,102,27.24,4.09
v11_cycle_early_mild,smart,124.87,49.1,30.98,1.4019,1.3895,1.8988,50.98,1627.35,5527.1,102,26.79,0.94
v11_cycle_early_mild,base,105.34,43.04,35.49,1.277,1.2632,1.7636,50.0,1206.11,13367.61,104,26.9,2.69
v11_cycle_early_mild,harsh,100.99,41.18,34.24,1.2355,1.2274,1.7404,50.0,1122.78,19048.35,104,26.9,4.04
v11_cycle_early_lat50,smart,122.28,49.29,35.54,1.3993,1.3879,1.8362,51.49,1659.79,5805.69,101,27.03,0.95
v11_cycle_early_lat50,base,111.12,45.4,36.17,1.3182,1.3097,1.7548,50.98,1394.8,15206.17,102,27.4,2.74
v11_cycle_early_lat50,harsh,105.54,43.44,36.84,1.2772,1.2728,1.7653,50.98,1292.97,21196.82,102,27.24,4.09
v11_cycle_early_fast,smart,126.6,50.73,35.42,1.4319,1.4256,1.9137,51.49,1783.77,5979.91,101,27.15,0.95
v11_cycle_early_fast,base,115.32,46.81,36.05,1.3509,1.3472,1.8227,50.98,1498.68,15661.9,102,27.55,2.75
v11_cycle_early_fast,harsh,109.23,44.67,36.71,1.3066,1.3025,1.8263,50.98,1376.71,21732.99,102,27.36,4.1
