trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5166.43,5301.26,0.85711579,108.75,2.61,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5391.68,7336.60,1.79131283,3464.25,36.07,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7637.76,8107.55,1.76895735,809.52,6.15,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7879.30,11818.17,1.65803877,6501.41,49.99,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11438.77,11178.32,1.43929956,-398.99,-2.28,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10539.57,9920.66,0.65225179,-413.39,-5.87,5.33,vdo_trend_accel,trailing_stop
7,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10349.53,9976.79,1.81566237,-703.94,-3.60,5.00,vdo_trend_accel,trailing_stop
8,2019-09-01T04:00:00Z,2019-09-09T04:00:00Z,1567310400000,1568001600000,9706.73,10289.92,1.40226662,796.14,6.01,8.00,vdo_trend_accel,trailing_stop
9,2019-09-26T00:00:00Z,2019-10-14T12:00:00Z,1569456000000,1571054400000,8178.89,8271.80,2.39061408,192.46,1.14,18.50,vdo_dip_buy,trailing_stop
10,2019-11-02T00:00:00Z,2019-11-08T16:00:00Z,1572652800000,1573228800000,9273.61,8811.94,1.97783007,-939.24,-4.98,6.67,vdo_trend,emergency_dd
11,2019-11-17T04:00:00Z,2019-11-22T12:00:00Z,1573963200000,1574424000000,8490.49,7095.78,0.35236556,-495.20,-16.43,5.33,vdo_trend_accel,fixed_stop
12,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9160.58,9736.17,1.91648479,1075.12,6.28,30.50,vdo_trend_accel,trailing_stop
13,2020-02-18T16:00:00Z,2020-02-25T16:00:00Z,1582041600000,1582646400000,9874.87,9385.80,1.87735132,-944.59,-4.95,7.00,vdo_trend_accel,emergency_dd
14,2020-02-29T00:00:00Z,2020-03-12T12:00:00Z,1582934400000,1584014400000,8647.09,6058.21,1.62422938,-4219.71,-29.94,12.50,vdo_trend_accel,emergency_dd
15,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9518.62,8614.11,0.09603810,-88.11,-9.50,8.83,vdo_trend,trailing_stop
16,2020-05-17T16:00:00Z,2020-05-21T16:00:00Z,1589731200000,1590076800000,9851.75,9073.42,1.00949983,-799.46,-7.90,4.00,vdo_trend_accel,emergency_dd
17,2020-05-23T04:00:00Z,2020-06-04T08:00:00Z,1590206400000,1591257600000,9260.62,9639.94,1.10919847,404.71,4.10,12.17,vdo_trend_accel,trailing_stop
18,2020-06-05T00:00:00Z,2020-08-03T00:00:00Z,1591315200000,1596412800000,9527.21,11060.29,1.24833512,1893.09,16.09,59.00,vdo_trend_accel,trailing_stop
19,2020-08-10T04:00:00Z,2020-08-22T00:00:00Z,1597032000000,1598054400000,11893.40,11519.70,1.25850297,-492.05,-3.14,11.83,vdo_trend_accel,emergency_dd
20,2020-08-23T00:00:00Z,2020-08-25T20:00:00Z,1598140800000,1598385600000,11709.72,11282.71,1.05363225,-467.75,-3.65,2.83,vdo_trend_accel,emergency_dd
21,2020-08-30T12:00:00Z,2020-10-13T04:00:00Z,1598788800000,1602561600000,10972.92,11446.78,1.17300969,535.71,4.32,43.67,vdo_trend_accel,trailing_stop
22,2020-10-18T16:00:00Z,2020-11-07T20:00:00Z,1603036800000,1604779200000,11931.26,14628.88,1.21857380,3260.50,22.61,20.17,vdo_trend_accel,trailing_stop
23,2020-11-11T12:00:00Z,2020-11-26T16:00:00Z,1605096000000,1606406400000,15761.59,16889.33,1.13281572,1248.82,7.15,15.17,vdo_trend_accel,trailing_stop
