time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.09090566,5364.44,0.1707,487.66,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.35156467,5048.49,0.6212,1774.87,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.17090776,5132.82,0.3070,877.24,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07373045,5219.13,0.1347,384.81,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04502542,5264.31,0.0830,237.03,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04589585,5272.22,0.0847,241.97,vdo_trend_accel
2019-04-20T08:00:00Z,1555747200000,BUY,0.04269415,5306.68,0.0793,226.56,vdo_trend_accel
2019-04-22T20:00:00Z,1555963200000,BUY,0.03692801,5356.30,0.0692,197.80,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.85765197,5304.98,1.5924,4549.82,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.17362361,5311.40,0.3228,922.18,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.25170164,5219.17,0.4598,1313.67,vdo_dip_buy
2019-04-30T16:00:00Z,1556640000000,BUY,0.30017209,5314.59,0.5584,1595.29,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.16282361,5350.52,0.3049,871.19,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66268495,5389.13,1.2500,3571.29,vdo_trend_accel
2019-05-02T16:00:00Z,1556812800000,BUY,0.12188342,5525.65,0.2357,673.48,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03379741,5843.25,0.0691,197.49,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.09010039,5957.70,0.1879,536.79,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.79678712,7341.74,4.6170,13191.54,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.66808967,7137.87,1.6691,4768.74,vdo_dip_buy
2019-05-19T08:00:00Z,1558252800000,BUY,0.62538620,7911.51,1.7317,4947.75,vdo_trend_accel
2019-05-19T20:00:00Z,1558296000000,BUY,0.48673747,7954.09,1.3550,3871.55,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.78021334,8113.23,5.0551,14443.27,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.64484146,7854.22,1.7727,5064.72,vdo_trend_accel
