trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5167.31,5301.26,0.81314548,102.46,2.59,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-12T16:00:00Z,1556496000000,1557676800000,5391.25,6835.66,1.76881211,2305.92,26.79,13.67,vdo_trend_accel,trailing_stop
3,2019-05-17T08:00:00Z,2019-05-23T00:00:00Z,1558080000000,1558569600000,7357.32,7620.17,0.83999507,211.20,3.57,5.67,vdo_dip_buy,trailing_stop
4,2019-05-24T12:00:00Z,2019-05-31T00:00:00Z,1558699200000,1559260800000,7981.49,8258.83,0.63674367,278.40,3.47,6.50,vdo_trend_accel,trailing_stop
5,2019-06-06T04:00:00Z,2019-06-27T12:00:00Z,1559793600000,1561636800000,7881.36,12243.33,1.54161272,4769.67,55.35,21.33,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10456.85,9920.66,0.81684343,-450.14,-5.13,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-07T00:00:00Z,1564027200000,1565136000000,9817.56,11470.21,1.53669714,2513.18,16.83,12.83,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10333.08,9976.79,1.80511867,-670.17,-3.45,5.00,vdo_trend_accel,emergency_dd
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10271.77,9675.55,1.56179903,-953.85,-5.80,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9641.72,10289.92,1.86030592,1177.15,6.72,9.17,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10244.81,9812.88,1.83008259,-817.40,-4.22,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10155.66,9692.50,1.14592103,-547.41,-4.56,4.00,vdo_trend_accel,emergency_dd
13,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8262.92,9055.06,2.07566772,1616.02,9.59,36.17,vdo_dip_buy,trailing_stop
14,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9276.33,8470.97,1.81319607,-1483.32,-8.68,13.67,vdo_trend,emergency_dd
15,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8490.49,7623.80,0.73387890,-644.44,-10.21,4.50,vdo_trend_accel,emergency_dd
16,2020-01-17T08:00:00Z,2020-02-10T12:00:00Z,1579248000000,1581336000000,9171.54,9811.59,1.69735531,1061.41,6.98,24.17,vdo_trend_accel,trailing_stop
17,2020-02-18T16:00:00Z,2020-02-26T08:00:00Z,1582041600000,1582704000000,9829.72,9138.93,1.84563901,-1300.24,-7.03,7.67,vdo_trend_accel,emergency_dd
