trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5167.92,5303.65,0.81499740,106.30,2.63,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-12T16:00:00Z,1556496000000,1557676800000,5388.94,6838.74,1.77108035,2836.51,26.90,13.67,vdo_trend_accel,trailing_stop
3,2019-05-13T16:00:00Z,2019-05-17T16:00:00Z,1557763200000,1558108800000,7414.32,7092.12,0.27798725,-91.54,-4.35,4.00,vdo_trend_accel,trailing_stop
4,2019-05-19T04:00:00Z,2019-05-31T00:00:00Z,1558238400000,1559260800000,7926.43,8262.55,1.47678869,484.17,4.24,11.83,vdo_trend_accel,trailing_stop
5,2019-06-06T04:00:00Z,2019-06-27T12:00:00Z,1559793600000,1561636800000,7883.53,12248.84,1.63290607,5738.95,55.37,21.33,vdo_trend_accel,trailing_stop
6,2019-07-06T04:00:00Z,2019-07-11T04:00:00Z,1562385600000,1562817600000,11468.64,11694.74,0.54075282,164.94,1.97,5.00,vdo_trend_accel,trailing_stop
7,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10494.30,9925.13,1.06024688,-613.99,-5.42,5.33,vdo_trend_accel,trailing_stop
8,2019-07-25T04:00:00Z,2019-08-07T00:00:00Z,1564027200000,1565136000000,9881.83,11475.38,1.75456608,2775.85,16.13,12.83,vdo_trend_accel,trailing_stop
9,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10328.39,9981.28,1.96151154,-700.45,-3.36,5.00,vdo_trend_accel,emergency_dd
10,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10267.12,9679.90,1.69996364,-1014.69,-5.72,5.17,vdo_trend_accel,emergency_dd
11,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9637.44,10294.56,2.02893197,1312.35,6.82,9.17,vdo_trend_accel,trailing_stop
12,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10240.29,9817.30,1.99913909,-865.24,-4.13,7.17,vdo_trend_accel,emergency_dd
13,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10151.07,9696.86,1.25361564,-581.55,-4.47,4.00,vdo_trend_accel,emergency_dd
14,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8259.12,9059.14,2.27453159,1799.05,9.69,36.17,vdo_dip_buy,trailing_stop
15,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9272.20,8474.79,1.99028768,-1603.95,-8.60,13.67,vdo_trend,emergency_dd
16,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8486.68,7627.23,0.80645749,-699.25,-10.13,4.50,vdo_trend_accel,emergency_dd
