time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.06783857,5368.19,0.5463,364.17,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.31379826,5052.03,2.3780,1585.32,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16555520,5136.41,1.2755,850.36,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07606681,5222.78,0.5959,397.28,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04818183,5267.99,0.3807,253.82,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.05041538,5275.91,0.3990,265.99,vdo_trend_accel
2019-04-20T08:00:00Z,1555747200000,BUY,0.04865916,5310.40,0.3876,258.40,vdo_trend_accel
2019-04-22T20:00:00Z,1555963200000,BUY,0.04424805,5360.05,0.3558,237.17,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.81476326,5301.26,6.4789,4319.28,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15060743,5315.12,1.2007,800.50,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22457721,5222.82,1.7594,1172.93,vdo_dip_buy
2019-04-30T16:00:00Z,1556640000000,BUY,0.28431657,5318.31,2.2681,1512.08,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.18101890,5354.27,1.4538,969.22,vdo_trend_accel
2019-05-01T16:00:00Z,1556726400000,BUY,0.04743445,5360.70,0.3814,254.28,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66016195,5392.90,5.3403,3560.19,vdo_trend_accel
2019-05-02T16:00:00Z,1556812800000,BUY,0.10426848,5529.52,0.8648,576.55,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03107124,5847.34,0.2725,181.68,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08497315,5961.87,0.7599,506.60,vdo_trend_accel
2019-05-12T04:00:00Z,1557633600000,SELL,0.88421805,7153.06,9.4873,6324.87,mr_defensive_exit
2019-05-12T16:00:00Z,1557676800000,SELL,0.88421132,6835.66,9.0663,6044.17,trailing_stop
2019-05-13T16:00:00Z,1557763200000,BUY,0.06522150,7776.88,0.7608,507.22,vdo_trend_accel
2019-05-17T08:00:00Z,1558080000000,BUY,0.21204881,7307.17,2.3242,1549.48,vdo_dip_buy
2019-05-17T16:00:00Z,1558108800000,SELL,0.27727031,7088.93,2.9483,1965.55,trailing_stop
2019-05-19T04:00:00Z,1558238400000,BUY,0.53462430,7911.91,6.3448,4229.90,vdo_trend_accel
2019-05-19T16:00:00Z,1558281600000,BUY,0.56363365,7969.15,6.7375,4491.68,vdo_trend_accel
2019-05-20T12:00:00Z,1558353600000,BUY,0.18807197,7840.33,2.2118,1474.55,vdo_trend
2019-05-21T04:00:00Z,1558411200000,BUY,0.05631257,7896.98,0.6670,444.70,vdo_trend
2019-05-24T12:00:00Z,1558699200000,BUY,0.08209274,7986.63,0.9835,655.64,vdo_trend_accel
2019-05-25T08:00:00Z,1558771200000,BUY,0.04673105,7966.58,0.5584,372.29,vdo_trend
2019-05-31T00:00:00Z,1559260800000,SELL,1.47146629,8258.83,18.2289,12152.60,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.59049234,7859.71,6.9617,4641.10,vdo_trend_accel
2019-06-07T00:00:00Z,1559865600000,BUY,0.32377403,7795.36,3.7859,2523.93,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.19821462,7989.31,2.3754,1583.60,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.21910682,7906.82,2.5987,1732.44,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.10190333,7922.37,1.2110,807.32,vdo_trend_accel
2019-06-11T04:00:00Z,1560225600000,BUY,0.11934188,7940.29,1.4214,947.61,vdo_trend_accel
2019-06-12T04:00:00Z,1560312000000,BUY,0.03657922,7967.24,0.4372,291.44,vdo_trend_accel
2019-06-12T20:00:00Z,1560369600000,BUY,0.03471210,8126.66,0.4231,282.09,vdo_trend_accel
2019-06-22T04:00:00Z,1561176000000,SELL,0.81205489,10565.40,12.8695,8579.68,mr_defensive_exit
2019-06-27T12:00:00Z,1561636800000,SELL,0.81206945,12243.33,14.9136,9942.43,trailing_stop
2019-07-06T04:00:00Z,1562385600000,BUY,0.05540551,11457.26,0.9522,634.80,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.39255278,11485.66,6.7631,4508.73,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.08922173,11431.94,1.5300,1019.98,vdo_trend_accel
2019-07-08T12:00:00Z,1562587200000,SELL,0.26855824,11870.81,4.7820,3188.00,mr_defensive_exit
2019-07-11T04:00:00Z,1562817600000,SELL,0.26862178,11689.47,4.7101,3140.05,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.15655787,9798.40,2.3010,1534.02,vdo_trend_accel
2019-07-18T20:00:00Z,1563480000000,BUY,0.10090126,10503.04,1.5897,1059.77,vdo_trend_accel
2019-07-19T08:00:00Z,1563523200000,BUY,0.08869421,10609.92,1.4116,941.04,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.03550262,10402.35,0.5540,369.31,vdo_trend
2019-07-20T08:00:00Z,1563609600000,BUY,0.30021569,10569.50,4.7597,3173.13,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.14237098,10909.56,2.3298,1553.20,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.22821193,10600.74,3.6288,2419.22,vdo_trend_accel
2019-07-23T16:00:00Z,1563897600000,SELL,1.05245457,9920.66,15.6616,10441.05,trailing_stop
2019-07-25T04:00:00Z,1564027200000,BUY,0.41824356,10100.21,6.3365,4224.35,vdo_trend_accel
2019-07-27T08:00:00Z,1564214400000,BUY,0.34005219,10067.38,5.1352,3423.43,vdo_trend_accel
2019-07-28T20:00:00Z,1564344000000,BUY,0.57520119,9565.25,8.2529,5501.94,vdo_trend_accel
2019-07-29T08:00:00Z,1564387200000,BUY,0.31687757,9634.42,4.5794,3052.93,vdo_trend_accel
2019-08-04T16:00:00Z,1564934400000,BUY,0.05869635,10955.17,0.9645,643.03,vdo_trend_accel
2019-08-05T04:00:00Z,1564977600000,BUY,0.02998744,11576.44,0.5207,347.15,vdo_trend_accel
2019-08-07T00:00:00Z,1565136000000,SELL,1.73905831,11470.21,29.9210,19947.37,trailing_stop
2019-08-16T16:00:00Z,1565971200000,BUY,0.71140078,10399.38,11.0972,7398.13,vdo_trend_accel
2019-08-17T04:00:00Z,1566014400000,BUY,0.71541122,10295.62,11.0484,7365.60,vdo_trend
2019-08-17T16:00:00Z,1566057600000,BUY,0.43898991,10322.60,6.7973,4531.52,vdo_trend_accel
2019-08-18T04:00:00Z,1566100800000,BUY,0.07505974,10123.09,1.1398,759.84,vdo_trend
2019-08-21T16:00:00Z,1566403200000,SELL,1.94086166,9976.79,29.0453,19363.56,emergency_dd
2019-08-23T16:00:00Z,1566576000000,BUY,0.68553630,10408.11,10.7027,7135.14,vdo_trend_accel
2019-08-25T00:00:00Z,1566691200000,BUY,0.35653462,10144.75,5.4254,3616.95,vdo_trend
2019-08-25T12:00:00Z,1566734400000,BUY,0.32894629,10125.12,4.9959,3330.62,vdo_trend_accel
2019-08-26T04:00:00Z,1566792000000,BUY,0.18284420,10287.10,2.8214,1880.94,vdo_trend_accel
2019-08-28T16:00:00Z,1567008000000,BUY,0.12538324,10249.97,1.9278,1285.17,vdo_trend_accel
2019-08-28T20:00:00Z,1567022400000,SELL,1.67924464,9675.55,24.3714,16247.61,emergency_dd
2019-08-31T00:00:00Z,1567209600000,BUY,0.70543331,9592.35,10.1501,6766.76,vdo_trend_accel
2019-09-01T04:00:00Z,1567310400000,BUY,0.69071052,9632.65,9.9801,6653.37,vdo_trend_accel
2019-09-01T16:00:00Z,1567353600000,BUY,0.17949735,9610.98,2.5877,1725.15,vdo_trend_accel
2019-09-02T04:00:00Z,1567396800000,BUY,0.42455776,9751.50,6.2101,4140.08,vdo_trend_accel
2019-09-09T04:00:00Z,1568001600000,SELL,2.00019893,10289.92,30.8728,20581.89,trailing_stop
2019-09-12T00:00:00Z,1568246400000,BUY,0.70804544,10168.91,10.8001,7200.05,vdo_trend_accel
2019-09-12T12:00:00Z,1568289600000,BUY,0.70698800,10179.62,10.7953,7196.87,vdo_trend_accel
