trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5166.65,5304.98,0.81521916,111.25,2.68,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-12T16:00:00Z,1556496000000,1557676800000,5387.71,6840.45,1.77359478,2853.89,26.96,13.67,vdo_trend_accel,trailing_stop
3,2019-05-13T16:00:00Z,2019-05-17T16:00:00Z,1557763200000,1558108800000,7412.46,7093.89,0.27866796,-89.47,-4.30,4.00,vdo_trend_accel,trailing_stop
4,2019-05-19T04:00:00Z,2019-05-31T00:00:00Z,1558238400000,1559260800000,7924.44,8264.62,1.48184732,499.81,4.29,11.83,vdo_trend_accel,trailing_stop
5,2019-06-06T04:00:00Z,2019-06-27T12:00:00Z,1559793600000,1561636800000,7881.60,12251.90,1.64126732,5788.36,55.45,21.33,vdo_trend_accel,trailing_stop
6,2019-07-06T04:00:00Z,2019-07-11T04:00:00Z,1562385600000,1562817600000,11465.76,11697.66,0.54415859,173.31,2.02,5.00,vdo_trend_accel,trailing_stop
7,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10491.73,9927.61,1.06768037,-606.01,-5.38,5.33,vdo_trend_accel,trailing_stop
8,2019-07-25T04:00:00Z,2019-08-07T00:00:00Z,1564027200000,1565136000000,9879.35,11478.25,1.76938119,2821.95,16.18,12.83,vdo_trend_accel,trailing_stop
9,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10325.77,9983.77,1.98127163,-684.51,-3.31,5.00,vdo_trend_accel,emergency_dd
10,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10264.51,9682.32,1.71982206,-1007.09,-5.67,5.17,vdo_trend_accel,emergency_dd
11,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9635.09,10297.13,2.05652593,1354.08,6.87,9.17,vdo_trend_accel,trailing_stop
12,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10237.81,9819.75,2.02937490,-855.36,-4.08,7.17,vdo_trend_accel,emergency_dd
13,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10148.50,9699.29,1.27434569,-576.78,-4.43,4.00,vdo_trend_accel,emergency_dd
14,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8256.98,9061.40,2.31579791,1855.53,9.74,36.17,vdo_dip_buy,trailing_stop
15,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9269.92,8476.91,2.02965572,-1615.56,-8.55,13.67,vdo_trend,emergency_dd
16,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8484.55,7629.14,0.82328117,-706.44,-10.08,4.50,vdo_trend_accel,emergency_dd
17,2020-01-17T08:00:00Z,2020-02-10T12:00:00Z,1579248000000,1581336000000,9165.57,9818.46,1.90900154,1239.81,7.12,24.17,vdo_trend_accel,trailing_stop
18,2020-02-18T16:00:00Z,2020-02-26T08:00:00Z,1582041600000,1582704000000,9822.65,9145.34,2.08388705,-1418.11,-6.90,7.67,vdo_trend_accel,emergency_dd
19,2020-02-29T00:00:00Z,2020-03-08T12:00:00Z,1582934400000,1583668800000,8696.64,8738.68,2.09608679,81.69,0.48,8.50,vdo_trend_accel,trailing_stop
20,2020-03-11T04:00:00Z,2020-03-12T08:00:00Z,1583899200000,1584000000000,7929.98,7389.90,1.30414308,-707.71,-6.81,1.17,vdo_trend_accel,emergency_dd
21,2020-05-01T08:00:00Z,2020-05-10T00:00:00Z,1588320000000,1589068800000,9141.21,9536.24,0.17101644,66.99,4.32,8.67,vdo_trend,trailing_stop
22,2020-05-17T16:00:00Z,2020-05-25T00:00:00Z,1589731200000,1590364800000,9705.08,8715.52,1.58283429,-1571.12,-10.20,7.33,vdo_trend_accel,emergency_dd
23,2020-05-26T08:00:00Z,2020-06-04T08:00:00Z,1590480000000,1591257600000,9115.70,9646.70,1.78878443,943.79,5.83,9.00,vdo_trend_accel,trailing_stop
24,2020-06-05T00:00:00Z,2020-06-27T20:00:00Z,1591315200000,1593288000000,9625.38,8934.77,1.80466381,-1251.96,-7.17,22.83,vdo_trend_accel,emergency_dd
25,2020-06-29T20:00:00Z,2020-08-02T12:00:00Z,1593460800000,1596369600000,9179.44,11102.21,1.71754917,3180.21,20.95,33.67,vdo_trend_accel,trailing_stop
26,2020-08-10T04:00:00Z,2020-08-22T00:00:00Z,1597032000000,1598054400000,11889.27,11527.77,1.52803345,-558.55,-3.04,11.83,vdo_trend_accel,emergency_dd
27,2020-08-23T00:00:00Z,2020-09-03T16:00:00Z,1598140800000,1599148800000,11693.15,10667.08,1.56764325,-1614.36,-8.77,11.67,vdo_trend_accel,emergency_dd
28,2020-09-06T08:00:00Z,2020-09-21T16:00:00Z,1599379200000,1600704000000,10243.66,10415.64,1.63019489,274.42,1.68,15.33,vdo_trend_accel,trailing_stop
29,2020-09-26T08:00:00Z,2020-10-28T20:00:00Z,1601107200000,1603915200000,10726.72,13161.37,1.62350503,3945.20,22.70,32.50,vdo_trend,trailing_stop
30,2020-10-31T08:00:00Z,2020-11-07T20:00:00Z,1604131200000,1604779200000,13803.24,14639.13,1.43102021,1188.84,6.06,7.50,vdo_trend,trailing_stop
31,2020-11-11T12:00:00Z,2020-11-22T12:00:00Z,1605096000000,1606046400000,15783.58,17886.39,1.38064853,2894.60,13.32,11.00,vdo_trend_accel,trailing_stop
32,2020-11-24T12:00:00Z,2020-12-05T00:00:00Z,1606219200000,1607126400000,17869.70,18644.92,1.06372172,817.68,4.34,10.50,vdo_trend_accel,trailing_stop
33,2020-12-07T00:00:00Z,2020-12-11T08:00:00Z,1607299200000,1607673600000,19364.48,17806.62,0.48203792,-753.95,-8.04,4.33,vdo_trend_accel,emergency_dd
34,2020-12-12T04:00:00Z,2021-01-04T12:00:00Z,1607745600000,1609761600000,18460.41,30733.77,1.33340361,10844.79,66.48,23.33,vdo_trend_accel,trailing_stop
35,2021-01-23T16:00:00Z,2021-01-26T04:00:00Z,1611417600000,1611633600000,31886.66,31510.79,0.05459125,59.02,-1.18,2.50,vdo_trend_accel,trailing_stop
36,2021-01-27T00:00:00Z,2021-01-31T04:00:00Z,1611705600000,1612065600000,32473.75,33920.04,0.03562117,51.10,4.45,4.17,vdo_trend,trailing_stop
37,2021-03-27T20:00:00Z,2021-04-04T00:00:00Z,1616875200000,1617494400000,55781.74,57034.84,0.06728567,109.94,2.25,7.17,vdo_trend_accel,trailing_stop
38,2021-04-06T04:00:00Z,2021-04-16T08:00:00Z,1617681600000,1618560000000,59349.40,61396.46,0.21564984,601.39,3.45,10.17,vdo_trend,trailing_stop
39,2021-04-25T04:00:00Z,2021-05-05T00:00:00Z,1619323200000,1620172800000,51083.17,53189.09,0.62916104,1313.25,4.12,9.83,vdo_trend,trailing_stop
40,2021-05-06T12:00:00Z,2021-05-13T20:00:00Z,1620302400000,1620936000000,58005.40,48555.40,0.20326596,-1924.32,-16.29,7.33,vdo_trend_accel,fixed_stop
41,2021-05-20T08:00:00Z,2021-05-23T16:00:00Z,1621497600000,1621785600000,39633.41,33306.43,0.18770882,-1189.82,-15.96,3.33,vdo_trend_accel,fixed_stop
42,2021-07-31T00:00:00Z,2021-08-19T04:00:00Z,1627689600000,1629345600000,42669.01,44033.76,0.26973769,363.97,3.20,19.17,vdo_trend_accel,trailing_stop
43,2021-08-19T20:00:00Z,2021-08-26T12:00:00Z,1629403200000,1629979200000,47425.90,46821.85,0.58698241,-364.19,-1.27,6.67,vdo_trend_accel,trailing_stop
44,2021-08-27T16:00:00Z,2021-09-08T04:00:00Z,1630080000000,1631073600000,48689.27,46436.47,0.70364969,-1596.62,-4.63,11.50,vdo_trend_accel,trailing_stop
45,2021-09-11T08:00:00Z,2021-09-20T08:00:00Z,1631347200000,1632124800000,45057.48,44816.56,0.23218287,-59.58,-0.53,9.00,vdo_trend,trailing_stop
46,2021-09-22T16:00:00Z,2021-10-21T16:00:00Z,1632326400000,1634832000000,43651.03,62952.31,0.75088352,14476.47,44.22,29.00,vdo_trend_accel,trailing_stop
47,2021-10-25T04:00:00Z,2021-11-12T12:00:00Z,1635134400000,1636718400000,62596.14,63734.07,0.73894575,824.38,1.82,18.33,vdo_trend_accel,trailing_stop
48,2021-11-15T08:00:00Z,2021-12-04T04:00:00Z,1636963200000,1638590400000,59596.88,51984.41,0.77752251,-5933.02,-12.77,18.83,vdo_trend,emergency_dd
49,2021-12-12T00:00:00Z,2021-12-13T16:00:00Z,1639267200000,1639411200000,49442.06,47237.85,0.67997604,-1510.06,-4.46,1.67,vdo_trend_accel,emergency_dd
50,2021-12-15T00:00:00Z,2021-12-28T20:00:00Z,1639526400000,1640721600000,48775.87,47675.15,0.54292226,-606.66,-2.26,13.83,vdo_trend_accel,trailing_stop
51,2021-12-31T16:00:00Z,2022-01-21T00:00:00Z,1640966400000,1642723200000,48019.77,40668.72,0.25535708,-1880.78,-15.31,20.33,vdo_trend_accel,fixed_stop
52,2023-03-30T08:00:00Z,2023-04-17T08:00:00Z,1680163200000,1681718400000,28395.76,29829.35,1.32744364,1889.15,5.05,18.00,vdo_trend_accel,trailing_stop
53,2023-04-18T12:00:00Z,2023-04-20T00:00:00Z,1681819200000,1681948800000,30389.50,28788.46,0.73354786,-1181.83,-5.27,1.50,vdo_trend_accel,emergency_dd
54,2023-04-22T20:00:00Z,2023-05-01T16:00:00Z,1682193600000,1682956800000,27714.31,28162.19,1.17473417,514.56,1.62,8.83,vdo_trend_accel,trailing_stop
55,2023-05-04T08:00:00Z,2023-06-25T20:00:00Z,1683187200000,1687723200000,27665.08,30420.65,1.41576617,3886.17,9.96,52.50,vdo_trend,trailing_stop
56,2023-06-30T04:00:00Z,2023-07-18T20:00:00Z,1688097600000,1689710400000,30658.70,29707.07,1.39168942,-1338.85,-3.10,18.67,vdo_trend_accel,emergency_dd
57,2023-07-20T12:00:00Z,2023-08-18T00:00:00Z,1689854400000,1692316800000,29825.75,26615.42,1.38577905,-4461.71,-10.76,28.50,vdo_trend,emergency_dd
58,2023-08-19T20:00:00Z,2023-08-31T20:00:00Z,1692475200000,1693512000000,26123.65,26154.94,1.45838815,32.29,0.12,12.00,vdo_dip_buy,trailing_stop
59,2023-10-02T04:00:00Z,2023-10-27T20:00:00Z,1696219200000,1698436800000,27710.41,33688.43,1.25155887,7694.13,21.57,25.67,vdo_trend_accel,trailing_stop
60,2023-11-01T00:00:00Z,2023-11-14T00:00:00Z,1698796800000,1699920000000,35127.68,36451.99,1.26488816,1658.97,3.77,13.00,vdo_trend,trailing_stop
61,2023-11-15T16:00:00Z,2023-12-11T20:00:00Z,1700064000000,1702324800000,37215.48,40767.76,1.26493039,4475.34,9.55,26.17,vdo_trend_accel,trailing_stop
62,2023-12-13T16:00:00Z,2024-01-13T04:00:00Z,1702483200000,1705118400000,42289.97,42597.16,1.18577170,346.58,0.73,30.50,vdo_trend_accel,trailing_stop
63,2024-01-16T16:00:00Z,2024-01-22T20:00:00Z,1705420800000,1705953600000,43265.43,39808.36,0.42657939,-1480.65,-7.99,6.17,vdo_trend_accel,emergency_dd
64,2024-01-23T16:00:00Z,2024-02-17T16:00:00Z,1706025600000,1708185600000,39680.23,50969.27,1.22317708,13786.67,28.45,25.00,vdo_dip_buy,trailing_stop
65,2024-02-25T04:00:00Z,2024-03-05T20:00:00Z,1708833600000,1709668800000,54084.30,61392.56,0.85985800,6325.15,13.51,9.67,vdo_trend_accel,trailing_stop
66,2024-03-19T00:00:00Z,2024-04-02T08:00:00Z,1710806400000,1712044800000,67446.01,66435.56,0.90622266,-936.76,-1.50,14.33,vdo_trend,trailing_stop
67,2024-04-04T16:00:00Z,2024-04-12T20:00:00Z,1712246400000,1712952000000,69520.68,66823.93,0.94827528,-2579.44,-3.88,8.17,vdo_trend_accel,trailing_stop
68,2024-04-17T00:00:00Z,2024-04-26T16:00:00Z,1713312000000,1714147200000,63151.20,63484.17,1.01758137,316.21,0.53,9.67,vdo_trend_accel,trailing_stop
69,2024-04-30T04:00:00Z,2024-05-23T20:00:00Z,1714449600000,1716494400000,62433.34,67179.82,1.05441017,4979.94,7.60,23.67,vdo_trend_accel,trailing_stop
70,2024-05-27T16:00:00Z,2024-06-11T12:00:00Z,1716825600000,1718107200000,69567.29,66869.93,0.89477083,-2434.45,-3.88,14.83,vdo_trend_accel,emergency_dd
71,2024-06-12T16:00:00Z,2024-06-17T16:00:00Z,1718208000000,1718640000000,68540.30,65348.39,0.68547135,-2203.64,-4.66,5.00,vdo_trend_accel,emergency_dd
72,2024-06-20T08:00:00Z,2024-06-24T12:00:00Z,1718870400000,1719230400000,64917.76,61273.56,0.96494867,-3537.16,-5.61,4.17,vdo_trend_accel,emergency_dd
73,2024-06-26T04:00:00Z,2024-07-05T04:00:00Z,1719374400000,1720152000000,61382.19,55211.43,1.00354407,-6212.02,-10.05,9.00,vdo_trend_accel,emergency_dd
74,2024-07-06T16:00:00Z,2024-07-08T04:00:00Z,1720281600000,1720411200000,57442.46,55143.45,0.78983969,-1831.09,-4.00,1.50,vdo_trend_accel,emergency_dd
75,2024-07-16T16:00:00Z,2024-08-03T16:00:00Z,1721145600000,1722700800000,66395.49,60860.75,0.79409849,-4412.05,-8.34,18.00,vdo_trend,emergency_dd
76,2024-08-06T04:00:00Z,2024-08-19T00:00:00Z,1722916800000,1724025600000,56998.37,58409.82,0.87560453,1217.98,2.48,12.83,vdo_trend_accel,trailing_stop
77,2024-08-20T04:00:00Z,2024-08-27T16:00:00Z,1724126400000,1724774400000,60423.29,61690.62,0.67670494,842.99,2.10,7.50,vdo_trend_accel,trailing_stop
78,2024-08-31T00:00:00Z,2024-09-30T16:00:00Z,1725062400000,1727712000000,60968.71,63542.35,0.85231946,2174.61,4.22,30.67,vdo_trend,trailing_stop
79,2024-10-01T16:00:00Z,2024-10-10T20:00:00Z,1727798400000,1728590400000,62324.88,59709.35,0.77367941,-2039.75,-4.20,9.17,vdo_dip_buy,emergency_dd
