peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13852.63,2019-05-12T15:59:59Z,12703.25,2019-05-13T15:59:59Z,8.3,2,8,0.3,1.3
2019-05-14T07:59:59Z,15361.83,2019-05-23T07:59:59Z,13490.94,2019-05-27T03:59:59Z,12.18,54,77,9.0,12.8
2019-05-30T15:59:59Z,15892.79,2019-06-09T23:59:59Z,14030.32,2019-06-15T19:59:59Z,11.72,62,97,10.3,16.2
2019-06-26T19:59:59Z,24533.22,2020-05-26T15:59:59Z,16643.15,2020-11-05T23:59:59Z,32.16,2009,2989,334.8,498.2
2020-11-06T07:59:59Z,25072.62,2020-11-12T03:59:59Z,23352.17,2020-11-17T11:59:59Z,6.86,35,67,5.8,11.2
2020-11-24T15:59:59Z,28470.72,2020-11-26T19:59:59Z,24951.94,2020-12-17T03:59:59Z,12.36,13,135,2.2,22.5
2021-01-03T07:59:59Z,44069.51,2021-01-04T11:59:59Z,39441.53,2021-01-06T07:59:59Z,10.5,7,18,1.2,3.0
2021-01-08T11:59:59Z,52596.53,2021-01-27T15:59:59Z,42227.74,2021-02-19T19:59:59Z,19.71,115,254,19.2,42.3
2021-02-21T19:59:59Z,55416.67,2021-09-28T23:59:59Z,41575.67,2021-10-11T07:59:59Z,24.98,1315,1389,219.2,231.5
2021-10-20T15:59:59Z,64982.48,2023-06-15T15:59:59Z,44806.87,2024-02-14T11:59:59Z,31.05,3618,5081,603.0,846.8
2024-03-04T23:59:59Z,79852.53,2024-03-05T19:59:59Z,72408.01,2024-03-08T19:59:59Z,9.32,5,23,0.8,3.8
2024-03-13T19:59:59Z,85411.39,2024-05-01T15:59:59Z,70765.94,2024-05-20T23:59:59Z,17.15,293,409,48.8,68.2
2024-05-20T23:59:59Z,85662.55,2024-10-10T19:59:59Z,62850.46,2024-11-22T03:59:59Z,26.63,857,1111,142.8,185.2
2024-12-05T03:59:59Z,90397.58,2024-12-09T23:59:59Z,85305.27,2024-12-16T15:59:59Z,5.63,29,69,4.8,11.5
2024-12-17T03:59:59Z,91679.81,2025-05-05T15:59:59Z,60118.47,,34.43,837,,139.5,
