peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-06-26T19:59:59Z,19054.32,2019-07-30T03:59:59Z,16677.78,2019-08-05T03:59:59Z,12.47,200,236,33.3,39.3
2019-08-06T07:59:59Z,20926.75,2019-10-24T03:59:59Z,16198.05,2019-10-27T19:59:59Z,22.6,473,495,78.8,82.5
2019-10-27T19:59:59Z,21061.41,2020-07-05T15:59:59Z,14755.42,2020-11-05T23:59:59Z,29.94,1511,2251,251.8,375.2
2021-01-03T07:59:59Z,32333.03,2021-04-25T23:59:59Z,30149.85,2021-04-27T07:59:59Z,6.75,676,684,112.7,114.0
2021-05-03T07:59:59Z,34393.37,2021-09-28T23:59:59Z,26034.31,2021-10-06T15:59:59Z,24.3,892,938,148.7,156.3
2021-10-20T15:59:59Z,41753.6,2021-10-27T23:59:59Z,37865.97,2021-11-08T23:59:59Z,9.31,44,116,7.3,19.3
2021-11-09T03:59:59Z,42800.43,2023-06-15T15:59:59Z,29402.93,2023-12-05T15:59:59Z,31.3,3501,4539,583.5,756.5
2023-12-05T23:59:59Z,44707.55,2023-12-18T03:59:59Z,41966.29,2024-01-02T03:59:59Z,6.13,73,163,12.2,27.2
2024-01-02T07:59:59Z,45843.34,2024-01-03T19:59:59Z,43073.97,2024-01-08T19:59:59Z,6.04,9,39,1.5,6.5
2024-01-11T11:59:59Z,47397.58,2024-01-23T19:59:59Z,41739.64,2024-02-08T15:59:59Z,11.94,74,169,12.3,28.2
2024-03-04T23:59:59Z,59270.5,2024-03-23T03:59:59Z,56168.01,2024-04-08T11:59:59Z,5.23,109,207,18.2,34.5
2024-04-08T11:59:59Z,59706.4,2024-08-07T19:59:59Z,36764.14,2025-01-17T19:59:59Z,38.43,728,1706,121.3,284.3
2025-01-20T11:59:59Z,61610.26,2025-03-31T03:59:59Z,42597.89,2025-10-05T07:59:59Z,30.86,418,1547,69.7,257.8
2025-10-06T19:59:59Z,62239.24,2025-11-13T23:59:59Z,55947.18,,10.11,229,,38.2,
