time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07904840,5365.78,0.4242,424.16,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30986348,5049.76,1.5647,1564.74,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16349443,5134.10,0.8394,839.40,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07511575,5220.43,0.3921,392.14,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04757888,5265.62,0.2505,250.53,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04978616,5273.54,0.2625,262.55,vdo_trend_accel
2019-04-20T08:00:00Z,1555747200000,BUY,0.04804745,5308.01,0.2550,255.04,vdo_trend_accel
2019-04-22T20:00:00Z,1555963200000,BUY,0.04368262,5357.64,0.2340,234.04,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.81661717,5303.65,4.3311,4331.05,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15069622,5312.73,0.8006,800.61,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22472969,5220.47,1.1732,1173.19,vdo_dip_buy
2019-04-30T16:00:00Z,1556640000000,BUY,0.28456146,5315.92,1.5127,1512.71,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.18125962,5351.86,0.9701,970.08,vdo_trend_accel
2019-05-01T16:00:00Z,1556726400000,BUY,0.04753629,5358.29,0.2547,254.71,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66084291,5390.47,3.5623,3562.26,vdo_trend_accel
2019-05-02T16:00:00Z,1556812800000,BUY,0.10459788,5527.03,0.5781,578.12,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03118320,5844.71,0.1823,182.26,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08529340,5959.19,0.5083,508.28,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.77070066,7339.90,12.9968,12996.77,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.56315203,7139.66,4.0207,4020.71,vdo_dip_buy
2019-05-19T04:00:00Z,1558238400000,BUY,0.11173053,7908.35,0.8836,883.60,vdo_trend_accel
2019-05-19T16:00:00Z,1558281600000,BUY,0.52764868,7965.57,4.2030,4203.02,vdo_trend_accel
2019-05-20T12:00:00Z,1558353600000,BUY,0.14873055,7836.81,1.1656,1165.57,vdo_trend
2019-05-21T00:00:00Z,1558396800000,BUY,0.07151560,7941.53,0.5679,567.94,vdo_trend
2019-05-25T08:00:00Z,1558771200000,BUY,0.10686995,7963.00,0.8510,851.01,vdo_trend
2019-05-26T20:00:00Z,1558900800000,BUY,0.05337632,8484.66,0.4529,452.88,vdo_trend_accel
2019-05-27T16:00:00Z,1558972800000,BUY,0.02291441,8803.80,0.2017,201.73,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.60593807,8111.20,13.0261,13026.08,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.63235493,7856.18,4.9679,4967.89,vdo_trend_accel
2019-06-07T00:00:00Z,1559865600000,BUY,0.34690561,7791.85,2.7030,2703.04,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.21245968,7985.72,1.6966,1696.64,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.23493210,7903.26,1.8567,1856.73,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.10932884,7918.80,0.8658,865.75,vdo_trend_accel
2019-06-11T04:00:00Z,1560225600000,BUY,0.12808868,7936.72,1.0166,1016.60,vdo_trend_accel
2019-06-12T04:00:00Z,1560312000000,BUY,0.03929579,7963.66,0.3129,312.94,vdo_trend_accel
2019-06-12T20:00:00Z,1560369600000,BUY,0.03730474,8123.01,0.3030,303.03,vdo_trend_accel
2019-06-27T16:00:00Z,1561651200000,SELL,1.74067036,11823.49,20.5808,20580.81,trailing_stop
2019-07-03T04:00:00Z,1562126400000,BUY,0.18488845,11295.67,2.0884,2088.44,vdo_trend_accel
2019-07-06T04:00:00Z,1562385600000,BUY,0.12364592,11452.11,1.4160,1416.01,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.64185839,11480.49,7.3688,7368.85,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.43648179,11426.80,4.9876,4987.59,vdo_trend_accel
2019-07-12T04:00:00Z,1562904000000,SELL,1.38687454,11183.36,15.5099,15509.91,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.16944881,9793.99,1.6596,1659.58,vdo_trend_accel
2019-07-18T20:00:00Z,1563480000000,BUY,0.10922153,10498.31,1.1466,1146.64,vdo_trend_accel
2019-07-19T08:00:00Z,1563523200000,BUY,0.09601916,10605.15,1.0183,1018.30,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.03844073,10397.68,0.3997,399.69,vdo_trend
2019-07-20T08:00:00Z,1563609600000,BUY,0.32500917,10564.75,3.4336,3433.64,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.15418361,10904.66,1.6813,1681.32,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.24719503,10595.98,2.6193,2619.27,vdo_trend_accel
