peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-05-12T15:59:59Z,12659.46,2019-05-13T15:59:59Z,8.22,2,8,0.3,1.3
2019-05-14T07:59:59Z,15283.34,2019-05-23T07:59:59Z,13459.69,2019-05-27T03:59:59Z,11.93,54,77,9.0,12.8
2019-05-30T15:59:59Z,15766.56,2019-06-09T23:59:59Z,13981.25,2019-06-15T15:59:59Z,11.32,62,96,10.3,16.0
2019-06-26T19:59:59Z,25015.56,2020-07-05T15:59:59Z,17249.36,2020-11-05T23:59:59Z,31.05,2249,2989,374.8,498.2
2020-11-06T07:59:59Z,25677.69,2020-11-07T19:59:59Z,24045.4,2020-11-09T11:59:59Z,6.36,9,19,1.5,3.2
2020-11-24T15:59:59Z,31427.54,2020-12-09T03:59:59Z,28105.81,2020-12-16T23:59:59Z,10.57,87,134,14.5,22.3
2020-12-21T07:59:59Z,36053.38,2020-12-21T11:59:59Z,34124.34,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,51195.27,2021-01-04T11:59:59Z,45832.05,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,61076.99,2021-01-27T15:59:59Z,48457.2,2021-02-14T07:59:59Z,20.66,115,221,19.2,36.8
2021-02-21T19:59:59Z,71003.19,2021-03-06T15:59:59Z,62694.68,2021-03-11T23:59:59Z,11.7,77,109,12.8,18.2
2021-03-14T03:59:59Z,75551.66,2021-03-25T15:59:59Z,64784.19,2021-04-30T15:59:59Z,14.25,69,285,11.5,47.5
2021-05-03T07:59:59Z,78524.23,2021-09-28T23:59:59Z,57504.01,2021-10-15T03:59:59Z,26.77,892,989,148.7,164.8
2021-10-20T15:59:59Z,89597.96,2021-10-27T23:59:59Z,80284.06,2021-11-09T03:59:59Z,10.4,44,117,7.3,19.5
2021-11-09T03:59:59Z,90813.21,2023-06-15T15:59:59Z,63054.67,2023-12-04T03:59:59Z,30.57,3501,4530,583.5,755.0
2023-12-09T07:59:59Z,99210.27,2023-12-18T03:59:59Z,89706.73,2024-01-08T19:59:59Z,9.58,53,183,8.8,30.5
2024-01-11T11:59:59Z,101316.61,2024-01-23T19:59:59Z,89222.24,2024-02-08T15:59:59Z,11.94,74,169,12.3,28.2
2024-03-04T23:59:59Z,135532.87,2024-08-07T19:59:59Z,92114.96,2024-11-20T15:59:59Z,32.03,935,1564,155.8,260.7
2024-12-05T03:59:59Z,148717.86,2024-12-09T23:59:59Z,140331.9,2024-12-16T15:59:59Z,5.64,29,69,4.8,11.5
2024-12-17T03:59:59Z,150428.59,2024-12-30T15:59:59Z,135964.94,2025-01-17T15:59:59Z,9.61,81,189,13.5,31.5
2025-01-20T11:59:59Z,158554.43,2025-03-31T03:59:59Z,101198.2,,36.17,418,,69.7,
