peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-06-09T23:59:59Z,11804.02,2019-06-16T07:59:59Z,14.43,172,210,28.7,35.0
2019-06-26T19:59:59Z,18951.88,2019-07-30T03:59:59Z,17102.5,2019-08-02T15:59:59Z,9.76,200,221,33.3,36.8
2019-08-06T07:59:59Z,21546.3,2020-07-05T15:59:59Z,14668.18,2020-11-05T23:59:59Z,31.92,2006,2746,334.3,457.7
2020-11-06T07:59:59Z,21897.79,2020-11-12T03:59:59Z,20459.55,2020-11-17T11:59:59Z,6.57,35,67,5.8,11.2
2020-11-21T15:59:59Z,24151.54,2020-11-27T15:59:59Z,22141.29,2020-11-30T15:59:59Z,8.32,36,54,6.0,9.0
2020-11-30T23:59:59Z,24770.05,2020-12-09T03:59:59Z,23108.95,2020-12-16T15:59:59Z,6.71,49,94,8.2,15.7
2020-12-21T07:59:59Z,29643.55,2020-12-21T11:59:59Z,28057.47,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,36825.65,2021-01-27T15:59:59Z,34194.67,2021-04-26T11:59:59Z,7.14,146,679,24.3,113.2
2021-05-03T07:59:59Z,40073.18,2021-09-28T23:59:59Z,30198.75,2021-10-06T19:59:59Z,24.64,892,939,148.7,156.5
2021-10-20T15:59:59Z,48432.5,2021-10-27T23:59:59Z,43357.77,2021-11-09T03:59:59Z,10.48,44,117,7.3,19.5
2021-11-09T03:59:59Z,49044.09,2023-06-15T15:59:59Z,33689.92,2023-12-05T15:59:59Z,31.31,3501,4539,583.5,756.5
2023-12-09T07:59:59Z,51364.45,2023-12-18T03:59:59Z,46444.14,2024-01-08T19:59:59Z,9.58,53,183,8.8,30.5
2024-01-11T11:59:59Z,52454.96,2024-01-23T19:59:59Z,46193.31,2024-02-08T15:59:59Z,11.94,74,169,12.3,28.2
2024-03-04T23:59:59Z,70450.85,2024-08-07T19:59:59Z,45169.79,2025-01-20T11:59:59Z,35.88,935,1929,155.8,321.5
2025-01-20T11:59:59Z,70743.61,2025-03-31T03:59:59Z,48912.77,,30.86,418,,69.7,
