bps,strategy_id,final_nav,CAGR,MDD,trades,turnover,total_fees,score_primary
0.0,candidate,15312.69,15.28,41.62,34,22.29,0.0,22.755
0.0,baseline,24734.41,35.27,25.86,50,30.4,0.0,92.0142
10.0,candidate,14822.71,14.03,42.05,34,22.32,302.69,19.043
10.0,baseline,23644.64,33.25,26.57,50,30.43,491.46,85.8932
25.0,candidate,14121.84,12.2,42.7,34,22.36,737.7,13.5894
25.0,baseline,22282.88,30.64,27.63,50,30.49,1188.1,77.9335
50.0,candidate,13021.39,9.21,43.76,34,22.41,1414.16,4.6594
50.0,baseline,19969.25,25.95,29.36,50,30.55,2235.68,63.6449
75.0,candidate,12006.91,6.29,44.8,34,22.46,2034.35,-4.0775
75.0,baseline,18263.49,22.26,30.83,50,30.55,3165.2,52.4712
100.0,candidate,11068.64,3.45,45.83,34,22.5,2601.93,-12.6057
100.0,baseline,13956.51,11.76,38.62,50,30.63,3553.06,17.5518
