bps,strategy_id,final_nav,CAGR,MDD,trades,turnover,total_fees,score_primary
0.0,candidate,16590.37,40.15,40.14,23,30.57,0.0,91.4746
0.0,baseline,21780.54,68.03,25.1,29,36.7,0.0,181.9886
10.0,candidate,16224.86,38.08,40.59,23,30.52,180.59,85.552
10.0,baseline,21212.44,65.1,25.75,29,36.65,250.65,173.8376
25.0,candidate,15694.6,35.05,41.25,23,30.46,443.71,76.8744
25.0,baseline,20534.4,61.56,26.75,29,36.59,616.96,163.7758
50.0,candidate,14843.94,30.13,42.35,23,30.34,861.94,62.7337
50.0,baseline,19220.73,54.59,28.64,29,36.47,1190.47,143.083
75.0,candidate,14039.09,25.38,43.42,23,30.22,1256.1,49.0515
75.0,baseline,18045.98,48.23,30.26,29,36.36,1726.13,124.3221
100.0,candidate,13277.58,20.81,44.48,23,30.1,1627.51,35.8388
100.0,baseline,15267.25,32.59,33.96,28,35.31,2002.38,77.1891
