episode_id,peak_ts,trough_ts,end_ts,peak_date,trough_date,end_date,peak_nav,trough_nav,end_nav,depth_pct,duration_days,recovery_days,recovered,n_buy_fills,n_sell_fills,n_trades_exit_window,n_emergency_dd,n_trailing_stop,n_other_exit_reasons,max_run_emergency_dd,is_cascade,max_exposure_during,trade_ids_exit_window,exit_reason_counts_json
1,1557820799999,1558598399999,1560628799999,2019-05-14,2019-05-23,2019-06-15,14694.43,12531.36,14770.92,14.72,9.0,23.5,True,13,2,2,0,2,0,0,False,0.966381,2;3,"{""trailing_stop"": 2}"
2,1561579199999,1593964799999,1606233599999,2019-06-26,2020-07-05,2020-11-24,23116.41,12912.4,23231.33,44.14,374.83,142.0,True,127,26,26,12,14,0,2,True,1.0,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29,"{""emergency_dd"": 12, ""trailing_stop"": 14}"
3,1606305599999,1606391999999,1608134399999,2020-11-25,2020-11-26,2020-12-16,23141.14,21133.28,23721.62,8.68,1.0,20.17,True,9,2,2,0,2,0,0,False,0.975712,30;31,"{""trailing_stop"": 2}"
4,1609660799999,1609761599999,1609919999999,2021-01-03,2021-01-04,2021-01-06,38859.75,34788.13,39105.69,10.48,1.17,1.83,True,0,0,0,0,0,0,0,False,0.973355,,{}
5,1610107199999,1611763199999,1613059199999,2021-01-08,2021-01-27,2021-02-11,46361.68,36620.19,46381.89,21.01,19.17,15.0,True,12,2,2,0,2,0,0,False,0.977525,32;33,"{""trailing_stop"": 2}"
6,1613937599999,1615046399999,1615507199999,2021-02-21,2021-03-06,2021-03-11,54294.72,47859.58,54855.36,11.85,12.83,5.33,True,6,1,1,0,1,0,0,False,0.853061,34,"{""trailing_stop"": 1}"
7,1615694399999,1632873599999,1634327999999,2021-03-14,2021-09-28,2021-10-15,57717.21,42802.67,58485.98,25.84,198.83,16.83,True,47,11,11,4,6,1,1,False,0.970558,35;36;37;38;39;40;41;42;43;44;45,"{""emergency_dd"": 4, ""fixed_stop"": 1, ""trailing_stop"": 6}"
8,1634745599999,1635379199999,1636430399999,2021-10-20,2021-10-27,2021-11-09,63501.75,56777.75,64199.99,10.59,7.33,12.17,True,7,1,1,0,1,0,0,False,0.972883,46,"{""trailing_stop"": 1}"
9,1636559999999,1686844799999,1701791999999,2021-11-10,2023-06-15,2023-12-05,64073.07,43585.5,64121.6,31.98,582.0,173.0,True,69,15,15,9,6,0,4,True,1.0,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,"{""emergency_dd"": 9, ""trailing_stop"": 6}"
10,1702108799999,1702871999999,1704743999999,2023-12-09,2023-12-18,2024-01-08,66908.75,60514.48,68412.59,9.56,8.83,21.67,True,7,1,1,0,1,0,0,False,0.996988,62,"{""trailing_stop"": 1}"
11,1704974399999,1706011199999,1707407999999,2024-01-11,2024-01-23,2024-02-08,68529.68,59652.24,68789.7,12.95,12.0,16.17,True,3,1,1,0,1,0,0,False,1.0,63,"{""trailing_stop"": 1}"
12,1709596799999,1720411199999,1731211199999,2024-03-04,2024-07-08,2024-11-10,94349.74,70116.48,94453.45,25.68,125.17,125.0,True,80,15,15,5,10,0,3,True,0.98284,65;66;67;68;69;70;71;72;73;74;75;76;77;78;79,"{""emergency_dd"": 5, ""trailing_stop"": 10}"
13,1733371199999,1735574399999,1737129599999,2024-12-05,2024-12-30,2025-01-17,122681.66,109775.31,122988.8,10.52,25.5,18.0,True,21,3,3,0,3,0,0,False,0.977058,81;82;83,"{""trailing_stop"": 3}"
14,1737374399999,1743710399999,1771631999999,2025-01-20,2025-04-03,2026-02-20,127828.79,96243.11,107533.63,24.71,73.33,,False,86,19,19,9,10,0,3,True,1.0,84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102,"{""emergency_dd"": 9, ""trailing_stop"": 10}"
