label,regime,n_trades,total_pnl,win_rate,avg_pnl
baseline,AnalyticalRegime.BULL,60,76186.064841,0.516667,1269.767747
baseline,AnalyticalRegime.CHOP,11,-4476.041888,0.454545,-406.912899
baseline,AnalyticalRegime.NEUTRAL,16,9000.845693,0.625,562.552856
baseline,AnalyticalRegime.SHOCK,7,7751.399838,0.142857,1107.342834
baseline,AnalyticalRegime.TOPPING,4,5061.361975,0.5,1265.340494
candidate,AnalyticalRegime.BULL,58,27335.813302,0.482759,471.307126
candidate,AnalyticalRegime.CHOP,11,-1691.711504,0.545455,-153.791955
candidate,AnalyticalRegime.NEUTRAL,14,3186.876319,0.714286,227.634023
candidate,AnalyticalRegime.SHOCK,6,-3816.245926,0.0,-636.040988
candidate,AnalyticalRegime.TOPPING,2,1042.939586,0.5,521.469793
