trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2017-09-30T12:00:00Z,2017-10-18T08:00:00Z,1506772800000,1508313600000,4305.76,5264.48,0.44169450,421.14,22.27,17.83,vtrend_sm_entry,vtrend_sm_floor_exit
2,2017-10-20T20:00:00Z,2017-10-25T00:00:00Z,1508529600000,1508889600000,6064.24,5503.89,0.34028127,-192.55,-9.24,4.17,vtrend_sm_entry,vtrend_sm_floor_exit
3,2017-10-31T16:00:00Z,2017-11-12T04:00:00Z,1509465600000,1510459200000,6374.78,5952.72,0.29060535,-124.38,-6.62,11.50,vtrend_sm_entry,vtrend_sm_floor_exit
4,2017-11-17T00:00:00Z,2017-12-21T16:00:00Z,1510876800000,1513872000000,7881.31,14392.08,0.21958684,1197.26,82.61,34.67,vtrend_sm_entry,vtrend_sm_floor_exit
5,2018-01-05T20:00:00Z,2018-01-16T12:00:00Z,1515182400000,1516104000000,16603.27,12133.32,0.05712393,-256.03,-26.92,10.67,vtrend_sm_entry,vtrend_sm_floor_exit
6,2018-02-17T04:00:00Z,2018-02-22T16:00:00Z,1518840000000,1519315200000,10464.79,9966.64,0.10035349,-50.99,-4.76,5.50,vtrend_sm_entry,vtrend_sm_floor_exit
7,2018-03-03T04:00:00Z,2018-03-07T08:00:00Z,1520049600000,1520409600000,11326.23,10504.21,0.15415922,-128.34,-7.26,4.17,vtrend_sm_entry,vtrend_sm_floor_exit
8,2018-04-15T12:00:00Z,2018-05-09T04:00:00Z,1523793600000,1525838400000,8604.86,9020.85,0.28498390,115.98,4.83,23.67,vtrend_sm_entry,vtrend_sm_floor_exit
9,2018-07-17T20:00:00Z,2018-07-31T16:00:00Z,1531857600000,1533052800000,7293.65,7754.17,0.36898239,167.06,6.31,13.83,vtrend_sm_entry,vtrend_sm_floor_exit
10,2018-08-28T00:00:00Z,2018-09-06T00:00:00Z,1535414400000,1536192000000,6979.00,6693.59,0.48668102,-142.16,-4.09,9.00,vtrend_sm_entry,vtrend_sm_floor_exit
11,2018-12-24T04:00:00Z,2018-12-27T20:00:00Z,1545624000000,1545940800000,4143.29,3575.23,0.48629179,-277.98,-13.71,3.67,vtrend_sm_entry,vtrend_sm_floor_exit
12,2019-01-06T20:00:00Z,2019-01-10T20:00:00Z,1546804800000,1547150400000,4003.61,3594.75,0.51963107,-214.32,-10.21,4.00,vtrend_sm_entry,vtrend_sm_floor_exit
13,2019-02-18T04:00:00Z,2019-02-24T16:00:00Z,1550462400000,1551024000000,3736.19,3776.18,1.31079753,125.39,1.07,6.50,vtrend_sm_entry,vtrend_sm_floor_exit
14,2019-03-09T16:00:00Z,2019-06-04T04:00:00Z,1552147200000,1559620800000,4212.86,7891.57,2.21662828,3506.52,87.32,86.50,vtrend_sm_entry,vtrend_sm_floor_exit
15,2019-06-14T16:00:00Z,2019-07-01T16:00:00Z,1560528000000,1561996800000,8390.54,10384.46,0.39883238,1048.91,23.76,17.00,vtrend_sm_entry,vtrend_sm_floor_exit
16,2019-07-09T04:00:00Z,2019-07-14T12:00:00Z,1562644800000,1563105600000,12662.48,10674.13,0.15416614,-308.18,-15.70,5.33,vtrend_sm_entry,vtrend_sm_floor_exit
17,2019-08-04T16:00:00Z,2019-08-13T16:00:00Z,1564934400000,1565712000000,10950.24,10946.72,0.24536583,-3.55,-0.03,9.00,vtrend_sm_entry,vtrend_sm_floor_exit
18,2020-01-06T04:00:00Z,2020-01-23T12:00:00Z,1578283200000,1579780800000,7545.05,8418.35,0.60889899,557.73,11.57,17.33,vtrend_sm_entry,vtrend_sm_floor_exit
19,2020-01-29T00:00:00Z,2020-02-16T20:00:00Z,1580256000000,1581883200000,9360.07,9740.55,0.57163550,211.93,4.06,18.83,vtrend_sm_entry,vtrend_sm_floor_exit
20,2020-04-06T20:00:00Z,2020-04-13T04:00:00Z,1586203200000,1586750400000,7202.45,6671.86,0.46382209,-249.20,-7.37,6.33,vtrend_sm_entry,vtrend_sm_floor_exit
21,2020-04-23T16:00:00Z,2020-05-10T04:00:00Z,1587657600000,1589083200000,7532.92,8617.99,0.50706991,618.58,14.40,16.50,vtrend_sm_entry,vtrend_sm_floor_exit
22,2020-05-31T00:00:00Z,2020-06-11T20:00:00Z,1590883200000,1591905600000,9703.05,9275.83,0.43116407,-188.20,-4.40,11.83,vtrend_sm_entry,vtrend_sm_floor_exit
23,2020-07-23T00:00:00Z,2020-08-22T00:00:00Z,1595462400000,1598054400000,9523.40,11524.89,1.16966904,1825.75,21.02,30.00,vtrend_sm_entry,vtrend_sm_floor_exit
24,2020-09-01T08:00:00Z,2020-09-03T16:00:00Z,1598947200000,1599148800000,11930.30,10664.41,0.63039331,-804.73,-10.61,2.33,vtrend_sm_entry,vtrend_sm_floor_exit
25,2020-09-19T12:00:00Z,2020-09-21T12:00:00Z,1600516800000,1600689600000,11145.82,10630.61,0.42224479,-222.03,-4.62,2.00,vtrend_sm_entry,vtrend_sm_floor_exit
26,2020-10-09T12:00:00Z,2020-11-26T12:00:00Z,1602244800000,1606392000000,11056.52,17090.60,0.67903068,3042.69,54.57,48.00,vtrend_sm_entry,vtrend_sm_floor_exit
27,2020-12-15T04:00:00Z,2021-01-11T16:00:00Z,1608004800000,1610380800000,19490.41,31565.45,0.24833591,2943.39,61.95,27.50,vtrend_sm_entry,vtrend_sm_floor_exit
28,2021-02-06T04:00:00Z,2021-02-23T12:00:00Z,1612584000000,1614081600000,39408.59,46333.65,0.07339807,504.89,17.57,17.33,vtrend_sm_entry,vtrend_sm_floor_exit
