trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2017-09-30T12:00:00Z,2017-10-18T08:00:00Z,1506772800000,1508313600000,4309.86,5259.48,0.44163594,415.90,22.03,17.83,vtrend_sm_entry,vtrend_sm_floor_exit
2,2017-10-20T20:00:00Z,2017-10-25T00:00:00Z,1508529600000,1508889600000,6070.00,5498.66,0.34007929,-197.11,-9.41,4.17,vtrend_sm_entry,vtrend_sm_floor_exit
3,2017-10-31T16:00:00Z,2017-11-12T04:00:00Z,1509465600000,1510459200000,6380.84,5947.07,0.29027072,-128.50,-6.80,11.50,vtrend_sm_entry,vtrend_sm_floor_exit
4,2017-11-17T00:00:00Z,2017-12-21T16:00:00Z,1510876800000,1513872000000,7888.80,14378.41,0.21922116,1189.24,82.26,34.67,vtrend_sm_entry,vtrend_sm_floor_exit
5,2018-01-05T20:00:00Z,2018-01-16T12:00:00Z,1515182400000,1516104000000,16619.04,12121.80,0.05699392,-257.35,-27.06,10.67,vtrend_sm_entry,vtrend_sm_floor_exit
6,2018-02-17T04:00:00Z,2018-02-22T16:00:00Z,1518840000000,1519315200000,10474.73,9957.17,0.10010350,-53.31,-4.94,5.50,vtrend_sm_entry,vtrend_sm_floor_exit
7,2018-03-03T04:00:00Z,2018-03-07T08:00:00Z,1520049600000,1520409600000,11336.99,10494.23,0.15373358,-131.98,-7.43,4.17,vtrend_sm_entry,vtrend_sm_floor_exit
8,2018-04-15T12:00:00Z,2018-05-09T04:00:00Z,1523793600000,1525838400000,8612.91,9012.28,0.28400895,109.58,4.64,23.67,vtrend_sm_entry,vtrend_sm_floor_exit
9,2018-07-17T20:00:00Z,2018-07-31T16:00:00Z,1531857600000,1533052800000,7300.58,7746.81,0.36755436,159.74,6.11,13.83,vtrend_sm_entry,vtrend_sm_floor_exit
10,2018-08-28T00:00:00Z,2018-09-06T00:00:00Z,1535414400000,1536192000000,6985.53,6687.23,0.48427703,-149.32,-4.27,9.00,vtrend_sm_entry,vtrend_sm_floor_exit
