time,ts_ms,side,qty,price,fee,notional,reason
2017-09-30T12:00:00Z,1506772800000,BUY,0.21114079,4324.53,1.3696,913.08,vtrend_sm_entry
2017-10-05T16:00:00Z,1507219200000,BUY,0.23051536,4292.29,1.4842,989.44,vtrend_sm_rebalance
2017-10-18T08:00:00Z,1508313600000,SELL,0.44165615,5262.11,3.4861,2324.04,vtrend_sm_floor_exit
2017-10-20T20:00:00Z,1508529600000,BUY,0.34014893,6066.97,3.0955,2063.67,vtrend_sm_entry
2017-10-25T00:00:00Z,1508889600000,SELL,0.34014893,5501.41,2.8070,1871.30,vtrend_sm_floor_exit
2017-10-31T16:00:00Z,1509465600000,BUY,0.29038608,6377.65,2.7780,1851.98,vtrend_sm_entry
2017-11-12T04:00:00Z,1510459200000,SELL,0.29038608,5950.05,2.5917,1727.81,vtrend_sm_floor_exit
2017-11-17T00:00:00Z,1510876800000,BUY,0.21934720,7884.86,2.5943,1729.52,vtrend_sm_entry
2017-11-29T12:00:00Z,1511956800000,SELL,0.05077968,10787.73,0.8217,547.80,vtrend_sm_rebalance
2017-12-03T12:00:00Z,1512302400000,SELL,0.04993810,11590.37,0.8682,578.80,vtrend_sm_rebalance
2017-12-08T00:00:00Z,1512691200000,SELL,0.04235943,16582.41,1.0536,702.42,vtrend_sm_rebalance
2017-12-21T16:00:00Z,1513872000000,SELL,0.07627000,14385.60,1.6458,1097.19,vtrend_sm_floor_exit
2018-01-05T20:00:00Z,1515182400000,BUY,0.05703872,16610.74,1.4212,947.46,vtrend_sm_entry
2018-01-16T12:00:00Z,1516104000000,SELL,0.05703872,12127.86,1.0376,691.76,vtrend_sm_floor_exit
2018-02-17T04:00:00Z,1518840000000,BUY,0.10018965,10469.50,1.5734,1048.94,vtrend_sm_entry
2018-02-22T16:00:00Z,1519315200000,SELL,0.10018965,9962.15,1.4972,998.10,vtrend_sm_floor_exit
2018-03-03T04:00:00Z,1520049600000,BUY,0.15388024,11331.32,2.6155,1743.67,vtrend_sm_entry
2018-03-07T08:00:00Z,1520409600000,SELL,0.15388024,10499.48,2.4235,1615.66,vtrend_sm_floor_exit
2018-04-15T12:00:00Z,1523793600000,BUY,0.19294862,8338.33,2.4133,1608.87,vtrend_sm_entry
2018-05-02T12:00:00Z,1525262400000,BUY,0.09139620,9179.32,1.2584,838.96,vtrend_sm_rebalance
2018-05-09T04:00:00Z,1525838400000,SELL,0.28434482,9016.79,3.8458,2563.88,vtrend_sm_floor_exit
2018-07-17T20:00:00Z,1531857600000,BUY,0.36804621,7296.93,4.0284,2685.61,vtrend_sm_entry
2018-07-31T16:00:00Z,1533052800000,SELL,0.36804621,7750.68,4.2789,2852.61,vtrend_sm_floor_exit
2018-08-28T00:00:00Z,1535414400000,BUY,0.39272177,6914.17,4.0730,2715.34,vtrend_sm_entry
2018-09-03T04:00:00Z,1535947200000,BUY,0.09238303,7270.75,1.0075,671.69,vtrend_sm_rebalance
2018-09-06T00:00:00Z,1536192000000,SELL,0.48510479,6690.57,4.8684,3245.63,vtrend_sm_floor_exit
2018-12-24T04:00:00Z,1545624000000,BUY,0.48455218,4145.15,3.0128,2008.54,vtrend_sm_entry
2018-12-27T20:00:00Z,1545940800000,SELL,0.48455218,3573.62,2.5974,1731.61,vtrend_sm_floor_exit
2019-01-06T20:00:00Z,1546804800000,BUY,0.51759975,4005.41,3.1098,2073.20,vtrend_sm_entry
2019-01-10T20:00:00Z,1547150400000,SELL,0.51759975,3593.13,2.7897,1859.81,vtrend_sm_floor_exit
2019-02-18T04:00:00Z,1550462400000,BUY,1.30520656,3737.88,7.3180,4878.70,vtrend_sm_entry
2019-02-23T20:00:00Z,1550952000000,SELL,0.24180384,4096.14,1.4857,990.46,vtrend_sm_rebalance
2019-02-24T16:00:00Z,1551024000000,SELL,1.06340273,3774.48,6.0207,4013.80,vtrend_sm_floor_exit
2019-03-09T16:00:00Z,1552147200000,BUY,0.75720889,3954.70,4.4918,2994.54,vtrend_sm_entry
2019-03-16T16:00:00Z,1552752000000,BUY,0.73627638,3993.99,4.4110,2940.68,vtrend_sm_rebalance
2019-03-24T08:00:00Z,1553414400000,BUY,0.14094697,3985.59,0.8426,561.76,vtrend_sm_rebalance
2019-03-25T16:00:00Z,1553529600000,BUY,0.17994630,3966.88,1.0707,713.83,vtrend_sm_rebalance
2019-04-02T08:00:00Z,1554192000000,SELL,1.04593416,4642.36,7.2834,4855.61,vtrend_sm_rebalance
2019-04-04T08:00:00Z,1554364800000,SELL,0.12999593,5008.34,0.9766,651.06,vtrend_sm_rebalance
2019-04-16T20:00:00Z,1555444800000,SELL,0.12320680,5151.84,0.9521,634.74,vtrend_sm_rebalance
2019-04-22T08:00:00Z,1555920000000,BUY,0.15101227,5248.89,1.1890,792.65,vtrend_sm_rebalance
2019-04-25T08:00:00Z,1556179200000,BUY,0.11469932,5411.41,0.9310,620.68,vtrend_sm_rebalance
2019-05-01T12:00:00Z,1556712000000,BUY,0.12352995,5368.78,0.9948,663.21,vtrend_sm_rebalance
2019-05-05T00:00:00Z,1557014400000,SELL,0.13547144,5824.00,1.1835,788.99,vtrend_sm_rebalance
2019-05-10T20:00:00Z,1557518400000,SELL,0.10484054,6404.14,1.0071,671.41,vtrend_sm_rebalance
2019-05-12T00:00:00Z,1557619200000,SELL,0.10276184,7069.17,1.0897,726.44,vtrend_sm_rebalance
2019-05-13T12:00:00Z,1557748800000,SELL,0.11011561,7218.02,1.1922,794.82,vtrend_sm_rebalance
2019-05-14T08:00:00Z,1557820800000,SELL,0.09549730,8313.34,1.1909,793.90,vtrend_sm_rebalance
2019-05-26T20:00:00Z,1558900800000,SELL,0.08868619,8471.52,1.1270,751.31,vtrend_sm_rebalance
2019-06-04T04:00:00Z,1559620800000,SELL,0.26711026,7888.02,3.1605,2106.97,vtrend_sm_floor_exit
2019-06-14T16:00:00Z,1560528000000,BUY,0.39609398,8394.32,4.9874,3324.94,vtrend_sm_entry
2019-06-22T12:00:00Z,1561204800000,SELL,0.06946029,10856.18,1.1311,754.07,vtrend_sm_rebalance
2019-06-26T20:00:00Z,1561579200000,SELL,0.06255162,13946.80,1.3086,872.40,vtrend_sm_rebalance
2019-07-01T16:00:00Z,1561996800000,SELL,0.26408208,10379.78,4.1117,2741.11,vtrend_sm_floor_exit
2019-07-09T04:00:00Z,1562644800000,BUY,0.15303357,12668.18,2.9080,1938.66,vtrend_sm_entry
2019-07-14T12:00:00Z,1563105600000,SELL,0.15303357,10669.32,2.4491,1632.76,vtrend_sm_floor_exit
2019-08-04T16:00:00Z,1564934400000,BUY,0.24350718,10955.17,4.0015,2667.66,vtrend_sm_entry
2019-08-13T16:00:00Z,1565712000000,SELL,0.24350718,10941.79,3.9966,2664.40,vtrend_sm_floor_exit
2020-01-06T04:00:00Z,1578283200000,BUY,0.60407871,7548.44,6.8398,4559.85,vtrend_sm_entry
2020-01-14T20:00:00Z,1579032000000,SELL,0.09037868,8756.75,1.1871,791.42,vtrend_sm_rebalance
2020-01-23T12:00:00Z,1579780800000,SELL,0.51370003,8414.56,6.4838,4322.56,vtrend_sm_floor_exit
2020-01-29T00:00:00Z,1580256000000,BUY,0.48179442,9384.72,6.7823,4521.50,vtrend_sm_entry
2020-02-05T04:00:00Z,1580875200000,BUY,0.08481596,9248.43,1.1766,784.41,vtrend_sm_rebalance
2020-02-16T20:00:00Z,1581883200000,SELL,0.56661037,9736.17,8.2749,5516.61,vtrend_sm_floor_exit
2020-04-06T20:00:00Z,1586203200000,BUY,0.33415796,7273.13,3.6456,2430.37,vtrend_sm_entry
2020-04-12T16:00:00Z,1586707200000,BUY,0.12533979,7026.01,1.3210,880.64,vtrend_sm_rebalance
2020-04-13T04:00:00Z,1586750400000,SELL,0.45949775,6668.86,4.5965,3064.32,vtrend_sm_floor_exit
2020-04-23T16:00:00Z,1587657600000,BUY,0.50221854,7536.31,5.6773,3784.87,vtrend_sm_entry
2020-04-30T04:00:00Z,1588219200000,SELL,0.10823065,9280.68,1.5067,1004.45,vtrend_sm_rebalance
2020-05-10T04:00:00Z,1589083200000,SELL,0.39398789,8614.11,5.0908,3393.85,vtrend_sm_floor_exit
2020-05-31T00:00:00Z,1590883200000,BUY,0.42683050,9707.42,6.2151,4143.42,vtrend_sm_entry
2020-06-11T20:00:00Z,1591905600000,SELL,0.42683050,9271.65,5.9361,3957.42,vtrend_sm_floor_exit
2020-07-23T00:00:00Z,1595462400000,BUY,1.15734194,9527.68,16.5402,11026.78,vtrend_sm_entry
2020-07-26T12:00:00Z,1595764800000,SELL,0.13448656,9960.89,2.0094,1339.61,vtrend_sm_rebalance
