trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2017-09-30T12:00:00Z,2017-10-18T08:00:00Z,1506772800000,1508313600000,4307.70,5262.11,0.44165615,418.04,22.16,17.83,vtrend_sm_entry,vtrend_sm_floor_exit
2,2017-10-20T20:00:00Z,2017-10-25T00:00:00Z,1508529600000,1508889600000,6066.97,5501.41,0.34014893,-195.18,-9.32,4.17,vtrend_sm_entry,vtrend_sm_floor_exit
3,2017-10-31T16:00:00Z,2017-11-12T04:00:00Z,1509465600000,1510459200000,6377.65,5950.05,0.29038608,-126.76,-6.70,11.50,vtrend_sm_entry,vtrend_sm_floor_exit
4,2017-11-17T00:00:00Z,2017-12-21T16:00:00Z,1510876800000,1513872000000,7884.86,14385.60,0.21934720,1192.30,82.45,34.67,vtrend_sm_entry,vtrend_sm_floor_exit
5,2018-01-05T20:00:00Z,2018-01-16T12:00:00Z,1515182400000,1516104000000,16610.74,12127.86,0.05703872,-256.74,-26.99,10.67,vtrend_sm_entry,vtrend_sm_floor_exit
6,2018-02-17T04:00:00Z,2018-02-22T16:00:00Z,1518840000000,1519315200000,10469.50,9962.15,0.10018965,-52.33,-4.85,5.50,vtrend_sm_entry,vtrend_sm_floor_exit
7,2018-03-03T04:00:00Z,2018-03-07T08:00:00Z,1520049600000,1520409600000,11331.32,10499.48,0.15388024,-130.43,-7.34,4.17,vtrend_sm_entry,vtrend_sm_floor_exit
8,2018-04-15T12:00:00Z,2018-05-09T04:00:00Z,1523793600000,1525838400000,8608.65,9016.79,0.28434482,112.21,4.74,23.67,vtrend_sm_entry,vtrend_sm_floor_exit
9,2018-07-17T20:00:00Z,2018-07-31T16:00:00Z,1531857600000,1533052800000,7296.93,7750.68,0.36804621,162.72,6.22,13.83,vtrend_sm_entry,vtrend_sm_floor_exit
10,2018-08-28T00:00:00Z,2018-09-06T00:00:00Z,1535414400000,1536192000000,6982.08,6690.57,0.48510479,-146.28,-4.17,9.00,vtrend_sm_entry,vtrend_sm_floor_exit
11,2018-12-24T04:00:00Z,2018-12-27T20:00:00Z,1545624000000,1545940800000,4145.15,3573.62,0.48455218,-279.53,-13.79,3.67,vtrend_sm_entry,vtrend_sm_floor_exit
12,2019-01-06T20:00:00Z,2019-01-10T20:00:00Z,1546804800000,1547150400000,4005.41,3593.13,0.51759975,-216.18,-10.29,4.00,vtrend_sm_entry,vtrend_sm_floor_exit
13,2019-02-18T04:00:00Z,2019-02-24T16:00:00Z,1550462400000,1551024000000,3737.88,3774.48,1.30520656,118.05,0.98,6.50,vtrend_sm_entry,vtrend_sm_floor_exit
14,2019-03-09T16:00:00Z,2019-06-04T04:00:00Z,1552147200000,1559620800000,4214.58,7888.02,2.20362007,3468.75,87.16,86.50,vtrend_sm_entry,vtrend_sm_floor_exit
15,2019-06-14T16:00:00Z,2019-07-01T16:00:00Z,1560528000000,1561996800000,8394.32,10379.78,0.39609398,1036.09,23.65,17.00,vtrend_sm_entry,vtrend_sm_floor_exit
16,2019-07-09T04:00:00Z,2019-07-14T12:00:00Z,1562644800000,1563105600000,12668.18,10669.32,0.15303357,-308.34,-15.78,5.33,vtrend_sm_entry,vtrend_sm_floor_exit
17,2019-08-04T16:00:00Z,2019-08-13T16:00:00Z,1564934400000,1565712000000,10955.17,10941.79,0.24350718,-7.25,-0.12,9.00,vtrend_sm_entry,vtrend_sm_floor_exit
18,2020-01-06T04:00:00Z,2020-01-23T12:00:00Z,1578283200000,1579780800000,7548.44,8414.56,0.60407871,546.46,11.47,17.33,vtrend_sm_entry,vtrend_sm_floor_exit
19,2020-01-29T00:00:00Z,2020-02-16T20:00:00Z,1580256000000,1581883200000,9364.32,9736.17,0.56661037,202.42,3.97,18.83,vtrend_sm_entry,vtrend_sm_floor_exit
20,2020-04-06T20:00:00Z,2020-04-13T04:00:00Z,1586203200000,1586750400000,7205.72,6668.86,0.45949775,-251.28,-7.45,6.33,vtrend_sm_entry,vtrend_sm_floor_exit
21,2020-04-23T16:00:00Z,2020-05-10T04:00:00Z,1587657600000,1589083200000,7536.31,8614.11,0.50221854,606.84,14.30,16.50,vtrend_sm_entry,vtrend_sm_floor_exit
22,2020-05-31T00:00:00Z,2020-06-11T20:00:00Z,1590883200000,1591905600000,9707.42,9271.65,0.42683050,-191.94,-4.49,11.83,vtrend_sm_entry,vtrend_sm_floor_exit
23,2020-07-23T00:00:00Z,2020-08-22T00:00:00Z,1595462400000,1598054400000,9527.68,11519.70,1.15734194,1788.39,20.91,30.00,vtrend_sm_entry,vtrend_sm_floor_exit
