trade_before,trade_after,gap_bars,gap_hours,gap_days
1,2,1,4,0.16666666666666666
2,3,132,528,22.0
3,4,22,88,3.6666666666666665
4,5,4,16,0.6666666666666666
5,6,13,52,2.1666666666666665
6,7,1,4,0.16666666666666666
7,8,12,48,2.0
8,9,1,4,0.16666666666666666
9,10,1,4,0.16666666666666666
10,11,1,4,0.16666666666666666
11,12,11,44,1.8333333333333333
12,13,1,4,0.16666666666666666
13,14,22,88,3.6666666666666665
14,15,49,196,8.166666666666666
15,16,237,948,39.5
16,17,33,132,5.5
17,18,236,944,39.333333333333336
18,19,8,32,1.3333333333333333
19,20,12,48,2.0
20,21,331,1324,55.166666666666664
21,22,42,168,7.0
22,23,17,68,2.8333333333333335
23,24,9,36,1.5
24,25,137,548,22.833333333333332
25,26,103,412,17.166666666666668
26,27,19,76,3.1666666666666665
27,28,2,8,0.3333333333333333
28,29,12,48,2.0
29,30,30,120,5.0
30,31,4,16,0.6666666666666666
31,32,349,1396,58.166666666666664
32,33,5,20,0.8333333333333334
33,34,49,196,8.166666666666666
34,35,183,732,30.5
35,36,19,76,3.1666666666666665
36,37,13,52,2.1666666666666665
37,38,5,20,0.8333333333333334
38,39,3,12,0.5
39,40,10,40,1.6666666666666667
40,41,7,28,1.1666666666666667
41,42,6,24,1.0
42,43,5,20,0.8333333333333334
43,44,18,72,3.0
44,45,5,20,0.8333333333333334
45,46,27,108,4.5
46,47,27,108,4.5
47,48,14,56,2.3333333333333335
48,49,9,36,1.5
49,50,6,24,1.0
50,51,121,484,20.166666666666668
51,52,6,24,1.0
52,53,1,4,0.16666666666666666
53,54,139,556,23.166666666666668
54,55,35,140,5.833333333333333
55,56,241,964,40.166666666666664
56,57,2,8,0.3333333333333333
57,58,20,80,3.3333333333333335
58,59,282,1128,47.0
59,60,26,104,4.333333333333333
60,61,9,36,1.5
61,62,12,48,2.0
62,63,3,12,0.5
63,64,3,12,0.5
64,65,3,12,0.5
65,66,262,1048,43.666666666666664
66,67,14,56,2.3333333333333335
67,68,1,4,0.16666666666666666
68,69,16,64,2.6666666666666665
69,70,1,4,0.16666666666666666
70,71,6,24,1.0
71,72,9,36,1.5
72,73,23,92,3.8333333333333335
73,74,8,32,1.3333333333333333
74,75,73,292,12.166666666666666
75,76,87,348,14.5
76,77,5,20,0.8333333333333334
77,78,86,344,14.333333333333334
78,79,3,12,0.5
79,80,4,16,0.6666666666666666
80,81,2,8,0.3333333333333333
81,82,33,132,5.5
82,83,95,380,15.833333333333334
83,84,43,172,7.166666666666667
84,85,41,164,6.833333333333333
85,86,3,12,0.5
86,87,21,84,3.5
87,88,10,40,1.6666666666666667
88,89,15,60,2.5
89,90,4,16,0.6666666666666666
90,91,6,24,1.0
91,92,3,12,0.5
92,93,70,280,11.666666666666666
93,94,8,32,1.3333333333333333
94,95,24,96,4.0
95,96,15,60,2.5
96,97,1,4,0.16666666666666666
97,98,22,88,3.6666666666666665
98,99,10,40,1.6666666666666667
99,100,97,388,16.166666666666668
100,101,9,36,1.5
101,102,442,1768,73.66666666666667
102,103,1,4,0.16666666666666666
103,104,11,44,1.8333333333333333
104,105,4,16,0.6666666666666666
105,106,13,52,2.1666666666666665
106,107,64,256,10.666666666666666
107,108,74,296,12.333333333333334
108,109,20,80,3.3333333333333335
109,110,11,44,1.8333333333333333
110,111,3,12,0.5
111,112,25,100,4.166666666666667
112,113,239,956,39.833333333333336
113,114,235,940,39.166666666666664
114,115,16,64,2.6666666666666665
115,116,72,288,12.0
116,117,81,324,13.5
117,118,6,24,1.0
118,119,621,2484,103.5
119,120,3,12,0.5
120,121,13,52,2.1666666666666665
121,122,11,44,1.8333333333333333
122,123,5,20,0.8333333333333334
123,124,1,4,0.16666666666666666
124,125,140,560,23.333333333333332
125,126,1,4,0.16666666666666666
126,127,117,468,19.5
127,128,110,440,18.333333333333332
128,129,4,16,0.6666666666666666
129,130,2,8,0.3333333333333333
130,131,179,716,29.833333333333332
131,132,12,48,2.0
132,133,146,584,24.333333333333332
133,134,5,20,0.8333333333333334
134,135,4,16,0.6666666666666666
135,136,38,152,6.333333333333333
136,137,6,24,1.0
137,138,3,12,0.5
138,139,14,56,2.3333333333333335
139,140,69,276,11.5
140,141,1,4,0.16666666666666666
141,142,3,12,0.5
142,143,2,8,0.3333333333333333
143,144,1,4,0.16666666666666666
144,145,6,24,1.0
145,146,65,260,10.833333333333334
146,147,15,60,2.5
147,148,132,528,22.0
148,149,120,480,20.0
149,150,3,12,0.5
150,151,2,8,0.3333333333333333
151,152,1,4,0.16666666666666666
152,153,357,1428,59.5
153,154,19,76,3.1666666666666665
154,155,19,76,3.1666666666666665
155,156,7,28,1.1666666666666667
156,157,6,24,1.0
157,158,21,84,3.5
158,159,4,16,0.6666666666666666
159,160,3,12,0.5
160,161,7,28,1.1666666666666667
161,162,2,8,0.3333333333333333
162,163,5,20,0.8333333333333334
163,164,4,16,0.6666666666666666
164,165,1,4,0.16666666666666666
165,166,15,60,2.5
166,167,107,428,17.833333333333332
167,168,3,12,0.5
168,169,16,64,2.6666666666666665
169,170,10,40,1.6666666666666667
170,171,10,40,1.6666666666666667
171,172,1,4,0.16666666666666666
172,173,2,8,0.3333333333333333
173,174,5,20,0.8333333333333334
174,175,1,4,0.16666666666666666
175,176,219,876,36.5
176,177,3,12,0.5
177,178,5,20,0.8333333333333334
178,179,1,4,0.16666666666666666
179,180,3,12,0.5
180,181,200,800,33.333333333333336
181,182,7,28,1.1666666666666667
182,183,147,588,24.5
183,184,114,456,19.0
