trade_id,entry_ts_ms,exit_ts_ms,entry_bar_idx,exit_bar_idx,entry_price,exit_price,pnl,return_pct,days_held,entry_reason,exit_reason
1,1504756800000,1504900800000,126,136,4493.970602369999,4191.6751789675,-700.608977029092,-7.006089770290921,1.6666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
2,1504915200000,1505016000000,137,144,4287.083870699999,4139.857036,-346.25899926219256,-3.7234588631328682,1.1666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
3,1506916800000,1508068800000,276,356,4415.41210275,5413.58235475,1991.1079810298168,22.23923399942255,13.333333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
4,1508385600000,1508817600000,378,408,5575.811632559999,5624.371407500001,62.24439112353117,0.5687411012238511,5.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
5,1508875200000,1509998400000,412,490,5640.7064787675,6999.005741502501,2609.485618331389,23.70862052293862,13.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
6,1510185600000,1510329600000,503,513,7310.3148357525,6753.261670005001,-1075.229020600825,-7.896822771201709,1.6666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
7,1510344000000,1510459200000,514,522,6532.8379415775,5950.045489,-1152.9702601376546,-9.193796927364465,1.3333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
8,1510632000000,1511985600000,534,628,6597.492547724999,9290.702325,4600.646303988176,40.39988520731635,15.666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
9,1512000000000,1512057600000,629,633,9697.570301969998,8971.0122549975,-1242.183872741469,-7.769273654999169,0.6666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
10,1512072000000,1512835200000,634,687,9770.783460255,14391.078121370001,6907.967369264514,46.845640456847235,8.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
11,1512849600000,1513684800000,688,746,13921.911477,17196.990103550004,5013.946646210884,23.154614451575544,9.666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
12,1513843200000,1513915200000,757,762,17063.070281505,13775.214447250002,-5203.134578233275,-19.5106714503993,0.8333333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
13,1513929600000,1514102400000,763,775,12739.179631612498,13214.775307000002,734.6607880491769,3.4225965839062606,2.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
14,1514419200000,1514433600000,797,798,15475.433834992498,14149.270110857502,-1963.196509556528,-8.843357625439143,0.16666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
15,1515139200000,1515427200000,847,867,14931.8706792375,14283.605674475002,-936.5504747192928,-4.6280312539219715,3.3333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
16,1518840000000,1519243200000,1104,1132,10469.501654759999,10375.117096375001,-231.28438906190343,-1.198369279757413,4.666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
17,1519718400000,1520366400000,1165,1210,10610.602649999999,10696.295676750002,96.42002883616757,0.5056470657530348,7.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
18,1523764800000,1524672000000,1446,1509,8092.086020999999,8963.1201530225,1999.3433988500115,10.432230243263717,10.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
19,1524787200000,1525665600000,1517,1578,9276.2993467575,9342.420567942503,87.00931385537781,0.41111154331359145,10.166666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
20,1525838400000,1526025600000,1590,1603,9034.8380664525,8701.631837585002,-845.0664829511336,-3.976518705067323,2.1666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
21,1530792000000,1531224000000,1934,1964,6620.135173379999,6358.696531265001,-864.5893363572526,-4.236864551635923,5.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
22,1531828800000,1532649600000,2006,2063,6682.43742894,7912.081980000002,3526.597051084746,18.04646686162299,9.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
23,1532894400000,1533052800000,2080,2091,8229.223055249999,7750.683499610001,-1406.5366743220306,-6.097255803289114,1.8333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
24,1533182400000,1533398400000,2100,2115,7652.646911249998,6977.267496062501,-1970.911352235902,-9.098549496310664,2.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
25,1535371200000,1536148800000,2252,2306,6719.7246882525,6984.030727755001,713.1956029792153,3.6219538697976685,9.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
26,1537632000000,1537848000000,2409,2424,6694.159141867499,6460.584566762501,-770.9339901922764,-3.778328156802753,2.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
27,1538121600000,1538193600000,2443,2448,6793.498406677499,6497.317805955,-912.2074138442968,-4.646256480919947,0.8333333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
28,1538222400000,1538582400000,2450,2475,6591.54660624,6507.727388560001,-293.424571623652,-1.5673583925811192,4.166666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
29,1538755200000,1539230400000,2487,2520,6605.080129619999,6334.181065130001,-808.718168439255,-4.388639363546306,5.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
30,1539662400000,1539907200000,2550,2567,6737.7026527425,6612.34269474,-379.6065421746173,-2.154551522869123,2.8333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
31,1539964800000,1540483200000,2571,2607,6578.69376303,6539.595496535001,-153.7887692787237,-0.8920869551768654,6.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
32,1545508800000,1545710400000,2956,2970,3881.738829464999,3705.391827275,-825.043511740311,-4.8289319971681355,2.3333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
33,1545782400000,1545955200000,2975,2987,3749.306496389999,3564.3230019725006,-848.5604886186334,-5.218577040352495,2.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
34,1546660800000,1547107200000,3036,3067,3819.1663038374995,3773.7634043850007,-228.83572145714754,-1.4848065953060268,5.166666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
35,1549742400000,1551024000000,3250,3339,3657.2144733899995,3774.482684565001,439.9017874475518,2.897334122042032,14.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
36,1551297600000,1551686400000,3358,3385,3817.0541933099994,3723.2739317500004,-429.4835122094241,-2.749066384777189,4.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
37,1551873600000,1552377600000,3398,3433,3866.4135156375,3830.8562686725004,-184.81863588747956,-1.2164400560658517,5.833333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
38,1552449600000,1553529600000,3438,3513,3891.7788619724997,3958.95807073,213.3411857557518,1.4214611142023479,12.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
39,1553572800000,1554336000000,3516,3569,3940.0771240349995,4927.658643147501,3758.3537679755877,24.690397010270132,8.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
40,1554480000000,1554984000000,3579,3614,4971.467741624999,4996.010240252501,36.563154431393535,0.19263760277634048,5.833333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
41,1555084800000,1556236800000,3621,3701,5042.488709362499,5215.2508351175,592.6246086317947,3.1163144983631477,13.333333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
42,1556323200000,1557676800000,3707,3801,5320.316328749999,6835.659210625001,5509.735781732075,28.09732591575432,15.666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
43,1557748800000,1557864000000,3806,3814,7232.467046309999,7730.513684562501,1649.347836890467,6.566083597295762,1.3333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
44,1558123200000,1559260800000,3832,3911,7142.8675139325,8258.834966775003,4089.477110722379,15.27717061680615,13.166666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
45,1559332800000,1559606400000,3916,3935,8453.166831179999,8107.546368915,-1350.3330145147377,-4.375953763181791,3.1666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
46,1559995200000,1560009600000,3962,3963,7989.313325332499,7911.182879775001,-376.09273598274643,-1.274558188517772,0.16666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
47,1560398400000,1561593600000,3990,4073,8090.094030502499,13085.284894595,17846.027144991887,61.260027217378706,13.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
48,1561795200000,1561996800000,4087,4101,11889.380469374999,10379.782427542501,-6087.61730220764,-12.958545266688603,2.3333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
49,1562126400000,1562817600000,4110,4158,11300.752282364998,11689.471755292501,1279.821305460678,3.1299118205672842,8.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
50,1562904000000,1563120000000,4164,4179,11200.7023073775,10402.769423295002,-3121.480549388386,-7.402164857621524,2.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
51,1564862400000,1565136000000,4300,4319,10861.993852784999,11470.2111804225,2062.9931078089257,5.283175819432503,3.1666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
52,1565222400000,1565611200000,4325,4352,11987.01803376,11316.684822002502,-2415.2747659421634,-5.874959188612477,4.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
53,1565625600000,1565755200000,4353,4362,11411.402849999999,10644.267743730003,-2709.477350286693,-7.001944393169296,1.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
54,1567756800000,1567972800000,4501,4516,10726.5885489675,10330.052195097502,-1434.1514315518507,-3.985238110815547,2.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
55,1568476800000,1568664000000,4551,4564,10368.140369445,10111.2711403475,-956.9697434051367,-2.769615376673741,2.1666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
56,1572134400000,1572451200000,4805,4827,9239.232307499999,9084.628553429999,-661.1179058947799,-1.967878001980844,3.6666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
57,1572480000000,1573228800000,4829,4881,9163.176308504999,8811.941445190001,-1357.2843932954897,-4.121181134047102,8.666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
58,1573516800000,1573531200000,4901,4902,8742.09554334,8731.9115351625,-131.2644953956082,-0.415695617292684,0.16666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
59,1577592000000,1577808000000,5184,5199,7314.368886765,7187.806798750001,-636.6797164489656,-2.0246888558444374,2.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
60,1578182400000,1578556800000,5225,5251,7361.546028547499,7941.622417392501,2328.1417149642016,7.556662733762734,4.333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
61,1578686400000,1579435200000,5260,5312,8066.1100645125,8672.481010290001,2384.373670072722,7.195444468494079,8.666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
62,1579608000000,1579795200000,5324,5337,8665.418924189999,8349.4542794525,-1397.740732737367,-3.9348991005403198,2.1666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
63,1579838400000,1581393600000,5340,5448,8328.9126701475,9723.6990033575,5595.161205141149,16.39660519197874,18.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
64,1581436800000,1581796800000,5451,5476,10175.167541249997,9883.628953380003,-1253.5990716114761,-3.15616488586061,4.166666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
65,1581840000000,1582156800000,5479,5501,9969.542069894998,9585.0577486625,-1594.2348700607865,-4.144587819821544,3.6666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
66,1585929600000,1586520000000,5763,5804,6720.055018334999,6891.34348456,826.5528809486093,2.2417286757189245,6.833333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
67,1586721600000,1586966400000,5818,5835,7119.243908032499,6695.199775475,-2351.593969312444,-6.2380170471302145,2.8333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
68,1586980800000,1587412800000,5836,5866,6736.741692502499,6762.172752235,27.151684927126517,0.0768164479668196,5.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
69,1587643200000,1588248000000,5882,5924,7141.0256734725,8829.144229495,8231.148520821904,23.26935752588543,7.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
70,1588262400000,1589083200000,5925,5982,8785.719134235,8614.1094256825,-979.7839931062593,-2.246979767723598,9.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
71,1589169600000,1590076800000,5988,6051,8704.938414059998,9073.419770625,1671.2226884651511,3.920784389892752,10.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
72,1590206400000,1590364800000,6060,6071,9295.3984315275,8709.424039534999,-2916.703426560334,-6.584586286560167,1.8333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
73,1590696000000,1591113600000,6094,6123,9461.69460306,9458.614287020002,-137.38265894803806,-0.33200880185486803,4.833333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
74,1591228800000,1591891200000,6131,6177,9675.988736579999,9512.020840385003,-820.3249161444917,-1.9890599707371164,7.666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
75,1592942400000,1593000000000,6250,6254,9649.662430004999,9321.991012830002,-1489.5556064520977,-3.685056411687746,0.6666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
76,1594252800000,1594368000000,6341,6349,9445.498419014999,9145.837298747501,-1348.0485618733442,-3.462575748034908,1.3333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
77,1594440000000,1594468800000,6354,6356,9277.460507047499,9191.171930092501,-461.09929668897263,-1.22685291230953,0.3333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
78,1595707200000,1596355200000,6442,6487,9683.816558534998,11314.626881487502,6121.765928131226,16.49057757565838,7.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
79,1596398400000,1597176000000,6490,6544,11214.005600699998,11375.665796762501,492.0034641577316,1.1377229247112028,9.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
80,1597233600000,1597809600000,6548,6588,11471.90330511,11825.275849277501,1212.1823902606936,2.771552742414622,6.666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
81,1597838400000,1598371200000,6590,6627,11853.995110537498,11408.003434855002,-1820.7192314181386,-4.050654841534881,6.166666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
82,1598846400000,1599048000000,6660,6674,11690.761999769999,11394.606841502502,-1218.4548550592729,-2.8252031806490843,2.3333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
