strategy_id,failure_mode,trades,losers,winners,net_pnl_usd,loser_loss_usd,share_of_strategy_loss_pct,median_mfe_r,median_first6_mae_r
E0,false_breakout,20,20,0,-59988.16,-59988.16,16.0359,0.436288,0.877348
E0,late_exit_giveback,38,38,0,-57475.89,-57475.89,15.3643,2.843968,0.877684
E0,other_loss,24,24,0,-87805.46,-87805.46,23.4719,0.187007,2.006322
E0,slow_trend_reversal,4,4,0,-11240.39,-11240.39,3.0048,0.27376,1.265196
E0,trail_stop_noise,33,33,0,-157577.08,-157577.08,42.1231,1.354004,1.051038
E0,winner,73,0,73,563260.11,0,0.0,7.313151,0.759756
X0,false_breakout,13,13,0,-59961.99,-59961.99,15.3179,0.480923,1.166053
X0,late_exit_giveback,34,34,0,-60048.13,-60048.13,15.3399,2.951866,0.855192
X0,other_loss,19,19,0,-81998.91,-81998.91,20.9474,0.172158,2.562438
X0,slow_trend_reversal,3,3,0,-9456.89,-9456.89,2.4159,0.483601,1.090124
X0,trail_stop_noise,35,35,0,-179984.72,-179984.72,45.9789,1.368299,1.051038
X0,winner,70,0,70,627643.4,0,0.0,7.145027,0.753712
X0E5_CHOP_COMBO,false_breakout,10,10,0,-43739.03,-43739.03,9.9365,0.229134,1.361726
X0E5_CHOP_COMBO,late_exit_giveback,29,29,0,-54509.1,-54509.1,12.3832,2.785814,0.609525
X0E5_CHOP_COMBO,other_loss,21,21,0,-101116.39,-101116.39,22.9714,0.189998,2.562438
X0E5_CHOP_COMBO,slow_trend_reversal,3,3,0,-10776.06,-10776.06,2.4481,0.483601,1.090124
X0E5_CHOP_COMBO,trail_stop_noise,42,42,0,-230043.82,-230043.82,52.2608,1.361152,0.986154
X0E5_CHOP_COMBO,winner,79,0,79,706811.37,0,0.0,6.817981,0.700912
X0E5_CHOP_STRETCH18,false_breakout,8,8,0,-30384.52,-30384.52,6.5771,0.229134,1.122219
X0E5_CHOP_STRETCH18,late_exit_giveback,26,26,0,-56956.96,-56956.96,12.3291,3.214716,1.046493
X0E5_CHOP_STRETCH18,other_loss,17,17,0,-97956.85,-97956.85,21.204,0.157571,2.681538
X0E5_CHOP_STRETCH18,slow_trend_reversal,4,4,0,-19316.97,-19316.97,4.1814,0.609395,1.363376
X0E5_CHOP_STRETCH18,trail_stop_noise,39,39,0,-257357.33,-257357.33,55.7084,1.368299,0.921269
X0E5_CHOP_STRETCH18,winner,74,0,74,808542.13,0,0.0,6.547119,0.586902
X0E5_CHOP_VDO2,false_breakout,7,7,0,-30555.8,-30555.8,7.7168,0.23236,0.94574
X0E5_CHOP_VDO2,late_exit_giveback,32,32,0,-65676.11,-65676.11,16.5864,2.909024,0.846344
X0E5_CHOP_VDO2,other_loss,20,20,0,-88275.71,-88275.71,22.294,0.187007,1.648544
X0E5_CHOP_VDO2,slow_trend_reversal,2,2,0,-8013.28,-8013.28,2.0237,0.433332,0.973528
X0E5_CHOP_VDO2,trail_stop_noise,40,40,0,-203441.67,-203441.67,51.379,1.433807,1.104104
X0E5_CHOP_VDO2,winner,79,0,79,684767.53,0,0.0,6.313839,0.708215
X0_CHOP_COMBO,false_breakout,12,12,0,-45391.03,-45391.03,12.245,0.384288,1.055897
X0_CHOP_COMBO,late_exit_giveback,30,30,0,-50500.15,-50500.15,13.6233,3.118695,0.801775
X0_CHOP_COMBO,other_loss,19,19,0,-94601.89,-94601.89,25.5205,0.184015,2.681538
X0_CHOP_COMBO,slow_trend_reversal,3,3,0,-8952.9,-8952.9,2.4152,0.483601,1.090124
X0_CHOP_COMBO,trail_stop_noise,35,35,0,-171244.15,-171244.15,46.196,1.354004,1.051038
X0_CHOP_COMBO,winner,71,0,71,602609.56,0,0.0,6.976904,0.746347
X0_CHOP_STRETCH18,false_breakout,9,9,0,-40538.27,-40538.27,9.0394,0.287654,0.94574
X0_CHOP_STRETCH18,late_exit_giveback,26,26,0,-52381.89,-52381.89,11.6804,3.224679,1.020666
X0_CHOP_STRETCH18,other_loss,15,15,0,-93220.56,-93220.56,20.7868,0.157571,2.681538
X0_CHOP_STRETCH18,slow_trend_reversal,4,4,0,-19072.16,-19072.16,4.2528,0.609395,1.363376
X0_CHOP_STRETCH18,trail_stop_noise,33,33,0,-243248.15,-243248.15,54.2406,1.330623,1.051038
X0_CHOP_STRETCH18,winner,66,0,66,817676.54,0,0.0,7.585492,0.722013
X0_CHOP_VDO2,false_breakout,7,7,0,-24402.06,-24402.06,7.0917,0.287654,0.728488
X0_CHOP_VDO2,late_exit_giveback,33,33,0,-62390.83,-62390.83,18.1319,2.785814,0.854764
X0_CHOP_VDO2,other_loss,17,17,0,-79849.33,-79849.33,23.2056,0.172158,2.562438
X0_CHOP_VDO2,slow_trend_reversal,2,2,0,-6458.09,-6458.09,1.8768,0.433332,0.973528
X0_CHOP_VDO2,trail_stop_noise,37,37,0,-170994.07,-170994.07,49.6939,1.354004,1.133852
X0_CHOP_VDO2,winner,70,0,70,564303.8,0,0.0,7.145027,0.747741
X0_E5EXIT,false_breakout,10,10,0,-48956.15,-48956.15,10.7164,0.229134,1.361726
X0_E5EXIT,late_exit_giveback,32,32,0,-62918.7,-62918.7,13.7728,2.951866,0.846344
X0_E5EXIT,other_loss,22,22,0,-98327.06,-98327.06,21.5236,0.187007,2.190675
X0_E5EXIT,slow_trend_reversal,3,3,0,-11644.73,-11644.73,2.549,0.483601,1.090124
X0_E5EXIT,trail_stop_noise,42,42,0,-234986.91,-234986.91,51.4382,1.424604,1.020652
X0_E5EXIT,winner,79,0,79,754624.04,0,0.0,6.640329,0.716203
