strategy_id,trade_id,entry_ts,exit_ts,entry_price,exit_price,bars_held,days_held,pnl_usd,return_pct,exit_reason,entry_reason,entry_er30,entry_context,entry_d1_regime,entry_atr,entry_vdo,entry_ema_spread_atr,entry_price_to_slow_atr,mfe_pct,mae_pct,mfe_r,mae_r,realized_r,giveback_r,giveback_ratio,peak_time,peak_to_exit_bars,mae_before_mfe_first6,first_6_bar_mfe_r,first_6_bar_mae_r,failure_mode,is_winner
X0,6,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,5042.488709,5215.250835,80,13.333,396.49,3.1163,x0_trail_stop,x0_entry,0.05851,chop,on,107.348396,7.3e-05,3.584369,3.165448,11.0563,-1.8342,5.193476,0.861575,1.609359,3.584117,0.690119,2019-04-23T04:00:00Z,17,True,0.526429,0.368415,winner,True
X0,9,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,8453.166831,8107.546369,19,3.167,-909.88,-4.376,x0_trail_stop,x0_entry,0.018014,chop,on,209.24284,0.003306,3.009188,2.861619,4.2778,-4.4051,1.728199,1.779592,-1.651767,3.379966,1.955774,2019-06-02T12:00:00Z,9,True,0.825993,0.158365,trail_stop_noise,False
X0,12,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,11889.380469,10379.782428,14,2.333,-3704.74,-12.9585,x0_trail_stop,x0_entry,0.118129,chop,on,674.355495,0.001574,2.285269,2.474828,2.9827,-15.4708,0.525864,2.727612,-2.238579,2.764443,5.256951,2019-06-29T20:00:00Z,11,True,0.525864,0.435691,false_breakout,False
X0,16,2019-08-11T12:00:00Z,2019-08-13T16:00:00Z,11481.102497,10941.789998,13,2.167,-1218.22,-4.9829,x0_trail_stop,x0_entry,0.095672,chop,on,247.227784,0.004689,2.392802,2.081622,1.0356,-4.9656,0.480923,2.305981,-2.18144,2.662363,5.535945,2019-08-11T20:00:00Z,11,True,0.480923,0.728488,false_breakout,False
X0,20,2019-11-01T08:00:00Z,2019-11-08T12:00:00Z,9108.531705,9017.245987,43,7.167,-274.14,-1.2987,x0_trail_stop,x0_entry,0.018215,chop,on,206.503348,0.001446,2.163348,2.108363,4.448,-1.6856,1.961945,0.743483,-0.442054,2.404,1.225314,2019-11-04T20:00:00Z,22,False,0.825499,0.235017,trail_stop_noise,False
X0,24,2020-01-10T20:00:00Z,2020-01-19T16:00:00Z,8066.110065,8622.351178,53,8.833,1413.85,6.5758,x0_trail_stop,x0_entry,0.234078,chop,on,171.401469,0.0001,1.930967,3.152531,14.0448,-1.3155,6.609453,0.619073,3.245253,3.3642,0.508998,2020-01-19T00:00:00Z,4,True,1.091881,0.493112,winner,True
X0,25,2020-01-21T12:00:00Z,2020-01-24T04:00:00Z,8665.418924,8312.27149,16,2.667,-999.7,-4.3627,x0_trail_stop,x0_entry,0.040767,chop,on,134.414055,0.002066,3.402232,3.056539,1.7608,-4.4997,1.135157,2.900879,-2.62731,3.762467,3.31449,2020-01-22T04:00:00Z,12,True,1.135157,1.319943,trail_stop_noise,False
X0,27,2020-02-11T16:00:00Z,2020-02-16T16:00:00Z,10175.167541,9848.683925,30,5.0,-890.5,-3.4986,x0_trail_stop,x0_entry,0.21023,chop,on,146.316081,0.00441,3.35479,5.558384,3.1924,-3.6773,2.220074,2.557255,-2.231358,4.451432,2.005083,2020-02-13T12:00:00Z,19,True,1.878348,0.102638,late_exit_giveback,False
X0,30,2020-04-12T20:00:00Z,2020-04-15T16:00:00Z,7119.243908,6695.199775,17,2.833,-1522.88,-6.238,x0_trail_stop,x0_entry,0.08315,chop,on,129.65487,0.003969,1.123292,2.110599,0.5705,-7.6447,0.313263,4.197636,-3.270561,3.583824,11.440299,2020-04-12T20:00:00Z,17,False,0.313263,4.197636,other_loss,False
X0,35,2020-05-28T20:00:00Z,2020-06-02T16:00:00Z,9461.694603,9458.614287,29,4.833,-88.8,-0.332,x0_trail_stop,x0_entry,0.116689,chop,on,153.917218,0.015029,0.107611,2.303405,9.7055,-2.0683,5.966229,1.271428,-0.020013,5.986242,1.003354,2020-06-01T20:00:00Z,5,False,1.064049,0.85562,late_exit_giveback,False
X0,36,2020-06-04T00:00:00Z,2020-06-11T20:00:00Z,9675.988737,9271.65139,47,7.833,-1190.43,-4.4658,x0_trail_stop,x0_entry,0.086967,chop,on,177.334696,0.002262,1.424809,1.893174,3.2734,-5.8184,1.786065,3.174724,-2.28008,4.066145,2.276594,2020-06-10T16:00:00Z,7,True,1.159622,1.274363,trail_stop_noise,False
