pair_id,entry_ts,reference,candidate,channel,reference_in_position,pnl_usd,return_pct,bars_held,entry_context,entry_vdo,entry_er30,entry_price_to_slow_atr,failure_mode,is_winner
x0_stretch18,2019-04-17T04:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-15.01,-0.118,53,transition,0.00594,0.291308,5.069122,late_exit_giveback,False
x0_stretch18,2019-06-30T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,943.72,3.2587,64,chop,0.004097,0.022557,1.336317,winner,True
x0_stretch18,2019-08-11T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-1214.73,-4.222,12,chop,0.004661,0.099673,1.739052,trail_stop_noise,False
x0_stretch18,2020-01-11T00:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,1226.29,4.7454,52,transition,0.006594,0.312674,3.816373,winner,True
x0_stretch18,2020-01-24T04:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,False,4438.18,16.3966,108,trend,2.8e-05,0.463493,0.00973,winner,True
x0_stretch18,2020-02-11T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-1344.35,-4.267,29,transition,0.002509,0.271727,5.972721,trail_stop_noise,False
x0_stretch18,2020-04-15T08:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-554.29,-1.849,33,chop,0.001576,0.032164,0.191268,late_exit_giveback,False
x0_stretch18,2020-05-30T00:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-20.93,-0.0609,22,transition,0.002674,0.344963,1.967387,late_exit_giveback,False
x0_stretch18,2020-06-07T00:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-1534.97,-4.471,29,transition,0.003155,0.287691,1.812369,late_exit_giveback,False
x0_stretch18,2020-08-10T04:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-2013.81,-5.6551,10,transition,0.015368,0.305011,5.987024,other_loss,False
x0_stretch18,2020-08-20T08:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-1007.22,-2.9171,32,chop,0.002452,0.077793,1.082073,false_breakout,False
x0_stretch18,2020-10-31T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,9526.04,26.5021,154,transition,0.02468,0.250352,4.899072,winner,True
x0_stretch18,2021-03-22T00:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-11924.35,-9.2565,18,chop,0.003828,0.023258,1.770115,trail_stop_noise,False
x0_stretch18,2021-08-18T20:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,8240.77,5.646,37,chop,0.009859,0.105794,1.579479,winner,True
x0_stretch18,2021-10-02T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,41856.96,29.3758,116,transition,0.009058,0.2778,3.123144,winner,True
x0_stretch18,2021-11-15T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-12938.42,-6.8192,7,transition,0.008933,0.261576,1.025667,other_loss,False
x0_stretch18,2022-04-05T16:00:00Z,X0,X0_CHOP_STRETCH18,sequence_added,True,-10697.59,-6.1371,8,chop,0.001658,0.075789,1.678291,trail_stop_noise,False
