pair_id,entry_ts,reference,candidate,ref_exit_ts,cand_exit_ts,ref_pnl_usd,cand_pnl_usd,d_pnl_usd,ref_return_pct,cand_return_pct,d_return_pct,ref_bars_held,cand_bars_held,d_bars_held,exit_timing,ref_exit_reason,cand_exit_reason,ref_failure_mode,cand_failure_mode,ref_is_winner,cand_is_winner
x0_stretch18,2024-11-02T20:00:00Z,X0,X0_CHOP_STRETCH18,2024-11-25T20:00:00Z,2024-11-25T20:00:00Z,62083.19,87747.49,25664.3,35.5162,35.5162,0.0,138,138,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2024-01-30T12:00:00Z,X0,X0_CHOP_STRETCH18,2024-03-05T20:00:00Z,2024-03-05T20:00:00Z,57769.05,82018.83,24249.78,40.3488,40.3488,0.0,212,212,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2025-04-14T20:00:00Z,X0,X0_CHOP_STRETCH18,2025-05-05T00:00:00Z,2025-05-05T00:00:00Z,24358.78,35131.28,10772.5,10.4616,10.4616,0.0,121,121,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2023-10-16T16:00:00Z,X0,X0_CHOP_STRETCH18,2023-11-14T20:00:00Z,2023-11-14T20:00:00Z,26475.04,35700.96,9225.92,25.1346,25.1346,0.0,175,175,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2023-01-09T00:00:00Z,X0,X0_CHOP_STRETCH18,2023-01-30T20:00:00Z,2023-01-30T20:00:00Z,33441.36,41835.9,8394.54,32.3648,32.3648,0.0,131,131,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2020-12-11T00:00:00Z,X0,X0_CHOP_STRETCH18,2021-01-11T08:00:00Z,2021-01-11T08:00:00Z,35947.11,44130.97,8183.86,87.3524,87.3524,0.0,188,188,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2021-02-02T04:00:00Z,X0,X0_CHOP_STRETCH18,2021-02-23T08:00:00Z,2021-02-23T08:00:00Z,32362.7,39730.53,7367.83,47.2111,47.2111,0.0,127,127,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2023-11-27T20:00:00Z,X0,X0_CHOP_STRETCH18,2023-12-11T08:00:00Z,2023-12-11T08:00:00Z,17127.96,24317.79,7189.83,13.6817,13.6817,0.0,81,81,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2024-09-16T20:00:00Z,X0,X0_CHOP_STRETCH18,2024-09-30T12:00:00Z,2024-09-30T12:00:00Z,15539.6,21452.45,5912.85,9.5906,9.5906,0.0,82,82,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2026-01-19T12:00:00Z,X0,X0_CHOP_STRETCH18,2026-01-20T20:00:00Z,2026-01-20T20:00:00Z,-10792.37,-16623.71,-5831.34,-4.1996,-4.1996,0.0,8,8,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,other_loss,other_loss,False,False
x0_stretch18,2025-10-27T20:00:00Z,X0,X0_CHOP_STRETCH18,2025-10-29T20:00:00Z,2025-10-29T20:00:00Z,-11286.43,-16671.5,-5385.07,-4.2234,-4.2234,0.0,12,12,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,false_breakout,false_breakout,False,False
x0_stretch18,2026-01-09T00:00:00Z,X0,X0_CHOP_STRETCH18,2026-01-18T08:00:00Z,2026-01-18T08:00:00Z,9709.31,14461.03,4751.72,3.7918,3.7918,0.0,56,56,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2021-08-04T08:00:00Z,X0,X0_CHOP_STRETCH18,2021-08-18T00:00:00Z,2021-08-18T00:00:00Z,17616.18,21805.72,4189.54,17.5638,17.5638,0.0,82,82,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0_stretch18,2024-03-17T12:00:00Z,X0,X0_CHOP_STRETCH18,2024-03-19T12:00:00Z,2024-03-19T12:00:00Z,-12552.51,-16622.38,-4069.87,-6.2561,-6.2561,0.0,12,12,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,trail_stop_noise,trail_stop_noise,False,False
x0_stretch18,2022-03-17T16:00:00Z,X0,X0_CHOP_STRETCH18,2022-03-31T20:00:00Z,2022-03-31T20:00:00Z,13491.15,17510.2,4019.05,11.1673,11.1673,0.0,85,85,0,same_exit,x0_trail_stop,x0_chop_stretch18_trail_stop,winner,winner,True,True
x0e5_stretch18,2024-01-30T12:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,2024-03-05T20:00:00Z,2024-03-05T20:00:00Z,70016.0,82859.18,12843.18,40.3488,40.3488,0.0,212,212,0,same_exit,x0_trail_stop,x0e5_chop_stretch18_trail_stop,winner,winner,True,True
x0e5_stretch18,2024-11-02T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,2024-11-15T00:00:00Z,2024-11-15T00:00:00Z,55331.2,65754.79,10423.59,25.0037,25.0037,0.0,73,73,0,same_exit,x0_trail_stop,x0e5_chop_stretch18_trail_stop,winner,winner,True,True
x0e5_stretch18,2025-04-14T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,2025-05-05T00:00:00Z,2025-05-05T00:00:00Z,30022.25,36406.44,6384.19,10.4616,10.4616,0.0,121,121,0,same_exit,x0_trail_stop,x0e5_chop_stretch18_trail_stop,winner,winner,True,True
x0e5_stretch18,2023-10-16T16:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,2023-11-14T20:00:00Z,2023-11-14T20:00:00Z,30045.87,34227.67,4181.8,25.1346,25.1346,0.0,175,175,0,same_exit,x0_trail_stop,x0e5_chop_stretch18_trail_stop,winner,winner,True,True
x0e5_stretch18,2023-11-27T20:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,2023-12-11T04:00:00Z,2023-12-11T04:00:00Z,20388.42,24128.31,3739.89,14.1594,14.1594,0.0,80,80,0,same_exit,x0_trail_stop,x0e5_chop_stretch18_trail_stop,winner,winner,True,True
x0e5_stretch18,2024-11-15T04:00:00Z,X0_E5EXIT,X0E5_CHOP_STRETCH18,2024-11-25T20:00:00Z,2024-11-25T20:00:00Z,18748.51,22280.46,3531.95,6.7776,6.7776,0.0,64,64,0,same_exit,x0_trail_stop,x0e5_chop_stretch18_trail_stop,winner,winner,True,True
