window_id,start,end,ref_sharpe,cand_sharpe,d_sharpe,ref_cagr_pct,cand_cagr_pct,d_cagr_pct,ref_mdd_pct,cand_mdd_pct,d_mdd_pct,ref_calmar,cand_calmar,d_calmar,ref_trades,cand_trades,d_trades
w0,2021-01-01,2021-07-01,1.6016,1.3804,-0.2212,120.74,91.14,-29.6,23.87,23.87,0.0,5.0571,3.8176,-1.2395,13,12,-1
w1,2021-04-01,2021-10-01,0.9088,1.0092,0.1004,33.35,38.83,5.48,17.64,17.64,0.0,1.8907,2.2012,0.3105,10,10,0
w2,2021-07-01,2022-01-01,2.1132,2.4006,0.2874,134.27,163.24,28.97,18.21,18.47,0.26,7.372,8.8394,1.4674,12,11,-1
w3,2021-10-01,2022-04-01,1.3971,1.6831,0.286,51.13,64.66,13.53,22.29,20.57,-1.72,2.2935,3.1434,0.8499,10,9,-1
w4,2022-01-01,2022-07-01,-0.0597,-0.0292,0.0305,-3.02,-2.32,0.7,14.48,14.48,0.0,-0.2085,-0.1603,0.0482,5,5,0
w5,2022-04-01,2022-10-01,-1.7785,-2.0428,-0.2643,-39.74,-42.65,-2.91,25.73,27.82,2.09,-1.5442,-1.533,0.0112,9,9,0
w6,2022-07-01,2023-01-01,-1.8475,-2.0822,-0.2347,-42.57,-45.54,-2.97,33.23,35.0,1.77,-1.2811,-1.3012,-0.0201,14,14,0
w7,2022-10-01,2023-04-01,-0.0331,0.2444,0.2775,-6.35,2.82,9.17,32.28,28.13,-4.15,-0.1968,0.1004,0.2972,16,13,-3
w8,2023-01-01,2023-07-01,0.6145,1.0417,0.4272,16.89,33.55,16.66,32.28,28.13,-4.15,0.5232,1.1925,0.6693,17,12,-5
w9,2023-04-01,2023-10-01,0.1599,0.5261,0.3662,1.16,8.78,7.62,14.33,12.54,-1.79,0.0806,0.7005,0.6199,11,9,-2
w10,2023-07-01,2024-01-01,2.4495,2.9112,0.4617,92.93,110.06,17.13,9.15,8.63,-0.52,10.1594,12.75,2.5906,14,11,-3
w11,2023-10-01,2024-04-01,3.3861,3.3719,-0.0142,261.11,239.82,-21.29,17.1,22.67,5.57,15.2736,10.5769,-4.6967,17,14,-3
w12,2024-01-01,2024-07-01,1.1128,1.2225,0.1097,39.4,43.15,3.75,21.6,22.98,1.38,1.8244,1.878,0.0536,16,15,-1
w13,2024-04-01,2024-10-01,-0.5012,-0.0536,0.4476,-14.84,-4.06,10.78,13.74,14.89,1.15,-1.0798,-0.2727,0.8071,15,14,-1
w14,2024-07-01,2025-01-01,2.2278,2.2591,0.0313,106.66,107.47,0.81,11.94,13.04,1.1,8.9323,8.2427,-0.6896,15,15,0
w15,2024-10-01,2025-04-01,1.5694,1.7575,0.1881,65.1,76.39,11.29,13.68,12.99,-0.69,4.7573,5.8792,1.1219,16,16,0
w16,2025-01-01,2025-07-01,0.4198,-0.1542,-0.574,7.84,-6.55,-14.39,13.76,13.07,-0.69,0.5699,-0.5016,-1.0715,14,13,-1
w17,2025-04-01,2025-10-01,1.2924,0.5515,-0.7409,31.89,10.09,-21.8,13.41,11.92,-1.49,2.378,0.8463,-1.5317,14,13,-1
w18,2025-07-01,2026-01-01,-0.2284,0.0751,0.3035,-4.9,-0.02,4.88,13.5,11.67,-1.83,-0.3627,-0.0014,0.3613,9,8,-1
w19,2025-10-01,2026-02-20,-1.0572,-0.2638,0.7934,-14.63,-4.16,10.47,11.77,7.97,-3.8,-1.2437,-0.5225,0.7212,6,5,-1
w20,2026-01-01,2026-02-20,-0.4678,-0.1368,0.331,-9.39,-3.84,5.55,7.97,7.97,0.0,-1.1782,-0.482,0.6962,3,3,0
