candidate_id,window_id,start,end,ref_sharpe,cand_sharpe,d_sharpe,ref_cagr_pct,cand_cagr_pct,d_cagr_pct,ref_mdd_pct,cand_mdd_pct,d_mdd_pct,ref_calmar,cand_calmar,d_calmar,ref_trades,cand_trades,d_trades
X0E5_LL30,w0,2021-01-01,2021-07-01,1.6016,1.6016,0.0,120.74,120.74,0.0,23.87,23.87,0.0,5.0571,5.0571,0.0,13,13,0
X0E5_FLOOR_LATCH,w0,2021-01-01,2021-07-01,1.6016,1.6016,0.0,120.74,120.74,0.0,23.87,23.87,0.0,5.0571,5.0571,0.0,13,13,0
X0E5_LL30,w1,2021-04-01,2021-10-01,0.9088,0.8175,-0.0913,33.35,28.46,-4.89,17.64,17.64,0.0,1.8907,1.6132,-0.2775,10,11,1
X0E5_FLOOR_LATCH,w1,2021-04-01,2021-10-01,0.9088,0.8175,-0.0913,33.35,28.46,-4.89,17.64,17.64,0.0,1.8907,1.6132,-0.2775,10,11,1
X0E5_LL30,w2,2021-07-01,2022-01-01,2.1132,2.0316,-0.0816,134.27,125.72,-8.55,18.21,18.21,0.0,7.372,6.9024,-0.4696,12,13,1
X0E5_FLOOR_LATCH,w2,2021-07-01,2022-01-01,2.1132,2.0316,-0.0816,134.27,125.72,-8.55,18.21,18.21,0.0,7.372,6.9024,-0.4696,12,13,1
X0E5_LL30,w3,2021-10-01,2022-04-01,1.3971,1.3971,0.0,51.13,51.13,0.0,22.29,22.29,0.0,2.2935,2.2935,0.0,10,10,0
X0E5_FLOOR_LATCH,w3,2021-10-01,2022-04-01,1.3971,1.3971,0.0,51.13,51.13,0.0,22.29,22.29,0.0,2.2935,2.2935,0.0,10,10,0
X0E5_LL30,w4,2022-01-01,2022-07-01,-0.0597,-0.0597,0.0,-3.02,-3.02,0.0,14.48,14.48,0.0,-0.2085,-0.2085,0.0,5,5,0
X0E5_FLOOR_LATCH,w4,2022-01-01,2022-07-01,-0.0597,-0.0597,0.0,-3.02,-3.02,0.0,14.48,14.48,0.0,-0.2085,-0.2085,0.0,5,5,0
X0E5_LL30,w5,2022-04-01,2022-10-01,-1.7785,-1.4928,0.2857,-39.74,-33.54,6.2,25.73,21.98,-3.75,-1.5442,-1.5257,0.0185,9,10,1
X0E5_FLOOR_LATCH,w5,2022-04-01,2022-10-01,-1.7785,-1.4286,0.3499,-39.74,-32.1,7.64,25.73,21.14,-4.59,-1.5442,-1.5187,0.0255,9,10,1
X0E5_LL30,w6,2022-07-01,2023-01-01,-1.8475,-1.5777,0.2698,-42.57,-36.69,5.88,33.23,29.86,-3.37,-1.2811,-1.2291,0.052,14,15,1
X0E5_FLOOR_LATCH,w6,2022-07-01,2023-01-01,-1.8475,-1.5175,0.33,-42.57,-35.33,7.24,33.23,29.09,-4.14,-1.2811,-1.2143,0.0668,14,15,1
X0E5_LL30,w7,2022-10-01,2023-04-01,-0.0331,0.1415,0.1746,-6.35,-0.75,5.6,32.28,30.28,-2.0,-0.1968,-0.0246,0.1722,16,16,0
X0E5_FLOOR_LATCH,w7,2022-10-01,2023-04-01,-0.0331,0.1415,0.1746,-6.35,-0.75,5.6,32.28,30.28,-2.0,-0.1968,-0.0246,0.1722,16,16,0
X0E5_LL30,w8,2023-01-01,2023-07-01,0.6145,0.7802,0.1657,16.89,23.93,7.04,32.28,30.28,-2.0,0.5232,0.7902,0.267,17,17,0
X0E5_FLOOR_LATCH,w8,2023-01-01,2023-07-01,0.6145,0.7802,0.1657,16.89,23.93,7.04,32.28,30.28,-2.0,0.5232,0.7902,0.267,17,17,0
X0E5_LL30,w9,2023-04-01,2023-10-01,0.1599,0.1315,-0.0284,1.16,0.56,-0.6,14.33,14.33,0.0,0.0806,0.039,-0.0416,11,11,0
