pair_id,entry_ts,ref_exit_ts,cand_exit_ts,ref_pnl_usd,cand_pnl_usd,d_pnl_usd,ref_return_pct,cand_return_pct,d_return_pct,ref_bars_held,cand_bars_held,d_bars_held,exit_timing,ref_exit_reason,cand_exit_reason,ref_failure_mode,cand_failure_mode,ref_is_winner,cand_is_winner
x0e5_floor_latch,2019-01-05T04:00:00Z,2019-01-10T08:00:00Z,2019-01-10T08:00:00Z,-148.48,-148.48,0.0,-1.1888,-1.1888,0.0,31,31,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,late_exit_giveback,late_exit_giveback,False,False
x0e5_floor_latch,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,2019-02-24T16:00:00Z,285.43,285.43,0.0,3.2065,3.2065,0.0,89,89,0,same_exit,x0_trail_stop,x0e5_floor_latch_floor_exit,winner,winner,True,True
x0e5_floor_latch,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,2019-03-04T08:00:00Z,-278.67,-278.67,0.0,-2.4569,-2.4569,0.0,27,27,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,trail_stop_noise,trail_stop_noise,False,False
x0e5_floor_latch,2019-03-06T12:00:00Z,2019-03-12T08:00:00Z,2019-03-12T08:00:00Z,-119.92,-119.92,0.0,-0.9196,-0.9196,0.0,35,35,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,late_exit_giveback,late_exit_giveback,False,False
x0e5_floor_latch,2019-03-13T04:00:00Z,2019-03-25T16:00:00Z,2019-03-25T16:00:00Z,138.43,138.43,0.0,1.7262,1.7262,0.0,75,75,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,winner,winner,True,True
x0e5_floor_latch,2019-03-26T04:00:00Z,2019-04-04T00:00:00Z,2019-04-04T00:00:00Z,2438.62,2438.62,0.0,25.065,25.065,0.0,53,53,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,winner,winner,True,True
x0e5_floor_latch,2019-04-05T16:00:00Z,2019-04-11T12:00:00Z,2019-04-11T12:00:00Z,23.72,23.72,0.0,0.4937,0.4937,0.0,35,35,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,winner,winner,True,True
x0e5_floor_latch,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,384.53,384.53,0.0,3.4261,3.4261,0.0,80,80,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,winner,winner,True,True
x0e5_floor_latch,2019-04-27T00:00:00Z,2019-05-12T16:00:00Z,2019-05-12T16:00:00Z,3575.01,3575.01,0.0,28.4822,28.4822,0.0,94,94,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,winner,winner,True,True
x0e5_floor_latch,2019-05-13T12:00:00Z,2019-05-14T20:00:00Z,2019-05-14T20:00:00Z,1070.18,1070.18,0.0,6.8863,6.8863,0.0,8,8,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,winner,winner,True,True
x0e5_floor_latch,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,2019-05-31T00:00:00Z,2653.47,2653.47,0.0,15.6235,15.6235,0.0,79,79,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,winner,winner,True,True
x0e5_floor_latch,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,2019-06-04T00:00:00Z,-876.17,-876.17,0.0,-4.0887,-4.0887,0.0,19,19,0,same_exit,x0_trail_stop,x0e5_floor_latch_trail_stop,trail_stop_noise,trail_stop_noise,False,False
