rank,episode_id,entry_time,exit_time,exit_reason,hold_bars,realized_return_pct,mfe_pct,giveback_ratio
1,45,2020-07-11T00:00:00Z,2020-07-11T12:00:00Z,vtrend_trend_exit,3,-1.145009,0.017739,65.546326
2,53,2020-09-28T16:00:00Z,2020-10-02T08:00:00Z,vtrend_trail_stop,22,-3.962348,0.066027,61.011075
3,137,2024-01-14T08:00:00Z,2024-01-15T00:00:00Z,vtrend_trend_exit,4,-3.167695,0.056992,56.580926
4,190,2026-01-18T20:00:00Z,2026-01-19T04:00:00Z,vtrend_trail_stop,2,-3.015386,0.057318,53.608007
5,114,2023-04-21T16:00:00Z,2023-04-22T00:00:00Z,vtrend_trend_exit,2,-2.968297,0.077639,39.232044
6,108,2023-02-23T04:00:00Z,2023-02-25T00:00:00Z,vtrend_trail_stop,11,-5.385974,0.191055,29.190646
7,191,2026-01-19T12:00:00Z,2026-01-20T20:00:00Z,vtrend_trail_stop,8,-3.911778,0.14453,28.065573
8,143,2024-04-01T20:00:00Z,2024-04-02T12:00:00Z,vtrend_trail_stop,4,-5.967772,0.261518,23.819699
9,74,2021-09-18T08:00:00Z,2021-09-20T04:00:00Z,vtrend_trail_stop,11,-6.520204,0.316198,21.620606
10,43,2020-06-23T20:00:00Z,2020-06-24T16:00:00Z,vtrend_trail_stop,5,-4.237869,0.210759,21.107616
