candidate_label,n_threshold,skipped_trade_episode_id,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,native_top10_flag,unit_size_top10_flag
,2,19,0,-0.4992,-151.81448,0,0
,2,22,0,-1.0022,-253.907082,0,0
,2,25,0,-1.730321,-399.585119,0,0
,2,32,0,-2.068129,-542.482219,0,0
,2,40,0,-0.032556,-49.124199,0,0
,2,43,0,-4.237869,-1102.831787,0,0
,2,46,1,14.214177,3210.872014,0,0
,2,53,0,-3.962348,-1002.906427,0,0
,2,60,0,-3.187471,-2235.883629,0,0
,2,66,0,-0.264454,-369.390511,0,0
,2,70,1,13.66472,11166.922225,0,0
,2,75,1,30.168591,31613.434453,1,1
,2,78,1,5.204465,6699.406143,0,0
,2,81,1,1.191136,1289.487722,0,0
,2,84,1,11.501257,12908.315262,0,0
,2,87,0,-0.27001,-483.743953,0,0
,2,94,0,-2.893608,-3104.406594,0,0
,2,101,1,2.378876,2011.46163,0,0
,2,106,0,-5.098208,-6092.570641,0,0
,2,109,0,-5.209658,-5333.67945,0,0
,2,115,0,-3.936507,-4073.396944,0,0
,2,118,1,11.555361,10219.145792,0,0
,2,121,0,-2.537147,-2618.701552,0,0
,2,124,0,-0.744587,-827.744715,0,0
,2,128,1,25.510553,22961.883506,1,0
,2,131,1,1.599676,1578.74406,0,0
,2,138,1,40.770437,49482.891782,1,1
,2,142,1,1.114791,1463.270146,0,0
,2,157,1,9.919836,12871.407504,0,0
,2,160,0,-4.12473,-5777.040114,0,0
,2,168,1,2.274647,4234.826389,0,0
,2,171,0,-4.319547,-8712.668803,0,0
,2,176,1,0.901651,1661.49828,0,0
,2,179,1,7.519603,15844.199025,0,0
,2,182,1,0.965419,1800.842892,0,0
,2,187,0,-1.131818,-2666.441998,0,0
,2,192,1,1.001732,1679.151003,0,0
,3,20,0,-2.477486,-609.375716,0,0
,3,24,0,-0.577875,-156.076093,0,0
,3,33,1,2.548915,572.729656,0,0
,3,41,0,-4.17877,-1159.597644,0,0
,3,45,0,-1.145009,-300.03253,0,0
,3,54,1,19.222683,4453.404048,0,0
,3,61,1,47.65338,30715.211499,1,1
,3,67,1,5.253101,4519.966216,0,0
,3,88,0,-5.257612,-6189.705133,0,0
,3,95,0,-3.814733,-3915.085266,0,0
,3,107,0,-3.666044,-4191.615356,0,0
,3,116,0,-2.486741,-2517.333078,0,0
,3,122,0,-1.525959,-1587.143281,0,0
,3,161,1,6.166557,7771.579213,0,0
,3,172,1,10.793502,19790.714513,1,0
,3,188,1,0.344022,397.309446,0,0
,4,21,0,-1.993392,-483.344571,0,0
,4,26,1,6.090815,1236.720113,0,0
,4,42,0,-1.495258,-421.08755,0,0
,4,89,1,7.324028,7755.98993,0,0
,4,96,1,0.145814,-4.177513,0,0
,4,108,0,-5.385974,-5840.238712,0,0
,4,117,0,-3.167713,-3079.393562,0,0
,4,123,0,-0.194541,-320.507375,0,0
,5,22,0,-1.0022,-253.907082,0,0
,5,43,0,-4.237869,-1102.831787,0,0
,5,109,0,-5.209658,-5333.67945,0,0
,5,118,1,11.555361,10219.145792,0,0
,5,124,0,-0.744587,-827.744715,0,0
